N	2gram	Losev_Prob	VeschiIm
1	не есть	3	79
2	и не	29	57
3	не только	28	48
4	то что	26	48
5	не может	6	46
6	и в	48	45
7	и есть	4	40
8	и т	2	39
9	может быть	11	39
10	т д	1	38
11	а не	7	37
12	значит что	3	32
13	это значит	3	30
14	что я	1	26
15	потому что	21	25
16	не просто	12	24
17	было бы	12	24
18	только в	21	23
19	по себе	5	23
20	что она	2	23
21	в себе	7	23
22	сказать что	13	22
23	в смысле	8	22
24	и что	9	22
25	в имени	1	21
26	как бы	10	20
27	что такое	1	20
28	и следовательно	1	20
29	что это	4	19
30	но и	21	19
31	и ее	2	19
32	в этом	31	18
33	все же	12	18
34	есть только	4	18
35	так как	10	17
36	что мы	4	17
37	прежде всего	15	17
38	и это	3	17
39	таким образом	20	16
40	того что	8	16
41	как раз	7	16
42	от всего	1	15
43	как и	10	15
44	уже не	12	15
45	в том	25	15
46	в ней	4	15
47	но это	7	14
48	и то	6	14
49	не в	16	14
50	в самом	7	13
51	не будет	4	13
52	том что	29	13
53	и больше	1	13
54	и для	11	13
55	это и	4	13
56	то ни	4	13
57	что в	12	12
58	и с	10	12
59	бы то	4	12
60	то же	6	12
61	больше ничего	1	12
62	и даже	24	12
63	есть нечто	1	12
64	о том	17	12
65	еще не	4	12
66	есть ни	1	12
67	не что	3	12
68	если мы	2	12
69	точки зрения	17	12
70	ничего не	3	12
71	что они	4	12
72	что иное	3	12
73	ни было	2	12
74	не значит	1	12
75	совершенно не	1	12
76	что и	8	12
77	между собою	2	12
78	и как	10	12
79	если она	1	12
80	иное как	3	12
81	и их	7	11
82	содержит в	1	11
83	не менее	8	11
84	еще и	6	11
85	тем не	8	11
86	ни в	17	11
87	что не	3	11
88	вовсе не	18	11
89	также и	21	11
90	в то	6	11
91	и только	4	11
92	по крайней	8	10
93	в чем	3	10
94	крайней мере	8	10
95	что оно	2	10
96	ясно что	11	10
97	с ее	1	10
98	я и	1	9
99	с ним	4	9
100	в результате	11	9
101	со стороны	1	9
102	бы и	1	9
103	то и	7	9
104	хотя бы	11	9
105	нисколько не	7	9
106	в своем	16	9
107	ни с	4	9
108	должно быть	1	9
109	это не	8	9
110	у нас	17	9
111	бы в	2	9
112	она не	1	9
113	другими словами	3	9
114	так что	18	9
115	но не	12	9
116	на то	2	9
117	и его	11	9
118	как с	2	8
119	это есть	2	8
120	если бы	2	8
121	смысла и	1	8
122	с тем	7	8
123	что он	12	8
124	себя и	1	8
125	что тут	1	8
126	но в	17	8
127	тут не	1	8
128	мы не	7	8
129	мы имеем	3	8
130	для него	2	8
131	в ее	6	8
132	все это	8	8
133	со своим	1	8
134	с другими	1	8
135	в отношении	8	8
136	его в	9	8
137	указывает на	4	8
138	вещь как	2	8
139	всего прочего	1	8
140	только и	9	8
141	и потому	4	8
142	даже не	1	8
143	с другой	8	8
144	можно сказать	10	8
145	отнюдь не	14	8
146	с этой	4	7
147	в сущности	1	7
148	самом деле	3	7
149	все эти	12	7
150	тем что	2	7
151	ни на	2	7
152	в действительности	1	7
153	и тогда	4	7
154	слова и	1	7
155	не потому	1	7
156	можно ли	2	7
157	рационализма и	3	7
158	без всякого	3	7
159	мог бы	2	7
160	никак не	10	7
161	и тут	4	7
162	вообще не	1	7
163	сама по	2	7
164	я не	3	7
165	есть именно	1	7
166	по имени	1	7
167	и тем	4	7
168	от того	1	7
169	а в	8	7
170	из них	4	7
171	можно только	1	7
172	в той	5	6
173	для себя	6	6
174	их в	1	6
175	в своей	29	6
176	с собою	2	6
177	в каком	1	6
178	в данном	6	6
179	а если	4	6
180	из себя	1	6
181	в одном	6	6
182	и до	2	6
183	как только	1	6
184	момент в	1	6
185	ее не	1	6
186	вопрос о	2	6
187	для всякого	1	6
188	несмотря на	7	6
