1	в то же время	9	8
2	одно и то же	2	7
3	одной и той же	1	4
4	но тем не менее	1	4
5	не в том что	1	4
6	вместе с тем и	1	3
7	в то время как	5	3
8	до тех пор пока	2	2
9	один и тот же	2	2
10	и в том что	2	2
11	в том что он	3	2
12	или по крайней мере	2	2
13	по себе не может	1	2
14	а в том как	1	2
15	но что же именно	1	1
16	в том смысле как	1	1
17	можно найти в рассуждениях	1	1
18	с одной стороны и	2	1
19	и в таком случае	1	1
20	он как мы уже	1	1
21	сводится к тому что	2	1
22	он относится к нему	1	1
23	том виде в каком	1	1
24	и о том что	1	1
25	как мы видели выше	3	1
26	в то время в	1	1
27	состоит в том что	1	1
28	не в том чтобы	1	1
29	не говоря уже о	4	1
30	а в том что	1	1
31	но вместе с тем	2	1
32	еще до сих пор	1	1
33	то же время и	1	1
34	в том случае если	2	1
35	зависит не только от	1	1
36	второй половины xix века	2	1
37	в том что она	1	1
38	только в том случае	3	1
39	лишь в том что	1	1
40	между прочим потому что	1	1
41	то это было только	1	1
42	как мы ее понимаем	1	1
43	а вместе с тем	1	1
44	заключается в том что	3	1
45	тем не менее не	1	1
46	себе отчет в том	2	1
47	как мы уже сказали	3	1
48	в том случае когда	1	1
49	не что иное как	4	1
50	и то и другое	1	1
51	на то что в	2	1
52	таким а не другим	1	1
53	отчет в том что	2	1
54	в с а а	1	1
55	в том виде в	1	1
56	тем не менее этот	1	1
57	потому что в нем	1	1
58	как было сказано выше	1	1
59	то к чему стремится	1	1
60	заключать в себе не	1	1
61	в том что это	1	1
62	и не может быть	1	1
63	себе не может быть	1	1
64	нет и не может	1	1
65	дело в том что	11	1
66	в том что и	1	1
67	а может быть и	1	1
68	а в том чтобы	1	1
69	есть не что иное	2	1
70	бы то ни было	2	1
