N	2gram	Tiupa_Disk	VrazhdaK
1	в году	3	18
2	не только	36	9
3	в этом	29	8
4	и в	27	8
5	и что	2	8
6	что в	8	7
7	достоевского в	1	7
8	и все	5	7
9	но и	22	7
10	то что	10	7
11	о нем	3	6
12	как и	27	6
13	и даже	4	6
14	и с	2	6
15	все же	8	6
16	в котором	7	6
17	в начале	2	6
18	в нем	16	6
19	но в	15	6
20	то же	12	5
21	в россии	1	5
22	и не	25	5
23	между тем	5	5
24	об этом	3	5
25	не было	9	5
26	же время	9	5
27	в то	8	5
28	это не	5	4
29	при этом	22	4
30	несмотря на	1	4
31	все это	2	4
32	х годов	2	4
33	в виду	2	4
34	в своих	6	4
35	что он	6	4
36	уже в	2	4
37	у достоевского	1	4
38	весной года	1	4
39	о том	12	4
40	в дневнике	1	4
41	может быть	29	4
42	в ней	2	4
43	целый ряд	2	4
44	в истории	5	4
45	как бы	9	4
46	русской литературе	2	3
47	в его	9	3
48	в том	29	3
49	его в	1	3
50	раз в	1	3
51	связи с	4	3
52	записки охотника	2	3
53	в связи	1	3
54	я не	1	3
55	и как	9	3
56	далеко не	10	3
57	тем что	4	3
58	речь идет	2	3
59	в чем	2	3
60	в русской	4	3
61	человека в	6	3
62	он был	1	3
63	том что	27	3
64	в этот	1	3
65	он не	4	3
66	в конце	1	3
67	и о	4	3
68	наряду с	1	3
69	одним из	2	3
70	в своем	11	3
71	на то	1	3
72	с его	9	3
73	и его	4	3
74	к этому	4	3
75	и во	2	3
76	в той	2	2
77	таким образом	4	2
78	начиная с	1	2
79	об их	1	2
80	и то	4	2
81	ответ на	1	2
82	о влиянии	1	2
83	и он	2	2
84	от сознания	1	2
85	в момент	2	2
86	время и	2	2
87	его с	2	2
88	к себе	2	2
89	с точки	3	2
90	для него	9	2
91	его и	1	2
92	о чем	4	2
93	как раз	1	2
94	по мнению	1	2
95	нашего времени	2	2
96	в повести	1	2
97	в них	6	2
98	а также	15	2
99	россии в	1	2
100	же в	1	2
101	отношения к	2	2
102	его на	1	2
103	в мире	9	2
104	в в	1	2
105	там же	3	2
106	их в	2	2
107	же как	1	2
108	в своей	10	2
109	вместе с	3	2
110	так в	1	2
111	в это	1	2
112	в известном	1	2
113	не менее	6	2
114	и это	3	2
115	на первый	1	2
116	еще не	20	2
117	он пишет	1	2
118	но как	2	2
119	а с	8	2
120	это в	4	2
121	в свою	3	2
122	и т.п	18	2
123	в этой	5	2
124	в нашей	1	2
125	что к	1	2
126	человека с	1	2
127	при помощи	1	2
128	тогда как	28	2
129	а в	5	2
130	к ним	3	2
131	отношение к	6	2
132	уже не	7	2
133	году в	1	2
134	из них	6	2
135	этот человек	2	2
136	в себе	22	2
137	в глазах	1	2
138	не может	17	2
139	место в	2	2
140	столь же	6	2
141	том же	1	2
142	точки зрения	6	2
143	тем более	1	2
144	одна из	1	2
145	в период	2	2
146	за год	1	2
147	он сам	2	2
148	отнюдь не	11	2
149	о романе	2	2
150	но это	3	2
151	во время	1	2
152	не мог	1	2
153	и ее	5	2
154	пришел к	1	2
155	никогда не	3	2
156	могли быть	1	2
157	на большую	2	1
158	которому в	1	1
159	в особенности	5	1
160	своего рода	15	1
161	в самом	4	1
162	во всем	2	1
163	то в	1	1
164	как к	2	1
165	так и	14	1
166	близок к	1	1
167	что они	1	1
168	в свое	3	1
169	в литературе	2	1
170	для всех	2	1
171	до сих	1	1
172	один из	3	1
173	анекдоты и	1	1
174	с правилами	1	1
175	можно говорить	2	1
176	ему в	3	1
177	из которых	1	1
178	это такая	1	1
179	для русской	1	1
180	черты характера	1	1
181	ближе к	2	1
182	они не	2	1
183	этот процесс	1	1
184	если в	2	1
185	рассказ о	3	1
186	на три	1	1
187	и кончая	1	1
188	в основном	1	1
189	об одном	4	1
190	собой в	1	1
191	сколько в	1	1
192	героя в	6	1
193	он всегда	2	1
194	он как	1	1
195	или по	1	1
196	а почему	1	1
197	что это	1	1
198	хотя и	3	1
199	и романа	2	1
200	романа и	2	1
201	одному из	1	1
202	резко отличают	1	1
203	романа в	1	1
204	в ее	4	1
205	того что	4	1
206	этом он	1	1
207	представляющий собой	2	1
208	говорит о	1	1
209	анекдотическая фигура	1	1
210	романе достоевского	1	1
211	записи из	1	1
212	чем у	2	1
213	по праву	1	1
214	в качестве	45	1
215	нас в	2	1
216	не являются	1	1
217	судьбы они	1	1
218	не хочет	1	1
219	прежде всего	17	1
220	сходятся в	1	1
221	к реальному	1	1
222	это слово	1	1
223	другой стороны	5	1
224	иными словами	1	1
225	а другие	1	1
226	себе не	4	1
227	уже говорилось	1	1
228	в этих	4	1
229	но на	1	1
230	в их	5	1
231	о своем	1	1
232	было выдвинуто	1	1
233	тому же	5	1
234	но с	1	1
235	первая часть	1	1
236	из мысли	1	1
237	надежды на	1	1
238	он уже	1	1
239	что ни	3	1
240	можно признать	2	1
241	в разные	2	1
242	возникший в	1	1
243	воспроизводит ситуацию	1	1
244	записках охотника	2	1
245	же с	1	1
246	а о	2	1
247	самим собой	1	1
248	этого не	1	1
249	из двух	5	1
250	и глубокой	2	1
251	и сам	2	1
252	в одном	5	1
253	равно как	1	1
254	еще в	6	1
255	предполагать что	1	1
256	как при	1	1
257	но не	17	1
258	из литературы	1	1
259	но для	2	1
260	в составе	5	1
261	именно в	5	1
262	жизни и	2	1
263	героя другого	1	1
264	представление о	1	1
265	в таком	1	1
266	в процессе	6	1
267	в литературу	3	1
268	в жизни	2	1
269	как говорит	1	1
270	как о	1	1
271	я всегда	1	1
272	в соответствии	4	1
273	человек в	1	1
274	себя как	1	1
275	всего он	1	1
276	такие же	1	1
277	не есть	3	1
278	а их	1	1
279	это время	1	1
280	три портрета	1	1
281	одном из	2	1
282	как в	16	1
283	рассказ не	2	1
284	влияния на	2	1
285	роль в	10	1
286	наполеона в	1	1
287	ли не	3	1
288	в речах	1	1
289	по своему	3	1
290	он ее	1	1
291	начале х	2	1
292	по преимуществу	2	1
293	писательской биографии	1	1
294	отличается от	3	1
295	да и	2	1
296	широкое распространение	1	1
297	который не	2	1
298	служит для	2	1
299	именно своей	1	1
300	о котором	2	1
301	том как	1	1
302	и служило	1	1
303	в условиях	1	1
304	это было	2	1
305	к своим	3	1
306	в сторону	4	1
307	не имеет	1	1
308	тем не	1	1
309	человеком и	1	1
310	раз и	1	1
311	что как	1	1
312	сих пор	1	1
313	и вообще	2	1
314	в записках	2	1
315	не был	1	1
316	для правильного	1	1
317	ему не	1	1
318	на них	1	1
319	и образ	1	1
320	первый взгляд	1	1
321	с этим	3	1
322	во всех	6	1
323	человека к	1	1
324	во всяком	3	1
325	только от	1	1
326	это и	2	1
327	искать в	1	1
328	некоторых его	1	1
329	во все	1	1
330	в полной	1	1
331	начало в	2	1
332	не учитывать	1	1
333	она же	1	1
334	было в	4	1
335	с конца	1	1
336	основания предполагать	1	1
337	не могли	1	1
338	что этот	1	1
339	как анекдотическая	1	1
340	которой он	1	1
341	и двусмысленный	1	1
342	этой традиции	1	1
343	это как	1	1
344	совпадает с	4	1
345	но при	3	1
346	говорить не	1	1
347	потому что	7	1
348	живет в	3	1
349	также и	6	1
350	одну из	2	1
351	героя нашего	1	1
352	нельзя не	2	1
353	человека как	1	1
354	не всегда	2	1
355	в рассказе	6	1
356	которых не	1	1
357	самым он	1	1
358	он стал	1	1
359	быть и	2	1
360	во второй	1	1
361	с помощью	1	1
362	в частности	18	1
363	не будет	1	1
364	вопросом не	1	1
365	никого не	2	1
366	писателя с	2	1
367	но зато	2	1
368	отличается не	2	1
369	не могло	2	1
370	совпадают с	2	1
371	но они	3	1
372	и их	1	1
373	говорить о	3	1
374	не с	4	1
375	одно и	2	1
376	отношении к	1	1
377	этого как	1	1
378	не об	1	1
379	всех этих	1	1
380	хотя в	3	1
381	общие черты	1	1
382	из героев	1	1
383	е годы	2	1
384	в форме	2	1
385	вслед за	1	1
386	но об	1	1
387	этом смысле	1	1
388	тем самым	6	1
389	сюжетных функций	1	1
390	состояло в	1	1
391	по своей	15	1
392	от того	1	1
393	эстетический характер	1	1
394	почти одновременно	1	1
395	которую он	1	1
396	в обоих	1	1
397	что из	1	1
398	в каком	1	1
399	каждый из	2	1
400	свою очередь	3	1
401	и т.д	5	1
402	идет о	2	1
403	годов в	1	1
404	этот период	1	1
405	как известно	1	1
406	иисуса христа	2	1
407	с другой	14	1
408	было бы	1	1
409	автора в	2	1
410	некоторое время	1	1
411	что же	4	1
412	анекдота о	2	1
413	вторая часть	1	1
414	как на	1	1
415	сюжетная ситуация	1	1
416	текста к	2	1
417	переосмыслением центрального	1	1
418	соответствии с	5	1
419	себя в	8	1
420	известном смысле	1	1
421	я с	2	1
422	утверждаю что	1	1
423	однако в	3	1
424	оба они	2	1
425	а вот	1	1
426	бы его	1	1
427	той же	2	1
428	заключается в	3	1
429	как правило	5	1
430	могут быть	5	1
431	спросить о	1	1
432	заметное влияние	1	1
433	только по	1	1
434	сам в	1	1
435	такая же	1	1
436	до конца	2	1
437	из первых	1	1
438	к которому	2	1
439	только при	1	1
440	как принципиально	1	1
441	есть по	1	1
442	и от	2	1
443	и есть	2	1
444	в силу	5	1
445	на этот	1	1
446	по крайней	3	1
447	такой же	1	1
448	дама с	1	1
449	есть все	1	1
450	из этого	1	1
451	не стоит	1	1
452	не все	1	1
453	от них	1	1
454	переводится как	1	1
455	этом отношении	4	1
456	тут же	3	1
457	всяком случае	2	1
458	независимо от	1	1
459	друг друга	2	1
460	событий и	1	1
461	с ее	3	1
462	не просто	1	1
463	того же	5	1
464	только о	2	1
465	в целом	5	1
466	восходят к	2	1
467	крайней мере	3	1
468	не должна	1	1
469	едва ли	2	1
470	одного и	5	1
471	и наконец	2	1
472	в известной	1	1
473	ничего не	1	1
474	вплоть до	2	1
475	в е	3	1
476	постановки вопроса	1	1
477	к нему	1	1
478	более того	2	1
479	котором он	2	1
480	сам этот	1	1
