N	4gram	Bakhtin_Pr	Vvedenie
1	в то же время	13	6
2	с одной стороны и	1	3
3	дело в том что	1	3
4	но в то же	7	3
5	заключается в том что	1	2
6	во всяком случае не	1	2
7	в целом ряде других	2	1
8	как если бы оно	1	1
9	по крайней мере не	1	1
10	е все то что	1	1
11	по отношению к нему	2	1
12	здесь не место для	1	1
13	в том что он	4	1
14	большей или меньшей степени	2	1
15	так как если бы	1	1
16	в данном случае и	1	1
17	но с другой стороны	2	1
18	в этом смысле не	1	1
19	бы то ни было	2	1
20	в зависимости от того	1	1
21	и в целом ряде	2	1
22	в большей или меньшей	2	1
23	в собственном смысле слова	1	1
24	уже само по себе	1	1
25	и не потому что	1	1
26	мы имеем в виду	1	1
27	т е все то	1	1
28	в той или иной	1	1
29	и в этом смысле	2	1
30	если бы оно было	1	1
31	какой бы то ни	1	1
32	в этом смысле как	1	1
33	в зависимости от характера	1	1
34	и в этом отношении	2	1
