N	2gram	Vygotskiy_	formyVre
1	и в	65	148
2	в этом	37	73
3	то есть	30	70
4	в романе	2	58
5	в нем	8	51
6	прежде всего	2	46
7	и т	19	40
8	и не	20	37
9	в его	11	36
10	и его	8	36
11	вовсе не	11	35
12	но и	6	33
13	то же	17	32
14	т п	7	32
15	не только	16	32
16	но в	5	31
17	жизни и	6	31
18	так и	3	29
19	времени в	1	27
20	может быть	33	27
21	не в	12	26
22	как мы	12	26
23	как и	12	25
24	как бы	29	25
25	точки зрения	19	24
26	мы уже	12	24
27	только в	9	23
28	в то	5	23
29	в том	46	22
30	то что	61	22
31	связи с	2	21
32	во всех	4	21
33	жизни в	1	21
34	все эти	7	21
35	в своем	8	19
36	и на	7	19
37	и для	4	19
38	таким образом	21	18
39	у него	6	18
40	и все	14	18
41	еще не	3	18
42	по существу	4	18
43	при этом	10	17
44	те же	2	17
45	с этим	11	17
46	так как	13	17
47	человека и	1	17
48	все же	10	16
49	в условиях	1	16
50	в связи	1	16
51	того же	4	16
52	в основе	5	16
53	и во	3	16
54	и их	2	16
55	не может	17	16
56	в одном	9	15
57	в них	4	15
58	в дальнейшем	1	15
59	никогда не	9	15
60	с точки	11	15
61	так сказать	6	15
62	с его	2	15
63	вместе с	10	15
64	и как	10	14
65	и с	4	14
66	так же	12	14
67	в конце	5	14
68	всех этих	2	14
69	а не	11	14
70	как раз	14	14
71	все это	12	14
72	в самом	41	13
73	в котором	7	13
74	для того	18	13
75	друг с	2	13
76	во время	4	13
77	с ним	6	13
78	как в	8	13
79	роль в	2	13
80	здесь в	4	13
81	в их	3	13
82	с другом	2	13
83	в частности	3	13
84	того чтобы	21	13
85	а в	9	13
86	же в	2	13
87	и до	4	12
88	конечно не	6	12
89	время в	5	12
90	не было	4	12
91	он не	11	12
92	отнюдь не	2	12
93	что в	36	12
94	это время	1	12
95	потому что	26	12
96	в истории	3	12
97	ничего не	4	12
98	но не	3	12
99	и наконец	2	12
100	из них	10	11
101	хотя и	1	11
102	его в	5	11
103	между ними	1	11
104	романе в	2	11
105	и у	1	11
106	романа в	1	11
107	ни в	6	11
108	уже в	1	11
109	смерти в	1	11
110	в ней	23	11
111	и другие	3	10
112	кроме того	2	10
113	уже не	2	10
114	и того	1	10
115	в ее	9	10
116	жизненный путь	1	10
117	сих пор	6	10
118	также и	1	10
119	до сих	7	10
120	уже говорили	4	10
121	на основе	1	10
122	здесь не	3	10
123	тот же	5	10
124	и даже	4	9
125	но все	2	9
126	их в	4	9
127	на этой	1	9
128	с другой	8	9
129	наряду с	4	9
130	всего в	1	9
131	здесь нет	1	9
132	должно быть	1	9
133	к себе	2	9
134	и следовательно	2	9
135	и это	13	9
136	в других	1	9
137	та же	6	9
138	отношения к	3	9
139	оно не	1	9
140	том что	28	9
141	в самой	9	9
142	для него	4	9
143	есть в	3	9
144	жизнь и	2	9
145	и других	5	9
146	одного и	2	9
147	и к	5	8
148	в результате	3	8
149	в виду	6	8
150	в этих	3	8
151	время как	6	8
152	к тому	18	8
153	в этот	1	8
154	в некоторых	2	8
155	с одной	7	8
156	что и	7	8
157	характер и	2	8
158	в мире	3	8
159	здесь мы	6	8
160	здесь на	1	8
161	и по	2	8
162	один из	7	8
163	в жизни	6	8
164	со всеми	2	8
165	если бы	22	8
166	до конца	5	8
167	и то	10	8
168	значение в	1	8
169	во всяком	6	8
170	это не	7	8
171	и прежде	2	8
172	а также	1	8
173	и потому	1	8
174	отношение к	2	8
175	в целом	8	8
176	в той	8	7
177	для всех	2	7
178	еще более	2	7
179	не как	1	7
180	имеет место	2	7
181	между собой	2	7
182	к ним	3	7
183	к этому	5	7
184	из этих	6	7
185	в себе	9	7
186	но он	5	7
187	в которой	8	7
188	в себя	1	7
189	в форме	1	7
190	с ее	5	7
191	героев и	1	7
192	например в	5	7
193	поэтому и	1	7
194	и он	5	7
195	то время	4	7
196	себя и	1	7
197	нет ничего	1	7
198	было бы	22	7
199	не могло	1	7
200	в отличие	1	7
201	т д	6	7
202	у них	2	7
203	того что	9	7
204	этом отношении	1	7
205	ее в	7	7
206	отличие от	1	7
207	место в	6	7
208	за счет	1	7
209	все что	2	6
210	раскрывается в	1	6
211	именно в	3	6
212	уже на	1	6
213	с тем	14	6
214	только для	3	6
215	на первый	1	6
216	о том	17	6
217	между двумя	3	6
218	ни одного	1	6
219	поэтому все	1	6
220	сказать что	14	6
221	в основу	2	6
222	романа как	1	6
223	во всей	3	6
224	в качестве	2	6
225	в таком	6	6
226	здесь как	1	6
