1	мышления и речи	2	34
2	с точки зрения	15	34
3	в том что	5	30
4	для того чтобы	4	19
5	с одной стороны	11	14
6	по отношению к	5	11
7	заключается в том	1	10
8	с другой стороны	6	10
9	о том что	2	10
10	с самого начала	2	9
11	на то что	1	9
12	в зависимости от	8	8
13	в собственном смысле	3	8
14	как уже сказано	2	8
15	не может быть	19	8
16	друг с другом	4	6
17	в этом отношении	5	6
18	так же как	1	6
19	можно было бы	2	6
20	в том чтобы	1	6
21	в то время	2	5
22	во всяком случае	8	5
23	можно сказать что	4	5
24	в данном случае	3	5
25	в процессе развития	1	5
26	как мы уже	5	4
27	речь идет о	1	4
28	мы видели что	1	4
29	и речи в	1	4
30	до сих пор	4	4
31	то время как	2	4
32	же как и	2	4
33	в конечном счете	1	4
34	сама по себе	3	3
35	как если бы	3	3
36	и в частности	2	3
37	более и более	1	3
38	как раз в	1	3
39	само по себе	1	3
40	том числе и	1	3
41	в связи с	3	3
42	на первый план	4	3
43	мы уже говорили	2	3
44	вместе с ним	1	3
45	одной стороны и	4	3
46	зависимости от этого	1	3
47	в том числе	1	3
48	все более и	1	3
49	и в отношении	1	3
50	в отличие от	14	3
51	к тому что	3	3
52	если бы он	1	3
53	в свою очередь	4	3
54	если бы мы	1	3
55	в известном смысле	2	3
56	том что в	1	3
57	мы не можем	2	3
58	той или иной	15	2
59	прежде всего в	1	2
60	выходящих за пределы	1	2
61	что даже в	1	2
62	с таким же	1	2
63	этой точки зрения	2	2
64	в своей книге	1	2
65	как и все	1	2
66	не только не	2	2
67	в одном из	1	2
68	в какой мере	1	2
69	том что он	1	2
70	и речи но	1	2
71	влечет за собой	1	2
72	по самому своему	1	2
73	на каждом шагу	2	2
74	или во всяком	2	2
75	друг к другу	1	2
76	пробным камнем для	1	2
77	как и в	3	2
78	тем и другим	2	2
79	ничего не может	1	2
80	мы увидим что	1	2
81	подобно тому как	1	2
82	и то же	3	2
83	ни в какой	1	2
84	одно и то	3	2
85	на протяжении всего	2	2
86	по ту сторону	3	2
87	в то же	18	2
88	то же время	18	2
89	этими двумя крайними	1	2
90	с другом в	1	2
91	к действительности и	1	2
92	дело в том	1	2
93	одной и той	1	2
94	в начале развития	1	2
95	тогда когда он	1	2
96	как в отношении	1	2
97	с помощью которых	1	2
98	между словом и	5	2
99	и самый язык	1	2
100	и той же	1	2
101	между этими двумя	3	2
102	что он не	1	2
103	в значительной степени	7	2
104	точки зрения а	1	1
105	как мы видели	3	1
106	которых мы говорили	2	1
107	это не только	1	1
108	которого может быть	1	1
109	и на его	1	1
110	в таких случаях	1	1
111	по крайней мере	1	1
112	в направлении к	1	1
113	так и по	1	1
114	как и вся	1	1
115	более глубокое и	1	1
116	такого рода анализ	1	1
117	речи в качестве	1	1
118	мы имеем в	1	1
119	и до конца	1	1
120	в свое время	1	1
121	которые играют в	1	1
122	свое выражение в	3	1
123	находит свое выражение	1	1
124	связанные с этой	1	1
125	хотя бы и	5	1
126	непосредственно связан с	1	1
127	в ту же	1	1
128	и в то	6	1
129	один из важнейших	2	1
130	самому своему существу	1	1
131	она не может	1	1
132	во всех своих	2	1
133	необходимо иметь в	1	1
134	не только в	5	1
135	на одной из	1	1
136	не может не	6	1
137	рано или поздно	2	1
138	речь как бы	1	1
139	может не только	1	1
140	там где она	2	1
141	тот или иной	2	1
142	не столько в	1	1
143	точка зрения в	1	1
144	лежащее в основе	1	1
145	лежащую в основе	1	1
146	и в известной	1	1
147	то и в	1	1
148	данном случае не	1	1
149	все это не	1	1
150	с ним и	2	1
151	но и в	2	1
152	отношению к себе	1	1
153	и т д	10	1
154	мы должны сказать	1	1
155	в одном отношении	1	1
156	что для нас	1	1
157	поставить в один	1	1
158	и в этом	2	1
159	между прочим в	1	1
160	в сущности и	1	1
161	друг друга к	1	1
162	самом же деле	1	1
163	не могут быть	4	1
164	друг на друга	1	1
165	во всем его	1	1
166	могла бы быть	1	1
167	большей или меньшей	6	1
168	как одна из	2	1
169	эта точка зрения	1	1
170	никогда не может	4	1
171	направленность на предмет	1	1
172	нас в данном	1	1
173	что в этой	1	1
174	в той или	13	1
175	но тем самым	1	1
176	бы и не	1	1
177	у нас в	1	1
178	даже в самых	1	1
179	и с другой	2	1
180	и в самых	1	1
181	все целиком во	1	1
182	первых двух и	1	1
183	лежит в основе	1	1
184	одним из главных	1	1
185	на самом же	1	1
186	и представить себе	1	1
187	но все это	1	1
188	там где нет	1	1
189	вне поля зрения	1	1
190	однако и здесь	1	1
191	мы все время	1	1
192	все то что	1	1
193	и главным образом	1	1
194	неизменной на всем	1	1
195	то ни было	1	1
196	укажем еще на	1	1
197	между тем это	1	1
198	там где он	1	1
199	не входит в	1	1
200	хотя и не	2	1
201	было бы невозможно	1	1
202	это было бы	1	1
203	так как если	1	1
204	на предмет если	1	1
205	имеем в виду	1	1
206	в частности в	1	1
207	вовсе не существует	1	1
208	не с помощью	1	1
209	слова не только	1	1
210	до наших дней	1	1
211	автора и его	1	1
212	целиком во всех	1	1
213	время от времени	1	1
214	но все же	6	1
215	и столь же	1	1
216	основным и наиболее	1	1
217	иметь в виду	2	1
218	в лингвистическом и	1	1
219	и не может	4	1
220	человеческой речи является	1	1
221	и те теоретические	1	1
222	оно не является	1	1
223	вот что говорит	1	1
224	к сожалению не	1	1
225	вовсе не в	2	1
226	для правильной оценки	1	1
227	тот факт что	2	1
228	здесь не только	2	1
229	между тем именно	1	1
230	том чтобы раскрыть	1	1
231	в одно и	1	1
232	и все остальные	1	1
233	действительность но и	1	1
234	той же идеи	1	1
235	в его понимании	1	1
236	в том и	2	1
237	одной из них	1	1
238	в процессе своего	1	1
239	на ту же	2	1
240	и даже по	1	1
241	есть не только	1	1
242	включает в себя	3	1
243	свою точку зрения	1	1
244	перед нами в	1	1
245	тем не менее	2	1
246	с этой точки	2	1
247	этой проблемы в	1	1
248	первой и второй	3	1
249	и не могут	2	1
250	реального мира и	1	1
251	как сказал бы	1	1
252	в чем же	1	1
253	бы то ни	1	1
254	по всей вероятности	3	1
255	именно потому что	1	1
256	рядом друг с	1	1
257	в себе как	1	1
258	в данный момент	1	1
259	и все другие	1	1
260	и с точки	1	1
261	в применении к	1	1
262	он не может	1	1
263	не только как	1	1
264	о которых мы	2	1
265	в один ряд	1	1
266	жизни и в	1	1
267	прежде всего как	1	1
268	сочетает в себе	1	1
269	относящихся сюда явлений	1	1
270	дело не в	1	1
271	в целом ряде	1	1
272	как только в	1	1
273	а следовательно и	2	1
274	и вот в	1	1
275	и др то	1	1
276	для всех его	1	1
277	и вообще в	1	1
278	он не пытается	1	1
279	до некоторой степени	2	1
280	мы видели из	1	1
281	и до наших	1	1
