N	3gram	Bakhtin_sl_2	Analitik
1	о том что	1	6
2	в том что	4	6
3	с одной стороны	5	4
4	по отношению к	4	4
5	в этом случае	6	4
6	как и в	1	3
7	того или иного	1	3
8	той или иной	5	3
9	в этом отношении	3	3
10	тем не менее	1	3
11	в то же	4	2
12	с той или	1	2
13	не только не	1	2
14	тех или иных	1	2
15	с другой стороны	1	2
16	на то что	1	2
17	в отличие от	12	2
18	в частности в	1	2
19	в значительной степени	6	2
20	не только в	2	2
21	то же время	4	2
22	с точки зрения	3	2
23	а не только	1	2
24	а в том	1	1
25	до некоторой степени	1	1
26	и даже не	1	1
27	он не только	1	1
28	от автора и	1	1
29	поэтического слова в	1	1
30	хотя бы и	2	1
31	в драме или	1	1
32	языка то есть	2	1
33	как это было	1	1
34	до известной степени	1	1
35	на этом фоне	1	1
36	в нашем случае	1	1
37	всех этих случаях	1	1
38	них не только	1	1
39	между тем как	1	1
40	как и вся	1	1
41	выходят за пределы	1	1
42	случае она вырождается	1	1
43	в целом ряде	1	1
44	и в пределах	1	1
45	как один из	1	1
46	а не с	1	1
47	и воля и	1	1
48	она вырождается в	1	1
49	не выходят за	1	1
50	более или менее	2	1
51	однако при этом	1	1
52	не менее в	1	1
53	в применении к	1	1
54	речь идет о	1	1
55	в связи с	2	1
56	в этих случаях	1	1
57	то есть на	2	1
58	со всех сторон	1	1
59	но и в	1	1
60	сами по себе	1	1
61	идет уже не	1	1
62	с установкой на	3	1
63	такой степени что	1	1
64	не приходится однако	1	1
65	чтобы прийти к	1	1
66	однако в пределах	1	1
67	один из многих	1	1
68	во всех этих	1	1
69	и особенно в	1	1
70	в отношении к	4	1
71	то есть вне	1	1
72	в свою очередь	2	1
73	сама по себе	3	1
74	не может быть	15	1
