N	2gram	Savitsky_P_1	Analitik
1	в этом	10	18
2	и в	14	16
3	в частности	2	16
4	не только	17	16
5	как и	1	14
6	и не	12	12
7	в том	9	12
8	но и	6	12
9	внутреннего зрения	1	12
10	том что	4	12
11	в качестве	9	11
12	могут быть	3	10
13	а не	2	10
14	как бы	4	10
15	в этой	1	9
16	в пределах	8	9
17	представляет собой	1	8
18	отнюдь не	2	8
19	в данном	1	8
20	в себе	3	7
21	в сочетании	2	7
22	особенно в	1	7
23	то что	4	7
24	а также	4	7
25	говорить о	2	6
26	в мире	2	6
27	в самом	1	6
28	и на	1	6
29	но в	9	6
30	может быть	5	6
31	с другой	5	6
32	и к	4	5
33	с одной	3	5
34	на себя	1	5
35	но не	3	4
36	не может	4	4
37	не менее	2	4
38	все это	2	4
39	точки зрения	3	4
40	как раз	2	4
41	не в	5	4
42	тем самым	3	4
43	во всех	2	4
44	в себя	1	4
45	не с	1	4
46	то же	9	4
47	хотя и	3	4
48	только в	7	4
49	и тем	2	4
50	по преимуществу	1	4
51	в ходе	1	4
52	столь же	3	4
53	и особенно	1	4
54	одной стороны	3	4
55	в своем	4	4
56	м и	2	3
57	место в	1	3
58	прежде всего	3	3
59	есть в	2	3
60	я и	3	3
61	казалось бы	1	3
62	а в	4	3
63	в эту	2	3
64	сводится к	3	3
65	никогда не	1	3
66	не столько	2	3
67	со стороны	2	3
68	если бы	4	3
69	именно в	2	3
70	что и	1	3
71	к а	1	3
72	и если	4	3
73	в результате	1	3
74	на две	1	3
75	в рамках	1	3
76	и то	1	3
77	было бы	6	3
78	только на	1	3
79	или иной	1	3
80	на фоне	1	3
81	из них	2	3
82	с ними	3	3
83	по природе	1	2
84	что все	1	2
85	в борьбе	1	2
86	в значительной	2	2
87	может ли	2	2
88	еще не	1	2
89	во времени	1	2
90	на то	1	2
91	так же	1	2
92	и м	1	2
93	вслед за	3	2
94	т е	3	2
95	борьбе с	1	2
96	по себе	4	2
97	о н	3	2
98	и наоборот	1	2
99	ли не	1	2
100	те же	1	2
101	же время	7	2
102	его в	1	2
103	отношения к	2	2
104	связывается с	1	2
105	вместе с	1	2
106	что в	4	2
107	этом смысле	1	2
108	и внутренне	1	2
109	ц и	2	2
110	того что	2	2
111	на этой	1	2
112	а затем	1	2
113	отношения в	1	2
114	между тем	3	2
115	еще более	2	2
116	в его	2	2
117	в этих	1	2
118	а л	4	2
119	с точки	3	2
120	не имеет	1	2
121	е к	1	2
122	с ее	1	2
123	отличие от	1	2
124	о т	2	2
125	в то	7	2
126	частности в	1	2
127	на основе	1	2
128	он был	1	2
129	не о	2	2
130	теми же	1	2
131	другой стороны	1	2
132	в котором	4	2
133	в отличие	1	2
134	она не	1	2
135	н и	8	2
136	о личности	1	2
137	а ц	2	2
138	л и	4	2
139	грань между	1	2
140	в общем	2	2
141	одно из	1	2
142	еще в	1	2
143	представляют собой	1	2
144	себя в	1	2
145	ф о	1	2
146	и я	1	2
147	должна была	1	2
148	никак не	2	2
149	и з	2	2
150	что с	1	2
151	к предмету	1	2
152	не есть	1	2
153	не означает	1	1
154	может не	1	1
155	в которой	1	1
156	каждый из	1	1
157	может и	2	1
158	не все	1	1
159	прежде чем	1	1
160	л о	1	1
161	по-видимому не	2	1
162	в отдельности	1	1
163	и здесь	1	1
164	во мраке	1	1
165	в наших	1	1
166	для нас	2	1
167	чтобы в	1	1
168	одно и	1	1
169	мире в	1	1
170	прямо на	1	1
171	и организованы	1	1
172	бы это	1	1
173	по одному	1	1
174	к соединению	1	1
175	же в	4	1
176	не к	2	1
177	и ее	1	1
178	в жизни	2	1
179	например с	1	1
180	следует понимать	1	1
181	есть не	2	1
182	е т	1	1
183	к другим	1	1
184	своем значении	2	1
185	известном смысле	1	1
186	в статье	2	1
187	ведет к	1	1
188	р и	6	1
189	случаях когда	1	1
190	этого процесса	1	1
191	и некоторых	1	1
192	и резко	2	1
193	конечно и	1	1
194	в какой	1	1
195	из рамок	4	1
196	в нем	3	1
197	было в	2	1
198	и частной	1	1
199	это в	1	1
200	хотя бы	8	1
201	нисколько не	1	1
202	друг с	1	1
203	вопроса и	1	1
204	только то	1	1
205	умещается в	1	1
206	и жизнь	1	1
207	идеи и	1	1
208	бы и	1	1
209	есть у	1	1
210	стороны и	2	1
211	отношением к	1	1
212	в ее	2	1
213	с другом	1	1
214	потому что	3	1
215	это имеет	1	1
216	в начале	2	1
217	и т	3	1
218	в ином	1	1
219	не одну	1	1
220	и более	1	1
221	сами по	3	1
222	на этих	2	1
223	на наш	1	1
224	только к	1	1
225	это не	3	1
226	к этой	1	1
227	только что	1	1
228	переход от	2	1
229	полной мере	2	1
230	где в	2	1
231	прийти к	1	1
232	сопоставлении с	1	1
233	смерти но	1	1
234	в национальной	1	1
235	человека с	1	1
236	из этих	1	1
237	выступает как	1	1
238	тогда когда	1	1
239	что его	1	1
240	являются наиболее	1	1
241	из тех	1	1
242	тот же	3	1
243	почти исключительно	1	1
244	мы должны	4	1
245	и конца	1	1
246	в применении	1	1
247	и вся	1	1
248	в отношении	10	1
249	в силу	2	1
250	с собой	1	1
251	с с	2	1
252	и о	5	1
253	но к	2	1
254	да и	2	1
255	восходит к	1	1
256	но на	1	1
257	не исключает	1	1
258	общественной и	1	1
259	как она	1	1
260	и потому	4	1
261	сливаются в	1	1
262	к ним	1	1
263	о с	2	1
264	говорится о	1	1
265	представить себе	1	1
266	отношении к	5	1
267	который не	1	1
268	более или	1	1
269	между прочим	2	1
270	в них	2	1
271	но о	2	1
272	одна из	2	1
273	и тех	1	1
274	не вполне	1	1
275	если он	1	1
276	слова о	1	1
277	в полной	2	1
278	мы видим	1	1
279	и что	1	1
280	как известно	1	1
281	облечена в	1	1
282	также и	1	1
283	на каждом	1	1
284	них в	1	1
285	далеко не	1	1
286	обратиться к	1	1
287	не как	1	1
288	видения в	1	1
289	в ряду	2	1
290	в которую	2	1
291	тем более	2	1
292	в известном	1	1
293	оно ни	1	1
294	этих двух	1	1
295	помимо воли	1	1
296	с его	1	1
297	наш взгляд	1	1
298	было с	1	1
299	и эти	1	1
300	в основном	1	1
301	одних и	2	1
302	воля и	1	1
303	или менее	1	1
304	тем же	1	1
305	заключается в	3	1
306	уже в	1	1
307	в каждом	1	1
308	что при	1	1
309	веры в	1	1
310	видение и	1	1
311	именно здесь	1	1
312	сколько бы	2	1
313	об отношении	1	1
314	и как	3	1
315	ни к	1	1
316	чем глубже	1	1
317	и по	1	1
318	в восприятии	1	1
319	применении к	1	1
320	начала и	2	1
321	как на	2	1
322	и при	1	1
323	протекает не	1	1
