N	3gram	Propp_Isto_7	Analitik
1	в том что	4	7
2	по отношению к	1	7
3	о том что	5	5
4	с другой стороны	8	5
5	как и в	2	4
6	в данном случае	3	3
7	а в том	2	2
8	с одной стороны	4	2
9	в ответ на	3	2
10	совершенно очевидно что	1	2
11	с точки зрения	1	2
12	о чем речь	1	2
13	тем не менее	4	2
14	сама по себе	1	2
15	в этом же	1	1
16	и вступает в	1	1
17	на передний план	1	1
18	так и в	2	1
19	в большинстве случаев	1	1
20	вопрос о том	1	1
21	в самом начале	1	1
22	здесь мы имеем	2	1
23	и здесь мы	2	1
24	и тот же	1	1
25	тех случаях когда	3	1
26	к этому же	1	1
27	один и тот	1	1
28	но они же	1	1
29	до сих пор	2	1
30	как и сам	1	1
31	имеем дело с	1	1
32	дело не в	3	1
33	и в особенности	1	1
34	что и в	2	1
35	но с другой	1	1
36	тогда как в	1	1
37	что он не	1	1
38	легко может быть	1	1
39	как если бы	1	1
40	в этом случае	1	1
41	с тех пор	1	1
42	и может быть	1	1
43	мысль о том	1	1
44	не только в	5	1
45	своего отца и	1	1
46	и он же	1	1
47	в связи с	1	1
48	в тех случаях	4	1
49	в самом деле	1	1
50	в чистом виде	1	1
51	в зависимости от	1	1
52	с этой стороны	3	1
53	в том чтобы	2	1
54	на этот вопрос	2	1
55	хотя и не	1	1
56	в частности и	1	1
57	ту или иную	1	1
58	что мы знаем	1	1
59	а не с	1	1
60	тем что у	1	1
61	в противоречие с	1	1
62	не может быть	3	1
