N	2gram	Propp_Russ_1	Analitik
1	не только	22	22
2	тогда как	2	20
3	и в	36	18
4	как и	10	14
5	так и	7	14
6	в этом	12	14
7	и его	1	13
8	но и	16	13
9	том что	19	12
10	в качестве	3	12
11	и не	6	12
12	в частности	2	12
13	при этом	6	11
14	то есть	3	10
15	а в	9	10
16	как бы	5	10
17	что в	19	9
18	в тексте	1	9
19	может быть	8	9
20	а не	2	9
21	в том	17	9
22	с его	1	8
23	своего рода	3	8
24	не случайно	2	8
25	в первой	1	8
26	по отношению	1	7
27	в его	2	7
28	во второй	1	7
29	но не	2	7
30	отношению к	1	7
31	еще не	4	6
32	в этой	1	6
33	он не	1	6
34	в их	4	6
35	к тому	4	6
36	о том	8	6
37	в начале	1	6
38	того же	1	5
39	мы имеем	4	5
40	как правило	3	5
41	в случае	1	5
42	а а	25	5
43	что и	7	5
44	между тем	7	5
45	уже не	6	5
46	в свою	3	5
47	не является	1	5
48	представляет собой	4	5
49	и на	10	4
50	а и	5	4
51	что он	1	4
52	отнюдь не	2	4
53	в своем	3	4
54	и как	2	4
55	что по	4	4
56	и к	3	4
57	таким образом	6	4
58	приводит к	3	4
59	состоит в	8	4
60	в одном	3	4
61	ли не	1	4
62	не менее	3	4
63	свою очередь	2	4
64	в пределах	1	4
65	и сам	1	4
66	внимание на	1	4
67	можно сказать	1	4
68	во втором	1	4
69	далеко не	3	4
70	и а	4	4
71	о чем	3	4
72	в данном	1	4
73	все же	5	4
74	перед нами	1	4
75	по его	1	3
76	который в	1	3
77	мы не	6	3
78	говорить о	1	3
79	в целом	2	3
80	уже в	1	3
81	если в	3	3
82	ответ на	1	3
83	что они	7	3
84	как в	5	3
85	с этим	2	3
86	что касается	1	3
87	из этих	4	3
88	тому же	1	3
89	подобно тому	1	3
90	в году	2	3
91	то же	3	3
92	в каждом	2	3
93	его в	1	3
94	и того	1	3
95	одного и	1	3
96	точки зрения	3	3
97	и без	1	3
98	не столько	1	3
99	все это	6	3
100	в то	1	3
101	дело не	1	3
102	ничего не	3	3
103	следует признать	1	3
104	данном случае	1	3
105	так в	4	3
106	жизнь и	1	3
107	было бы	1	3
108	этом отношении	1	3
109	в особенности	2	3
110	еще и	1	3
111	что не	1	3
112	не было	2	3
113	однако и	1	3
114	не всегда	1	3
115	он и	1	3
116	его как	2	3
117	как это	8	3
118	к жизни	3	3
119	у и	2	3
120	по поводу	1	3
121	к этому	4	3
122	например в	2	2
123	самом деле	1	2
124	в первом	1	2
125	по преимуществу	1	2
126	на себя	2	2
127	власть над	1	2
128	и он	1	2
129	в ней	2	2
130	во всех	4	2
131	в общем	1	2
132	очевидно что	1	2
133	отличие от	1	2
134	когда он	2	2
135	как уже	4	2
136	но в	2	2
137	все эти	2	2
138	в тех	4	2
139	в себе	1	2
140	после чего	2	2
141	что она	2	2
142	в нем	2	2
143	видеть в	1	2
144	не как	1	2
145	и по	8	2
146	входит в	4	2
147	это не	10	2
148	в жизни	2	2
149	в них	6	2
150	с тем	8	2
151	несмотря на	3	2
152	с точки	3	2
153	в отличие	1	2
154	тем не	3	2
155	но они	3	2
156	вплоть до	4	2
157	дело в	1	2
158	одна из	4	2
159	судя по	2	2
160	могут быть	2	2
161	в дальнейшем	2	2
162	те же	1	2
163	не с	3	2
164	об этом	9	2
165	и здесь	2	2
166	в глаза	1	2
167	в форме	1	2
168	этом ряду	1	2
169	один из	8	2
170	обе эти	1	2
171	только в	4	2
172	и ее	1	2
173	в большинстве	2	2
174	всяком случае	1	2
175	нуждается в	1	2
176	мы можем	2	2
177	тем что	4	2
178	говорит о	1	2
179	там где	2	2
180	что мы	1	2
181	совершенно очевидно	1	2
182	не может	4	2
183	о своих	1	2
184	вместе с	10	2
185	и потому	2	2
186	по своему	1	2
187	в той	1	2
188	тому как	1	2
189	этого слова	3	2
190	и для	2	2
191	хотя и	2	2
192	и все	1	2
193	не более	1	2
194	же в	1	2
195	то что	6	2
196	нам не	1	2
197	сказать что	1	2
198	в иной	1	2
199	к числу	1	2
200	а также	3	2
201	во всяком	1	2
202	например по	1	1
203	как известно	2	1
204	уже начинал	1	1
205	говоря о	1	1
206	и развитие	1	1
207	таком случае	1	1
208	которого в	2	1
209	на самом	2	1
210	тем же	1	1
211	из самых	1	1
212	к другому	2	1
213	и до	2	1
214	на две	1	1
215	не имеют	1	1
216	с таким	1	1
217	в доме	2	1
218	жизни здесь	1	1
219	формы их	1	1
220	включая и	1	1
221	мы уже	1	1
222	собой как	1	1
223	что между	1	1
224	что если	1	1
225	вопрос о	1	1
226	время от	1	1
227	никак не	1	1
228	этой роли	1	1
229	что иное	2	1
230	бы ни	1	1
231	во-первых он	1	1
232	был еще	1	1
233	зависимости от	1	1
234	и был	1	1
235	революции в	1	1
236	в таком	1	1
237	он был	2	1
238	между собой	2	1
239	литература посвященная	1	1
240	иное как	2	1
241	всего этого	1	1
242	жениться на	1	1
243	непосредственно после	1	1
244	на счастье	1	1
245	ему сына	3	1
246	не все	1	1
247	не путем	1	1
248	должны были	2	1
249	благословение и	1	1
250	в истории	1	1
251	в гости	1	1
252	что во	1	1
253	независимо от	2	1
254	одном из	1	1
255	пишет об	1	1
256	тех случаях	1	1
257	от этого	1	1
258	не можем	3	1
259	та же	2	1
260	и у	5	1
261	идет не	1	1
262	во многих	5	1
263	на смену	1	1
264	на то	1	1
265	с малым	1	1
266	в отдельности	2	1
267	и частично	1	1
268	все другие	1	1
269	видел в	1	1
270	чем у	2	1
271	однако он	1	1
272	в силу	2	1
273	том чтобы	1	1
274	которое как	1	1
275	здесь мы	1	1
276	совпадают с	3	1
277	а затем	1	1
278	связанных с	1	1
279	большинстве случаев	2	1
280	три дня	1	1
281	от одного	1	1
282	есть и	1	1
283	чаще всего	3	1
284	лубочных картинок	1	1
285	только одно	1	1
286	на свои	1	1
287	солнце и	1	1
288	которой он	1	1
289	года и	1	1
290	в один	2	1
291	всех этих	2	1
292	в г	4	1
293	этом случае	5	1
294	таким же	3	1
295	особенности же	1	1
296	разного рода	1	1
297	этому же	2	1
298	доме и	1	1
299	место в	1	1
300	однако еще	1	1
301	далее в	2	1
302	собой и	1	1
303	теми же	1	1
304	при рассмотрении	1	1
305	что было	1	1
306	для этого	2	1
307	нас к	2	1
308	любви и	1	1
