N	2gram	Bakhtin_Fr_8	BTomashe
1	и не	9	2
2	все это	8	2
3	в ней	4	2
4	можно было	1	2
5	же не	1	1
6	за пределы	4	1
7	тем более	1	1
8	и в	56	1
9	и о	3	1
10	в речи	2	1
11	со всем	1	1
12	определение жанра	1	1
13	выходит за	1	1
14	что все	4	1
15	с другой	2	1
16	в своей	2	1
17	на самом	2	1
18	как будто	1	1
19	не следует	1	1
20	из ее	1	1
21	было бы	2	1
22	все же	2	1
23	кроме того	3	1
24	между ними	2	1
25	еще не	10	1
26	и на	7	1
27	выпадают из	1	1
28	в пределах	5	1
29	представляется нам	1	1
30	одной из	3	1
31	в значительной	2	1
32	прежде всего	6	1
33	в данном	2	1
34	и во	2	1
35	так и	13	1
36	о них	2	1
37	не было	5	1
38	в книге	1	1
39	из своей	1	1
40	далеко не	2	1
41	и ограниченно	1	1
42	всего в	1	1
43	до конца	11	1
44	этой книги	1	1
45	стиля и	1	1
46	почти совершенно	1	1
47	а не	2	1
48	что в	5	1
49	в области	5	1
50	другой стороны	2	1
51	и ее	4	1
52	таким образом	17	1
53	вопрос о	1	1
54	и более	4	1
55	и потому	4	1
56	не только	8	1
57	и исторической	2	1
58	в эпоху	10	1
