N	2gram	Losev_Vlad_1	BTomashe
1	у нас	6	3
2	и не	17	2
3	больше чем	2	2
4	все это	5	2
5	в ней	1	2
6	видеть в	1	2
7	более подробно	2	1
8	более что	2	1
9	за пределы	3	1
10	тем более	2	1
11	книги в	1	1
12	об этом	7	1
13	и в	31	1
14	не вполне	1	1
15	и о	2	1
16	к ней	4	1
17	что все	2	1
18	с другой	3	1
19	в своей	4	1
20	на самом	1	1
21	на которой	1	1
22	не следует	1	1
23	было бы	2	1
24	все же	3	1
25	всяком случае	2	1
26	кроме того	7	1
27	никак не	4	1
28	между ними	1	1
29	отметить также	1	1
30	еще не	2	1
31	и на	3	1
32	одной из	2	1
33	в значительной	1	1
34	прежде всего	1	1
35	в данном	1	1
36	и во	1	1
37	так и	6	1
38	о них	1	1
39	не было	5	1
40	то как	2	1
41	не мешало	2	1
42	совершенно не	2	1
43	далеко не	1	1
44	до конца	1	1
45	этой книги	1	1
46	учебное пособие	1	1
47	а не	1	1
48	что в	14	1
49	в области	1	1
50	другой стороны	3	1
51	того замечания	1	1
52	отнюдь не	3	1
53	таким образом	3	1
54	вопрос о	1	1
55	и более	1	1
56	и потому	6	1
57	не только	24	1
58	во всяком	2	1
59	в эпоху	1	1
