N	2gram	Medvedev_U_1	BTomashe
1	у нас	3	3
2	лучше и	1	2
3	теории словесности	1	2
4	и не	8	2
5	больше чем	1	2
6	все это	5	2
7	в ней	1	2
8	не то	1	2
9	крайней мере	2	1
10	по теории	1	1
11	художественного произведения	2	1
12	же не	2	1
13	за пределы	1	1
14	тем более	1	1
15	бы только	1	1
16	эстетикой словесного	1	1
17	об этом	1	1
18	и в	14	1
19	не вполне	1	1
20	на выражение	1	1
21	что все	2	1
22	говорить не	1	1
23	с другой	4	1
24	в своей	3	1
25	литературы как	1	1
26	не следует	3	1
27	точно и	1	1
28	было бы	3	1
29	поэтики и	1	1
30	все же	3	1
31	а о	2	1
32	установка на	1	1
33	словесного творчества	2	1
34	было и	1	1
35	художественном произведении	2	1
36	только более	1	1
37	в пределах	1	1
38	по меньшей	1	1
39	представляется нам	2	1
40	по нашему	3	1
41	должна быть	2	1
42	быть эстетикой	1	1
43	в значительной	1	1
44	прежде всего	8	1
45	в данном	1	1
46	так и	1	1
47	не было	1	1
48	в формалистическое	1	1
49	является только	1	1
50	нашему мнению	3	1
51	далеко не	1	1
52	не о	3	1
53	до конца	1	1
54	неудивительно что	2	1
55	а не	10	1
56	что в	1	1
57	в области	3	1
58	другой стороны	3	1
59	поэтика должна	1	1
60	меньшей мере	1	1
61	не все	2	1
62	по крайней	2	1
63	отнюдь не	1	1
64	таким образом	2	1
65	и потому	1	1
66	не только	10	1
