N	2gram	Ircho_Kome_1	Dialekti
1	и не	8	30
2	по себе	1	25
3	т е	13	25
4	и т	9	21
5	т д	4	19
6	и в	22	18
7	точки зрения	4	17
8	ничего не	3	17
9	может быть	9	17
10	в нем	4	16
11	ни в	6	15
12	так что	1	15
13	потому что	5	14
14	не только	10	13
15	и даже	5	13
16	то что	2	13
17	что в	6	13
18	в этом	3	12
19	было бы	2	12
20	и что	1	12
21	не может	2	12
22	что это	1	11
23	в себе	2	11
24	что он	6	11
25	так как	4	11
26	как бы	1	11
27	все это	5	11
28	то же	6	10
29	несмотря на	4	10
30	прежде всего	5	10
31	сказать что	1	10
32	отнюдь не	1	9
33	стало быть	1	9
34	так и	5	9
35	том что	12	9
36	в том	11	9
37	ясно что	4	8
38	но это	2	8
39	в каком	1	8
40	к нему	2	8
41	совершенно не	1	8
42	также и	1	7
43	и как	3	7
44	то в	1	7
45	что она	1	7
46	отождествляется с	1	7
47	вовсе не	2	7
48	но и	11	7
49	сам по	1	6
50	хотя бы	1	6
51	в чем	3	6
52	но в	4	6
53	с другой	5	6
54	и вот	4	6
55	не в	6	6
56	в то	10	6
57	с ним	1	6
58	да и	3	6
59	говорить о	1	5
60	и он	1	5
61	отношение к	3	5
62	в своем	1	5
63	все же	3	5
64	в противоположность	2	5
65	на то	3	5
66	и с	3	5
67	а потом	1	5
68	в этих	1	5
69	но если	1	5
70	в отношении	6	5
71	в дальнейшем	1	5
72	можно было	1	5
73	в особенности	1	5
74	об отношении	2	5
75	а в	6	5
76	почти всегда	2	4
77	то это	1	4
78	как он	1	4
79	об этом	1	4
80	и более	1	4
81	на всю	3	4
82	и притом	2	4
83	же время	4	4
84	к ней	2	4
85	к тому	6	4
86	как мы	4	4
87	о том	8	4
88	от него	1	4
89	внешнее и	1	4
90	но не	2	4
91	в котором	4	4
92	в конце	6	4
93	мы можем	4	4
94	не говорит	1	4
95	как раз	3	4
96	как это	3	4
97	хотя и	3	4
98	так же	3	4
99	может и	1	4
100	другой стороны	5	4
101	во всяком	2	4
102	в ней	1	3
103	на самом	1	3
104	а только	1	3
105	если в	1	3
106	все равно	1	3
107	что они	4	3
108	говорит что	1	3
109	более или	1	3
110	в самом	2	3
111	он не	3	3
112	и еще	3	3
113	что одна	1	3
114	но все	1	3
115	в них	3	3
116	всегда и	1	3
117	или менее	2	3
118	в их	4	3
119	друг другу	1	3
120	и почти	1	3
121	даже в	3	3
122	тому что	1	3
123	вплоть до	1	3
124	на себе	1	3
125	в науке	1	3
126	в сознании	3	3
127	ли это	2	3
128	могут быть	3	3
129	его с	1	3
130	указывает на	2	3
131	и о	3	3
132	жизнь и	1	3
133	чтобы понять	1	3
134	нуждается в	1	3
135	что и	4	3
136	один из	5	3
137	только в	3	3
138	даже если	2	3
139	только на	1	3
140	даже и	1	3
141	даже не	2	3
142	точек зрения	2	3
143	и из	2	3
144	еще и	2	3
145	и потому	1	3
146	в данном	1	3
147	что же	1	3
148	в его	5	3
149	и все	3	3
150	у них	1	3
151	или нет	1	3
152	бы в	1	3
153	еще более	1	3
154	конце концов	4	3
155	только что	2	3
156	отношении к	1	3
157	жизни и	1	3
158	гораздо более	1	3
159	можно говорить	1	2
160	же как	3	2
161	чтобы не	1	2
162	и больше	1	2
163	для своего	1	2
164	что уже	1	2
165	вопрос о	3	2
166	почти все	1	2
167	время как	4	2
168	мы и	1	2
169	быть в	1	2
170	как один	1	2
171	но конечно	1	2
172	из этих	1	2
173	ничуть не	1	2
174	относится к	2	2
175	что именно	1	2
176	с этим	1	2
177	что касается	2	2
178	мы получаем	1	2
179	реальная жизнь	1	2
180	тут и	1	2
181	тому же	6	2
182	связанные с	2	2
183	в первую	2	2
184	в виде	3	2
185	сказал что	1	2
186	на этом	2	2
187	это конечно	1	2
188	в каждом	1	2
189	в мире	1	2
190	это было	1	2
191	чаще всего	3	2
192	другими более	1	2
193	с этой	1	2
194	как и	9	2
195	до сих	2	2
196	со всей	1	2
197	нас не	1	2
198	можно найти	1	2
199	всяком случае	2	2
200	почти не	2	2
201	во всем	1	2
202	в которых	1	2
203	ко всему	1	2
204	ни было	2	2
205	не знает	1	2
206	если и	1	2
207	не менее	3	2
208	но они	1	2
209	и другое	1	2
210	что их	1	2
211	это нам	1	2
212	заметить что	1	2
213	из того	1	2
214	и эта	1	2
215	этом отношении	3	2
216	и это	1	2
217	о которых	5	2
218	на нем	2	2
219	идет речь	1	2
220	в другом	4	2
221	мог бы	2	2
222	можно только	1	2
223	что под	1	2
224	для этого	2	2
225	для того	1	2
226	вслед за	2	2
227	и следовательно	1	2
228	того что	1	2
229	поэтому и	1	2
230	с одной	3	2
231	в качестве	4	2
232	и у	3	2
233	то и	2	2
234	из них	10	2
235	никто не	1	2
236	т п	5	2
237	в облаках	8	2
238	ее на	1	2
239	со стороны	2	2
240	как у	1	2
241	именно в	4	2
242	здесь в	3	2
243	а с	1	2
244	с ней	1	2
245	о чем	1	2
246	если это	1	2
247	стороны в	1	2
248	в частности	3	2
249	или по	2	2
250	как в	5	2
251	одной стороны	3	2
252	еще не	2	2
253	или хотя	1	2
254	современная наука	1	2
255	такой же	2	2
256	сих пор	2	2
257	и для	1	2
258	находим в	1	2
259	к этому	4	2
260	этой точки	1	2
261	и наиболее	1	1
262	новое время	3	1
263	а между	1	1
264	как известно	2	1
265	речь идет	3	1
266	не остается	1	1
267	и без	2	1
268	при чтении	1	1
269	перед лицом	3	1
270	тем же	1	1
271	из самых	1	1
272	мировоззрения и	1	1
273	что эти	1	1
274	в основании	1	1
275	уже по	1	1
276	той же	1	1
277	а как	1	1
278	свою полную	1	1
279	мы не	3	1
280	из жизни	1	1
281	что иное	1	1
282	на себя	2	1
283	проявляется в	1	1
284	думаю что	1	1
285	и самого	2	1
286	иное как	1	1
287	что по	2	1
288	столь же	2	1
289	во всех	1	1
290	различия между	1	1
291	других источников	1	1
292	совсем не	2	1
293	коем случае	1	1
294	с блеском	1	1
295	друг от	1	1
296	чем же	2	1
297	и вовсе	1	1
298	в той	1	1
299	каждая из	1	1
300	из уст	1	1
301	дает нам	1	1
302	что нет	1	1
303	когда он	1	1
304	его к	1	1
305	и к	1	1
306	a что	1	1
307	говорится в	1	1
308	нему с	1	1
309	не приходится	1	1
310	в которой	6	1
311	так или	1	1
312	бы не	1	1
313	так в	4	1
