N	3gram	Losev_Prob_1	Dialekti
1	и т д	10	19
2	с точки зрения	3	12
3	это значит что	1	9
4	ни в каком	3	8
5	сама по себе	4	8
6	в том что	5	7
7	не есть ни	5	6
8	сам по себе	7	6
9	можно было бы	2	4
10	по крайней мере	2	4
11	одно и то	1	4
12	и то же	1	4
13	с другой стороны	3	4
14	в каком случае	3	4
15	той или другой	1	4
16	ничего не говорит	1	4
17	на то что	8	4
18	в то же	4	4
19	только потому что	2	3
20	ровно ничего не	1	3
21	более или менее	3	3
22	имеет ничего общего	2	3
23	в этом смысле	6	3
24	только то что	4	3
25	что в нем	3	3
26	может быть и	3	3
27	не значит что	1	3
28	в конце концов	4	3
29	и в этом	2	3
30	иметь в виду	3	3
31	не может быть	2	3
32	содержит в себе	7	3
33	ничего общего с	7	3
34	можно сказать что	3	3
35	не имеет ничего	2	3
36	той или иной	4	3
37	т д и	4	2
38	но уже и	1	2
39	никогда не может	2	2
40	мы говорим что	2	2
41	то это значит	1	2
42	желтый цвет производит	1	2
43	на самом деле	4	2
44	как это мы	2	2
45	мы находим в	1	2
46	до сих пор	3	2
47	и в то	1	2
48	не было бы	1	2
49	в этом отношении	1	2
50	и т п	1	2
51	тех или других	1	2
52	точно так же	4	2
53	то или иное	1	2
54	то и другое	2	2
55	то в чем	1	2
56	во всяком выражении	1	2
57	может и не	1	2
58	так как он	2	2
59	или по крайней	1	2
60	ни на что	1	2
61	не что-нибудь иное	1	2
62	во всяком случае	3	2
63	и даже больше	1	2
64	что не есть	1	2
65	д и т	3	2
66	о том что	5	2
67	мы можем сказать	1	2
68	точки зрения самого	1	2
69	идеи и образа	1	2
70	каком случае не	2	2
71	даже больше того	1	2
72	по себе но	3	2
73	к тому что	1	2
74	связаны между собою	1	1
75	который от нас	1	1
76	а между тем	1	1
77	а потому что	1	1
78	есть нечто совершенно	1	1
79	хотя и не	2	1
80	это совершенно неверно	1	1
81	что мы получаем	2	1
82	одному тому что	1	1
83	нас ускользает так	1	1
84	по одному тому	1	1
85	здесь не просто	1	1
86	этом смысле есть	1	1
87	в данный момент	1	1
88	в чем же	1	1
89	и в своей	3	1
90	мы имеем дело	1	1
91	дело в том	3	1
92	то время как	1	1
93	должны сказать что	1	1
94	это было бы	1	1
95	об этом не	1	1
96	это-то и есть	1	1
97	синими так и	1	1
98	то ясно что	1	1
99	в самом деле	2	1
100	по себе она	1	1
101	но даже и	1	1
102	а не о	1	1
103	потому и является	1	1
104	так или иначе	2	1
105	не больше как	1	1
106	известной степени просторными	1	1
107	тоже не существует	1	1
108	и если они	1	1
109	но ясно что	1	1
110	больше того как	1	1
111	что же касается	3	1
112	мы заговорили о	1	1
113	д все это	1	1
114	что она есть	2	1
115	как раз и	7	1
116	как бы ее	1	1
117	отчет в том	1	1
118	именно то что	3	1
119	они вовсе не	2	1
120	до известной степени	1	1
121	сами по себе	3	1
122	идти дальше поэтому	1	1
123	он сам является	1	1
124	как мы увидим	2	1
125	и науки и	1	1
126	не есть нечто	1	1
127	на самом же	1	1
128	которых постоянно находишься	1	1
129	кажутся до известной	1	1
130	того и другого	1	1
131	но для этого	1	1
132	ясно что не	1	1
133	что сначала существует	1	1
134	но только с	1	1
135	и это есть	1	1
136	но если мы	2	1
137	станет утверждать что	1	1
138	нечто совсем другое	1	1
139	и ничего не	1	1
140	символ указывает на	1	1
141	и вовсе не	4	1
142	и тем не	8	1
143	свой смысл и	1	1
144	значит что мы	1	1
145	еще не есть	4	1
146	никак не хотят	1	1
147	не есть только	1	1
148	отличается ясностью веселостью	1	1
149	в которых нет	1	1
150	даже если бы	3	1
151	так как иначе	1	1
152	проникает в нас	1	1
153	холодными синее стекло	1	1
154	можно ли считать	1	1
155	сейчас видно что	1	1
156	можно сказать только	2	1
157	не потому что	2	1
158	в том чтобы	1	1
159	если бы мы	1	1
160	но в то	1	1
161	все эти бесконечные	1	1
162	обладает светлой природой	1	1
163	дальше поэтому для	1	1
164	тоже не есть	2	1
165	в них тоже	1	1
166	бы ее ни	1	1
167	вовсе не есть	6	1
168	в то время	1	1
169	потому что сначала	1	1
170	в символе и	1	1
171	поэтому для комнат	1	1
172	и должно быть	1	1
173	во всех этих	2	1
174	преследуем приятный предмет	1	1
175	прежде всего символ	1	1
176	комнат в которых	1	1
177	еще ничего не	1	1
178	уже по одному	1	1
179	в связи с	4	1
180	сказать только то	1	1
181	то что он	3	1
182	это не значит	1	1
183	т д все	1	1
184	он есть нечто	1	1
185	не есть сама	1	1
186	и покоя как	1	1
187	в первую очередь	1	1
188	когда мы говорим	2	1
189	становится ясным что	2	1
190	это-то как раз	1	1
191	связи с этим	1	1
192	самом же деле	1	1
193	что понятие символа	3	1
194	самое и в	1	1
195	же самое и	1	1
196	то чем он	1	1
197	хотя бы даже	1	1
198	есть символ что	1	1
199	предмет который от	1	1
200	от нас ускользает	1	1
201	есть не что	2	1
202	нельзя сказать что	1	1
203	в своей высшей	1	1
204	но в конце	1	1
205	предметы в печальном	1	1
206	в нас а	1	1
207	предмет а не	1	1
208	а не только	2	1
209	мы видим синими	1	1
210	видим синими так	1	1
211	и в них	1	1
212	всегда так или	1	1
213	ничего подобного нет	1	1
214	а только чисто	1	1
215	светлой природой и	1	1
216	степени просторными но	1	1
217	нас а потому	1	1
218	что иное как	2	1
219	все это суть	1	1
220	в серые зимние	1	1
221	вещи не есть	1	1
222	приятный предмет который	1	1
223	своей высшей чистоте	1	1
224	всегда обладает светлой	1	1
225	для комнат в	1	1
226	сквозь желтое стекло	1	1
227	в этих случаях	2	1
228	то или другое	1	1
229	и холодными синее	1	1
230	природой и отличается	1	1
231	и может быть	1	1
232	есть прежде всего	1	1
233	серые зимние дни	1	1
234	в которых постоянно	1	1
235	в то или	1	1
236	есть нечто более	1	1
237	не что иное	2	1
238	том что такое	1	1
239	которая хотя и	1	1
240	учения о символе	1	1
241	тех или иных	2	1
242	смысл и свое	1	1
243	и ни на	1	1
244	тем не менее	18	1
245	никакого отношения к	1	1
246	в сравнении с	1	1
247	для того чтобы	8	1
248	и отличается ясностью	1	1
249	а именно в	1	1
250	уже вовсе не	1	1
251	на первый взгляд	1	1
252	к тому же	1	1
253	и о том	3	1
254	то же самое	9	1
255	пустыми и холодными	1	1
256	не есть просто	1	1
