N	2gram	Propp_Isto_5	Dialekti
1	и не	11	30
2	т е	16	30
3	может быть	17	20
4	и в	25	19
5	не только	13	19
6	по себе	2	18
7	и т	20	17
8	в мифе	7	16
9	а не	2	16
10	в себе	1	15
11	т д	18	15
12	потому что	7	14
13	и даже	1	14
14	то что	7	14
15	в том	6	14
16	что она	1	14
17	как бы	2	14
18	так как	11	14
19	вовсе не	2	13
20	значит что	2	12
21	и все	3	12
22	точки зрения	2	12
23	но и	13	12
24	то же	4	12
25	как и	7	10
26	что это	5	10
27	в нем	7	10
28	и как	3	10
29	это не	6	10
30	сказать что	2	10
31	том что	8	10
32	не может	6	9
33	никогда не	3	9
34	же и	1	9
35	это значит	2	8
36	прежде всего	6	8
37	не в	6	8
38	в своей	2	8
39	с точки	1	8
40	в этом	10	8
41	мы уже	4	8
42	она не	2	8
43	только тогда	2	7
44	время как	1	7
45	так что	2	7
46	как это	1	7
47	есть не	1	7
48	что в	8	7
49	совершенно не	2	7
50	и к	1	7
51	пространства и	1	7
52	как будто	1	7
53	но это	7	7
54	есть и	1	6
55	жизни и	2	6
56	что они	1	6
57	что не	1	6
58	и вообще	3	6
59	в то	3	6
60	но не	5	6
61	того что	2	6
62	конечно не	1	6
63	тогда когда	2	6
64	отнюдь не	1	6
65	не потому	2	6
66	я не	1	6
67	что он	22	6
68	же время	1	5
69	должна быть	1	5
70	а именно	4	5
71	но как	1	5
72	в одно	2	5
73	только что	1	5
74	можно сказать	2	5
75	и его	9	5
76	есть ли	1	5
77	в силу	1	5
78	не то	1	5
79	и потому	2	5
80	только в	7	5
81	на свете	1	5
82	по своему	1	5
83	и с	3	5
84	что миф	2	5
85	не мешает	1	5
86	в самом	1	5
87	что и	6	5
88	и что	8	5
89	и пр	3	5
90	с другой	9	5
91	о том	7	5
92	и это	4	5
93	в виду	1	5
94	не обязательно	1	5
95	все же	10	4
96	еще не	8	4
97	и вот	1	4
98	в связи	4	4
99	таким образом	9	4
100	но он	2	4
101	при этом	1	4
102	связи с	8	4
103	говорят что	1	4
104	одна и	1	4
105	к нему	3	4
106	с ним	4	4
107	хотя бы	1	4
108	самом деле	2	4
109	он не	4	4
110	та же	1	4
111	в одном	1	4
112	а в	3	4
113	одно из	1	4
114	вещи в	1	4
115	и только	1	4
116	в ее	4	4
117	есть миф	3	4
118	в таком	1	4
119	в мифологии	1	4
120	мифа в	1	4
121	как таковой	1	4
122	в одной	1	4
123	ясно что	5	4
124	том смысле	1	4
125	без всякого	1	4
126	другой стороны	8	4
127	могут быть	6	4
128	и если	1	4
129	то время	1	4
130	в каком	1	4
131	все это	4	4
132	и есть	1	4
133	уже в	2	4
134	быть в	1	4
135	что оно	1	4
136	а потом	1	4
137	и по	2	4
138	в своем	1	4
139	и из	3	3
140	тело и	1	3
141	должны быть	1	3
142	только как	1	3
143	или другой	1	3
144	от этого	4	3
145	его с	1	3
146	себе не	1	3
147	уже знаем	1	3
148	не было	1	3
149	не менее	4	3
150	всех этих	1	3
151	даже в	2	3
152	об этом	2	3
153	в это	2	3
154	его в	9	3
155	все его	2	3
156	в этих	6	3
157	что этот	2	3
158	одно время	1	3
159	они не	3	3
160	это только	1	3
161	как мы	5	3
162	этого нет	1	3
163	выйти из	1	3
164	что такое	1	3
165	и мы	2	3
166	ведь это	1	3
167	и от	1	3
168	с этим	5	3
169	ничего не	2	3
170	как только	1	3
171	о чем	2	3
172	уже не	11	3
173	это было	2	3
174	мы имеем	14	3
175	может иметь	1	3
176	думаю что	1	3
177	из них	2	3
178	сам по	1	3
179	в этой	3	3
180	же как	4	3
181	или нет	1	3
182	по воздуху	3	3
183	вопрос о	2	3
184	после этого	2	3
185	это время	2	3
186	сейчас же	1	3
187	в целях	3	3
188	в глубину	1	3
189	или как	2	3
190	было бы	1	3
191	и уже	1	3
192	и более	1	3
193	как же	1	3
194	себе и	1	3
195	и тогда	1	3
196	е в	3	3
197	в данном	3	3
198	все эти	8	2
199	в которой	4	2
200	с целью	1	2
201	нем и	3	2
202	с самого	1	2
203	в голове	2	2
204	на новое	1	2
205	смысл и	1	2
206	мы это	1	2
207	во всяком	1	2
208	данном случае	2	2
209	ко мне	1	2
210	это мы	1	2
211	миф о	5	2
212	что тело	2	2
213	в противоположность	1	2
214	можно узнать	1	2
215	в состоянии	1	2
216	в виде	9	2
217	так же	5	2
218	эти два	1	2
219	же в	2	2
220	со всем	1	2
221	перед нами	2	2
222	в каких	1	2
223	человека и	2	2
224	часто это	1	2
225	не по	1	2
226	в жизни	1	2
227	только о	1	2
228	это может	1	2
229	сих пор	2	2
230	но мы	3	2
231	в тех	1	2
232	в конце	1	2
233	можно только	1	2
234	дело не	1	2
235	если в	3	2
236	после долгих	1	2
237	во всех	2	2
238	мы получаем	1	2
239	и жизнь	1	2
240	в их	1	2
241	новые и	1	2
242	с тем	8	2
243	в ней	5	2
244	что уже	1	2
245	того как	4	2
246	он входит	1	2
247	и я	1	2
248	но все	5	2
249	в искусстве	1	2
250	нами выше	1	2
251	мире и	1	2
252	вместе с	22	2
253	например в	5	2
254	мы же	1	2
255	иметь в	1	2
256	д и	1	2
257	на самом	1	2
258	к тому	1	2
259	или на	2	2
260	как из	1	2
261	или в	6	2
262	что есть	1	2
263	до сих	2	2
264	мы видим	8	2
265	виду что	1	2
266	в некоторых	4	2
267	он может	2	2
268	и при	2	2
269	следует что	1	2
270	думают что	2	2
271	ее в	2	2
272	и они	2	2
273	что у	4	2
274	что на	1	2
275	мы должны	4	2
276	зависимости от	1	2
277	это уже	2	2
278	мы в	1	2
279	к сожалению	1	2
280	в очень	1	2
281	том как	2	2
282	очевидно что	2	2
283	всяком случае	1	2
284	в истории	4	2
285	тем что	10	2
286	тем не	4	2
287	уже и	2	2
288	в изображении	1	2
289	живут в	1	2
290	однако это	1	2
291	на всю	1	2
292	также что	3	2
293	и часто	1	2
294	само по	1	2
295	с одной	7	2
296	в зависимости	1	2
297	она и	1	2
298	от земли	1	2
299	искусству и	1	2
300	ибо оно	1	2
301	я был	1	2
302	в науке	1	2
303	и она	3	2
304	на этом	3	2
305	их в	3	2
306	не как	4	2
307	несмотря на	2	2
308	в своих	1	2
309	также и	1	2
310	обратим внимание	2	2
311	на него	8	2
312	в частности	7	2
313	но в	1	2
314	его не	3	2
315	когда они	2	2
316	то это	3	2
317	себя в	6	2
318	в царство	3	2
319	а я	1	2
320	тем же	1	2
321	хотя в	1	2
322	что здесь	3	2
323	что с	1	2
324	всегда есть	1	2
325	как в	6	2
326	остается только	1	2
327	ни на	1	2
328	миф и	1	2
329	есть уже	1	2
330	что мы	2	2
331	во время	7	2
332	самого начала	1	2
333	в другое	1	2
334	и еще	1	1
335	основной вывод	1	1
336	главным образом	1	1
337	происходит в	1	1
338	все они	1	1
339	и извне	1	1
340	приводит к	1	1
341	но с	1	1
342	что можно	1	1
343	им и	2	1
344	и тем	4	1
345	пространство не	1	1
346	других формах	1	1
347	в животном	2	1
348	переходит на	1	1
349	его на	4	1
350	перейдем к	2	1
351	голову и	2	1
352	тех же	2	1
353	мы и	2	1
354	и оно	1	1
