N	2gram	Tiupa_Lite_3	Dialekti
1	не есть	1	54
2	и не	22	27
3	а не	12	26
4	точки зрения	7	25
5	и т	1	24
6	и в	16	24
7	это значит	1	24
8	не только	14	23
9	что такое	1	21
10	по себе	2	20
11	не может	8	19
12	не просто	1	18
13	и есть	1	16
14	с точки	3	14
15	то что	12	14
16	в таком	1	14
17	что он	5	13
18	вовсе не	1	13
19	может быть	12	13
20	и даже	2	13
21	есть только	1	12
22	того что	9	12
23	есть и	1	12
24	не менее	2	11
25	не имеет	1	11
26	отнюдь не	3	10
27	тем не	1	10
28	только не	1	10
29	есть не	1	9
30	то это	2	9
31	но и	14	9
32	нет ничего	1	9
33	в этом	14	8
34	и как	3	8
35	так что	1	8
36	прежде всего	3	8
37	том что	8	8
38	это и	1	7
39	в самом	3	7
40	как и	5	7
41	никогда не	4	7
42	как раз	2	7
43	потому что	3	7
44	в виду	1	7
45	только на	1	7
46	ничем не	1	7
47	что в	2	7
48	самом деле	3	6
49	что иное	1	6
50	я не	2	6
51	иное как	1	6
52	то же	9	6
53	и с	2	6
54	превращается в	1	6
55	оно не	2	6
56	если бы	2	6
57	что и	2	6
58	и только	2	6
59	о том	6	6
60	и жизни	3	6
61	так как	1	6
62	даже не	1	6
63	не на	1	6
64	и все	1	6
65	все это	1	6
66	не что	1	6
67	вопрос о	2	5
68	хотя и	4	5
69	и к	3	5
70	он не	1	5
71	так и	9	5
72	было бы	2	5
73	в них	1	5
74	и тогда	2	5
75	в том	12	5
76	в то	9	5
77	тогда когда	1	5
78	и притом	1	5
79	и сама	1	5
80	и его	6	5
81	только в	7	5
82	уже не	3	5
83	одно из	4	5
84	что не	2	5
85	что для	1	5
86	как это	3	5
87	с этой	2	5
88	но это	1	5
89	жизни и	3	5
90	как на	3	5
91	и то	1	4
92	говорить о	1	4
93	мы и	2	4
94	в чем	1	4
95	нет и	1	4
96	сама по	1	4
97	в истории	1	4
98	субъекта и	5	4
99	я должен	1	4
100	конечно не	1	4
101	подобно тому	2	4
102	собственно говоря	1	4
103	это не	5	4
104	на первый	1	4
105	от себя	2	4
106	тому что	1	4
107	как о	2	4
108	чтобы быть	1	4
109	можно только	1	4
110	жизнь и	1	4
111	о нем	2	4
112	к тому	6	4
113	с другой	6	4
114	для него	2	4
115	только ты	1	4
116	это будет	2	4
117	или иной	2	4
118	у нас	2	4
119	так же	2	4
120	тому как	3	4
121	сознания и	2	4
122	хотя бы	1	4
123	сказать что	1	4
124	была бы	1	3
125	из самых	1	3
126	мы уже	1	3
127	той же	3	3
128	и на	2	3
129	за пределы	1	3
130	и я	1	3
131	с этим	1	3
132	и объекта	1	3
133	в своем	1	3
134	все же	2	3
135	перед нами	1	3
136	как таковое	2	3
137	на то	2	3
138	в нем	2	3
139	в силу	1	3
140	факты как	1	3
141	он и	2	3
142	должно быть	4	3
143	имеется в	1	3
144	не в	10	3
145	особого рода	5	3
146	миф и	1	3
147	тем самым	7	3
148	она не	1	3
149	в основе	5	3
150	на себя	2	3
151	же время	7	3
152	во всем	1	3
153	уже и	1	3
154	и о	1	3
155	из двух	1	3
156	быть может	2	3
157	есть чудо	1	3
158	к нему	1	3
159	не надо	2	3
160	все время	3	3
161	и ее	2	3
162	с одной	4	3
163	есть в	1	3
164	сам собою	1	3
165	то и	1	3
166	из них	4	3
167	друг друга	1	3
168	случае не	1	3
169	тем что	2	3
170	для того	2	3
171	мы воспринимаем	1	3
172	не было	1	3
173	одной стороны	4	3
174	как бы	8	3
175	на свете	2	3
176	если не	2	3
177	и от	1	3
178	мира и	2	3
179	ни к	3	3
180	не знает	2	3
181	в слове	3	3
182	я и	10	2
183	например в	3	2
184	в частности	11	2
185	от самого	1	2
186	в первом	2	2
187	субъект и	2	2
188	исходит из	1	2
189	прошлое и	1	2
190	его не	1	2
191	так чтобы	2	2
192	из того	2	2
193	и самой	1	2
194	и он	1	2
195	в ней	1	2
196	начало и	1	2
197	еще не	6	2
198	бы то	2	2
199	с его	6	2
200	но не	4	2
201	своей и	1	2
202	и где	1	2
203	сознания в	1	2
204	но в	3	2
205	то в	3	2
206	от бога	1	2
207	в себе	6	2
208	тому же	5	2
209	и если	4	2
210	вообще не	1	2
211	при этом	15	2
212	и вот	2	2
213	что у	2	2
214	людей и	1	2
215	объект и	2	2
216	есть конечно	1	2
217	но совершенно	1	2
218	только одно	1	2
219	она и	2	2
220	все равно	1	2
221	этого не	1	2
222	и уже	1	2
223	несмотря на	2	2
224	она была	1	2
225	жизнь не	1	2
226	от своего	1	2
227	сознания но	1	2
228	в их	1	2
229	и эти	1	2
230	бы быть	1	2
231	с которой	2	2
232	о ней	1	2
233	и является	1	2
234	как я	1	2
235	исторического процесса	1	2
236	не вполне	2	2
237	у меня	1	2
238	личности в	3	2
239	уже о	3	2
240	когда мы	1	2
241	для такого	2	2
242	той или	2	2
243	все еще	3	2
244	для себя	2	2
245	как мы	2	2
246	более не	1	2
247	говоря уже	4	2
248	да что	1	2
249	так в	1	2
250	тут мы	1	2
251	разного рода	1	2
252	и всякого	1	2
253	для этого	1	2
254	нас к	2	2
255	нас в	1	2
256	в его	6	2
257	и она	1	2
258	что жизнь	1	2
259	тех пор	1	2
260	как например	2	2
261	повествование о	1	2
262	и тем	3	2
263	со всеми	2	2
264	себя в	7	2
265	и у	1	2
266	же в	2	2
267	руки и	1	2
268	бытия и	1	2
269	у него	1	2
270	он один	1	2
271	где есть	1	2
272	так или	2	2
273	со стороны	7	2
274	исходят из	1	2
275	или иначе	2	2
276	именно в	5	2
277	а именно	5	2
278	еще и	2	2
279	бытия в	2	2
280	своего собственного	1	2
281	себя и	2	2
282	быть только	2	2
283	в природе	4	2
284	без которых	1	2
285	однако не	3	2
286	и потому	2	2
287	нет ни	1	2
288	в данном	4	2
289	с тех	1	2
290	по существу	4	2
291	быть не	2	2
292	и для	4	2
293	себя самого	1	2
294	для нас	1	2
295	лишь как	1	2
296	бы в	1	2
297	но вот	1	2
298	а в	5	2
