1	и в	16	24
2	что он	2	21
3	не только	10	21
4	может быть	16	14
5	не может	9	14
6	что в	5	13
7	в этих	3	13
8	в этом	16	12
9	и здесь	1	12
10	мы имеем	2	12
11	как в	8	12
12	но и	11	11
13	том что	10	10
14	и что	1	10
15	а в	2	10
16	это не	3	10
17	с другой	5	9
18	не в	3	9
19	о том	4	9
20	все же	6	9
21	потому что	4	9
22	а не	14	8
23	то же	6	8
24	все это	2	8
25	еще не	6	8
26	что и	2	8
27	другой стороны	2	8
28	один из	1	7
29	вместе с	2	7
30	в первую	2	7
31	то что	5	7
32	в том	8	7
33	таким образом	1	7
34	во всех	1	7
35	одна из	1	7
36	тем что	1	6
37	в нем	7	6
38	и все	3	6
39	об этом	1	6
40	как и	16	6
41	но не	7	6
42	только в	3	6
43	с этой	1	6
44	он не	3	6
45	того что	1	6
46	ответ на	1	6
47	представляют собой	1	5
48	одной стороны	4	5
49	от героя	1	5
50	с ним	1	5
51	право на	1	5
52	видно что	1	5
53	с одной	4	5
54	но в	11	5
55	ничего не	1	5
56	дело не	1	5
57	в русской	3	5
58	не менее	7	5
59	так и	9	5
60	там где	1	5
61	в чем	1	5
62	отношение к	2	5
63	в магии	1	4
64	при этом	17	4
65	точки зрения	4	4
66	так в	1	4
67	как бы	4	4
68	тем не	1	4
69	никогда не	2	4
70	со своим	2	4
71	вовсе не	1	4
72	в других	1	4
73	одной из	1	4
74	но все	1	4
75	в данном	7	4
76	же как	2	4
77	на первый	2	4
78	своего рода	10	4
79	и не	15	4
80	первый взгляд	2	4
81	в состоянии	1	4
82	представляет собой	11	4
83	мы не	1	4
84	например в	3	3
85	того как	1	3
86	хотя и	1	3
87	показывает как	1	3
88	в лоб	1	3
89	и его	3	3
90	так что	1	3
91	тогда как	11	3
92	не вполне	1	3
93	и наконец	3	3
94	превращается в	1	3
95	данном случае	6	3
96	не столько	3	3
97	обращается к	1	3
98	вопрос о	1	3
99	но они	1	3
100	в качестве	16	3
101	но есть	1	3
102	не случайно	1	3
103	они же	1	3
104	его в	3	3
105	когда он	1	3
106	в образе	1	3
107	из этих	3	3
108	ее в	1	3
109	и даже	1	3
110	в них	3	3
111	с ней	2	3
112	где герой	3	3
113	приходит к	1	3
114	но это	3	3
115	с его	6	3
116	и герой	1	3
117	к себе	1	3
118	вплоть до	1	2
119	со своей	1	2
120	все дело	1	2
121	в ее	1	2
122	в одной	1	2
123	не могут	1	2
124	в которой	1	2
125	магической силой	1	2
126	а потом	2	2
127	там же	2	2
128	в самом	1	2
129	то чтобы	1	2
130	перед нами	3	2
131	и так	1	2
132	к которой	2	2
133	как это	1	2
134	уже не	3	2
135	и там	1	2
136	восходит к	3	2
137	здесь не	2	2
138	его не	1	2
139	к этому	4	2
140	того же	2	2
141	сказать что	1	2
142	не имеют	1	2
143	во всем	1	2
144	в особенности	1	2
145	быть признаны	1	2
146	что из	1	2
147	к ней	1	2
148	и др	1	2
149	ни в	7	2
150	из них	3	2
151	рассказ о	2	2
152	не стоит	1	2
153	этом и	1	2
154	друг друга	1	2
155	в форме	1	2
156	из другой	1	2
157	в силу	1	2
158	что этот	1	2
159	три года	1	2
160	только о	1	2
161	и это	2	2
162	только на	1	2
163	в котором	3	2
164	в основе	4	2
165	но при	2	2
166	им в	1	2
167	героя но	1	2
168	в таких	1	2
169	но здесь	2	2
170	отличается от	1	2
171	если в	1	2
172	все эти	3	2
173	и ее	3	2
174	более поздним	1	2
175	на этот	1	2
176	она не	1	2
177	близок к	1	2
