N	3gram	Vygotskiy__5	EvropaiC
1	в том что	14	16
2	до сих пор	5	12
3	по отношению к	1	10
4	друг с другом	3	9
5	с точки зрения	2	8
6	на самом деле	2	7
7	более или менее	1	7
8	мы знаем что	2	7
9	на то что	16	7
10	друг от друга	2	6
11	мы говорили выше	2	6
12	для того чтобы	19	6
13	в самом деле	5	5
14	по сравнению с	4	5
15	которых мы говорили	1	4
16	в каждый данный	1	4
17	в этом случае	2	4
18	сих пор не	1	4
19	в том случае	1	4
20	может быть и	2	4
21	с другой стороны	5	4
22	не может быть	2	4
23	о том что	6	4
24	тот факт что	4	4
25	о которых мы	2	4
26	в конце концов	2	4
27	и того же	2	3
28	одного и того	2	3
29	каждый данный момент	1	3
30	и то что	3	3
31	так же как	2	3
32	в данном случае	2	3
33	все же не	1	3
34	в целом ряде	1	3
35	заключается в том	6	3
36	в том виде	1	2
37	не в состоянии	3	2
38	но так как	1	2
39	в том и	2	2
40	том что он	1	2
41	принять во внимание	2	2
42	только то что	1	2
43	заключает в себе	4	2
44	несмотря на то	1	2
45	вместе с тем	3	2
46	именно потому что	2	2
47	каждый из этих	1	2
48	с одной стороны	12	2
49	а с другой	4	2
50	друг к другу	4	2
51	в свою очередь	1	2
52	ничего общего с	1	2
53	мы все же	3	2
54	в своем целом	1	2
55	и в том	1	2
56	с только что	1	1
57	некоторое сходство с	1	1
58	еще далеко не	1	1
59	том виде как	1	1
60	по этому вопросу	1	1
61	указали выше на	1	1
62	психологической точки зрения	1	1
63	уверены в том	1	1
64	и то же	3	1
65	с тем как	1	1
66	состоит именно в	1	1
67	иметь в виду	3	1
68	дело в том	1	1
69	уже указали выше	1	1
70	то время как	1	1
71	которое на самом	1	1
72	никак не может	3	1
73	самого начала в	1	1
74	то же самое	3	1
75	вступить в противоречие	1	1
76	то что эти	1	1
77	между тем мы	1	1
78	образом оказывается что	1	1
79	в лучшем случае	3	1
80	в зависимости от	6	1
81	те черты которые	1	1
82	нет ничего общего	1	1
83	таким образом все	2	1
84	мы находим в	1	1
85	из того что	3	1
86	чтобы заметить что	1	1
87	совершенно ясно что	5	1
88	том или ином	1	1
89	это имеет место	1	1
90	много но все	1	1
91	по крайней мере	1	1
92	одно и то	3	1
93	так как все	1	1
94	но все они	1	1
95	то обстоятельство что	1	1
96	во внимание что	1	1
97	в том или	1	1
98	к ней и	1	1
99	если мы возьмем	1	1
100	в правильности этого	1	1
101	в противоречие с	1	1
102	на деле это	1	1
103	средством к этому	1	1
104	на задний план	1	1
105	с психологической точки	1	1
106	состоит в том	2	1
107	а в нашем	1	1
108	в целом в	1	1
109	благодаря тому что	1	1
110	как и вообще	1	1
111	что ни одна	1	1
112	приводит к тому	1	1
113	указывали на то	1	1
114	но вместе с	1	1
115	что у него	1	1
116	и так как	1	1
117	о котором мы	3	1
118	и той же	2	1
119	вместо того чтобы	1	1
120	все то что	2	1
121	именно в том	2	1
122	шаг за шагом	1	1
123	но в сущности	1	1
124	образом мы видим	2	1
125	и таким образом	2	1
126	а в том	1	1
127	и все же	1	1
128	надо сказать что	1	1
129	до тех пор	2	1
130	самом деле есть	1	1
131	таким образом мы	2	1
132	то для того	1	1
133	в то время	1	1
134	из которых каждый	1	1
135	смысле этого слова	1	1
136	и сейчас в	1	1
137	с самого начала	3	1
138	не только не	4	1
139	и что все	1	1
140	мало того что	1	1
141	ни одна из	1	1
142	сейчас же после	1	1
143	что это есть	2	1
144	по его мнению	2	1
145	из этих элементов	1	1
146	мы видели что	1	1
147	это действительно так	2	1
148	к тому что	6	1
149	мы видим что	3	1
150	одной и той	2	1
151	самом деле если	2	1
152	идет речь в	1	1
153	таким образом для	1	1
154	что это действительно	1	1
155	для этого необходимо	2	1
156	и ко всем	1	1
157	том что оно	1	1
158	и в другом	1	1
159	их в совершенно	1	1
