1	в его	23	43
2	и не	20	42
3	и в	24	38
4	познания и	4	30
5	не может	16	27
6	может быть	14	26
7	как бы	6	22
8	по отношению	4	21
9	в художественном	3	20
10	отношению к	4	19
11	отнюдь не	6	19
12	к содержанию	1	17
13	и с	8	17
14	и его	10	16
15	и поступка	1	15
16	в этом	15	15
17	в нем	14	15
18	и т	12	14
19	независимо от	4	13
20	только в	2	13
21	прежде всего	22	13
22	т п	4	13
23	в искусстве	5	12
24	но не	3	12
25	художественного творчества	1	12
26	за пределы	2	12
27	в единстве	7	12
28	ни в	2	11
29	художественного произведения	23	11
30	и для	1	11
31	в области	3	11
32	во всех	5	11
33	к материалу	1	11
34	материала в	3	10
35	к нему	1	10
36	в их	11	10
37	таким образом	13	10
38	не входит	1	10
39	отношение к	3	10
40	его в	3	9
41	не имеет	1	9
42	художественной формы	2	9
43	но и	7	9
44	не только	7	9
45	входит в	6	8
46	было бы	6	8
47	точки зрения	16	8
48	произведения как	2	8
49	место в	7	8
50	и др	5	8
51	художественное произведение	6	8
52	и как	3	8
53	для нее	1	8
54	в том	6	8
55	то что	8	8
56	но отнюдь	1	7
57	с помощью	3	7
58	действительность познания	1	7
59	что в	4	7
60	с другой	5	7
61	совершенно не	1	7
62	как мы	5	7
63	в своей	11	7
64	как и	11	7
65	еще не	6	7
66	не в	8	7
67	между тем	2	7
68	в самом	5	7
69	вообще не	1	7
70	слова в	1	7
71	не есть	2	6
72	произведение в	3	6
73	с точки	13	6
74	и наконец	3	6
75	только как	2	6
76	момент содержания	1	6
77	в пределах	6	6
78	в психике	1	6
79	а в	6	6
80	в м	1	6
81	ничего не	2	6
82	самом деле	6	6
83	там где	1	6
84	все же	3	6
85	на основе	6	6
86	отношения к	6	6
87	могут быть	1	5
88	а не	10	5
89	тем как	1	5
90	все эти	6	5
91	при этом	5	5
92	с ним	2	5
93	художественном произведении	3	5
94	и о	1	5
95	в большинстве	3	5
96	творчества и	1	5
97	в высшей	1	5
98	и созерцателя	1	5
99	конечно не	4	5
100	никогда не	4	5
101	должно быть	11	5
102	его целом	8	5
103	в основе	3	5
104	большинстве случаев	2	5
105	произведения в	8	5
106	к единству	1	5
107	в содержание	2	5
108	в них	3	5
109	быть только	1	5
110	отличие от	1	5
111	в отличие	1	5
112	так и	18	5
113	не на	2	5
114	себя как	1	5
115	художника и	1	5
116	высшей степени	1	5
117	далеко не	1	5
118	в своем	11	5
119	то же	10	5
120	это не	2	5
121	формы и	5	5
122	в ее	8	4
123	произведение как	3	4
124	мы здесь	1	4
125	другой стороны	1	4
126	чтобы стать	2	4
127	организованного материала	1	4
128	не должна	7	4
129	перестает быть	3	4
130	каждый момент	1	4
131	представлять себе	3	4
132	и потому	9	4
133	может и	2	4
134	сказать что	1	4
135	более того	3	4
136	здесь не	3	4
137	содержания в	1	4
138	но в	5	4
139	должны быть	5	4
140	к которому	2	4
141	тем самым	3	4
142	конститутивным моментом	2	4
143	между ними	3	4
144	лишь как	5	4
145	должна быть	7	4
146	в ней	10	4
147	данном случае	1	4
148	в форме	1	4
149	на самом	7	4
150	в нашем	2	4
151	в данном	1	4
152	в произведении	2	4
153	что не	1	4
154	не с	2	4
155	как в	8	4
156	в более	1	4
157	не менее	11	4
158	от всех	3	4
159	в то	9	4
160	но конечно	1	4
161	хотя бы	5	4
162	в себе	3	4
163	несмотря на	1	3
164	строго различать	1	3
165	если бы	4	3
166	искусства не	2	3
167	хотя и	1	3
168	действительностью познания	1	3
169	и должна	2	3
170	ни было	2	3
171	выходя за	1	3
172	одной стороны	4	3
173	приводит к	2	3
174	все это	9	3
175	а как	2	3
176	произведении как	3	3
177	и содержание	2	3
178	за его	1	3
179	они не	3	3
180	же время	8	3
181	из важнейших	2	3
182	также и	1	3
183	тем не	1	3
184	например в	1	3
185	может стать	1	3
186	оно не	4	3
187	с одной	4	3
188	и все	6	3
189	в противном	1	3
190	действительности и	3	3
191	его своеобразии	1	3
192	применении к	2	3
193	на ее	1	3
194	едва ли	1	3
195	и должно	2	3
196	мы увидим	4	3
197	в применении	2	3
198	его как	3	3
199	то ни	3	3
