1	и в	24	37
2	в отношении	3	32
3	в пределах	6	25
4	точки зрения	16	23
5	что в	4	21
6	не только	7	18
7	с точки	13	17
8	в то	9	16
9	то же	10	15
10	отношении к	2	15
11	хотя бы	5	15
12	же время	8	14
13	но в	5	14
14	но и	7	14
15	и не	20	14
16	в своем	11	14
17	в этом	15	12
18	в области	3	11
19	в том	6	11
20	в их	11	11
21	так и	18	10
22	в смысле	1	9
23	отнюдь не	6	9
24	не может	16	9
25	только в	2	9
26	так же	4	9
27	т е	34	9
28	прежде всего	22	9
29	все более	2	9
30	в себе	3	9
31	в ее	8	8
32	было бы	6	8
33	к тому	3	8
34	одной стороны	4	8
35	в своей	11	8
36	между тем	2	8
37	с одной	4	8
38	думать что	3	8
39	между прочим	1	7
40	по своему	1	7
41	с другой	5	7
42	как и	11	7
43	также и	1	7
44	а также	1	7
45	нам кажется	1	7
46	того что	5	7
47	в областях	1	7
48	так как	1	7
49	вслед за	1	6
50	того чтобы	1	6
51	том что	1	6
52	как бы	6	6
53	вовсе не	10	6
54	то что	8	6
55	во всех	5	6
56	стороны и	4	6
57	на то	1	6
58	в экономическом	1	6
59	и даже	3	6
60	и на	8	6
61	с этой	4	6
62	может быть	14	6
63	от этого	2	5
64	не в	8	5
65	в виде	1	5
66	в частности	4	5
67	и потому	9	5
68	и по	1	5
69	в россии	3	5
70	тем самым	3	5
71	как нам	1	5
72	но не	3	5
73	одной из	2	5
74	которую мы	1	5
75	этой точки	1	5
76	же как	2	5
77	в той	1	5
78	со стороны	5	5
79	как мы	5	5
80	несмотря на	1	4
81	мира в	2	4
82	и притом	1	4
83	для нас	1	4
84	как это	6	4
85	культуры в	1	4
86	тем более	1	4
87	сказать что	1	4
88	к ней	2	4
89	не имеет	1	4
90	вопрос о	2	4
91	то ни	3	4
92	по себе	5	4
93	в самом	5	4
94	в ней	10	4
95	то в	1	4
96	именно в	8	4
97	как совокупность	1	4
98	или иного	3	4
99	или иной	1	4
100	ни было	2	4
101	не на	2	4
102	в процессе	9	4
103	но даже	1	4
104	техники и	2	4
105	бы то	3	4
106	можно сказать	1	4
107	того или	2	4
108	мы не	3	4
109	независимо от	4	4
110	в данной	1	3
111	потому что	1	3
112	в стороне	1	3
113	идет о	2	3
114	в свою	8	3
115	на себя	1	3
116	место в	7	3
117	во всяком	4	3
118	мира и	1	3
119	и для	1	3
120	всяком случае	4	3
121	ни на	3	3
122	применении к	2	3
123	никогда не	4	3
124	как на	4	3
125	в применении	2	3
126	в результате	2	3
127	не дает	2	3
128	когда он	3	3
129	уже и	1	3
130	и тем	1	3
131	бы и	1	3
132	себе в	1	3
133	и со	2	3
134	в данном	1	3
135	обстоит дело	1	3
136	связано с	1	3
137	что и	2	3
138	их отношении	1	3
139	от них	1	3
140	и к	4	3
141	не из	4	3
142	как в	8	3
143	в них	3	3
144	ее в	1	3
145	время в	3	3
146	вообще не	1	3
147	этом смысле	1	3
148	на своем	2	3
149	там где	1	3
150	во второй	1	3
151	не является	1	3
152	из них	1	3
153	этом отношении	1	3
154	себе не	1	3
155	во все	1	3
156	и от	7	3
157	с тем	2	3
158	бы ни	5	3
159	в общем	3	3
160	мы видели	2	3
161	большинстве случаев	2	3
162	жизни в	2	3
163	культуры как	1	2
164	мира не	1	2
165	ее от	2	2
166	свою очередь	6	2
167	не могут	1	2
168	в своих	2	2
169	культуры с	2	2
170	не чуждо	1	2
171	наряду с	1	2
172	не есть	2	2
173	а не	10	2
174	же в	3	2
175	хотя и	1	2
176	к нему	1	2
177	целый ряд	3	2
178	на язык	3	2
179	говоря уже	1	2
180	подходит к	3	2
181	чем на	1	2
182	влияние на	3	2
183	участие в	1	2
184	заключается в	1	2
