N	2gram	Vygotskiy__5	Formalny
1	и в	16	24
2	в его	11	23
3	прежде всего	3	22
4	и не	12	20
5	так и	7	18
6	не может	18	16
7	точки зрения	18	16
8	в этом	25	15
9	в нем	7	14
10	может быть	9	14
11	таким образом	19	13
12	с точки	9	13
13	не менее	3	11
14	в своей	2	11
15	в их	3	11
16	должно быть	8	11
17	как и	8	11
18	в своем	5	11
19	и ее	1	10
20	и их	4	10
21	вовсе не	2	10
22	то же	8	10
23	и его	3	10
24	а не	10	10
25	в ней	2	10
26	в то	5	9
27	и потому	2	9
28	в процессе	13	9
29	все это	2	9
30	не в	6	8
31	и с	3	8
32	в ее	1	8
33	то что	26	8
34	и на	6	8
35	как в	5	8
36	лишь в	1	8
37	именно в	4	8
38	в свою	4	8
39	место в	1	7
40	на самом	1	7
41	но и	6	7
42	с ее	1	7
43	жизни и	2	7
44	в единстве	2	7
45	до конца	3	7
46	не только	16	7
47	должна быть	5	7
48	и от	2	7
49	все эти	4	6
50	и здесь	2	6
51	еще не	4	6
52	входит в	1	6
53	как таковой	1	6
54	и все	1	6
55	сих пор	3	6
56	до сих	3	6
57	как это	8	6
58	а в	3	6
59	отношения к	2	6
60	в том	18	6
61	в целом	4	6
62	свою очередь	3	6
63	она не	1	6
64	на основе	2	6
65	или менее	1	6
66	более или	1	6
67	в этой	6	6
68	самом деле	3	6
69	было бы	10	6
70	форм и	2	6
71	в пределах	4	6
72	как бы	5	6
73	должны быть	2	5
74	при этом	4	5
75	только на	2	5
76	в понимании	1	5
77	во всех	2	5
78	по себе	7	5
79	хотя бы	5	5
80	того что	16	5
81	как мы	10	5
82	у нас	2	5
83	не могло	1	5
84	в самом	4	5
85	с другой	4	5
86	но в	6	5
87	со стороны	1	5
88	в которой	5	4
89	главным образом	1	4
90	во всяком	2	4
91	в связи	1	4
92	так же	15	4
93	отношению к	12	4
94	учение о	2	4
95	этой последней	2	4
96	стороны и	2	4
97	оно не	1	4
98	что в	16	4
99	ближайшим образом	1	4
100	с этой	4	4
101	независимо от	1	4
102	по отношению	12	4
103	и к	2	4
104	к этой	3	4
105	мы увидим	1	4
106	в истории	2	4
107	при таком	1	4
108	никогда не	5	4
109	всяком случае	1	4
110	и может	3	4
111	одной стороны	3	4
112	для этого	1	4
113	с одной	3	4
114	не как	1	4
115	в частности	3	4
116	если бы	8	4
117	с его	1	4
118	как на	3	4
119	значение в	3	3
120	сводится к	1	3
121	и непосредственно	1	3
122	все же	3	3
123	для него	5	3
124	бы в	4	3
125	и наконец	1	3
126	аналогии с	1	3
127	бы то	1	3
128	отличается от	1	3
129	целый ряд	1	3
130	же в	2	3
131	связи с	3	3
132	думать что	1	3
133	не было	1	3
134	в жизни	2	3
135	тем самым	8	3
136	это последнее	1	3
137	если он	2	3
138	более того	1	3
139	влияние на	1	3
140	со всеми	2	3
141	с помощью	10	3
142	но не	10	3
143	лучшем случае	4	3
144	смысле этого	1	3
145	отношение к	11	3
146	между ними	1	3
147	к тому	6	3
148	и даже	2	3
149	и других	1	3
150	на все	5	3
151	они не	3	3
152	это и	3	3
153	в отношении	9	3
154	зависимости от	2	3
155	как она	3	3
156	один из	1	3
157	ясно что	1	3
158	значение и	1	3
159	в основе	8	3
160	в каждом	1	3
161	по аналогии	1	3
162	в них	2	3
163	этого слова	1	3
164	так сказать	1	3
165	когда он	2	3
166	вне ее	1	3
167	как к	1	3
168	определяется и	1	3
169	мы не	3	3
170	или иного	1	3
171	в основном	1	3
172	его в	2	3
173	в области	12	3
174	в систему	1	3
175	он должен	5	3
176	что он	25	3
177	со всей	1	3
178	говорит он	2	3
179	роли в	1	3
180	в общем	1	3
181	ни на	2	3
182	в лучшем	3	3
183	и как	3	3
184	в себе	1	3
185	он не	8	3
186	оно должно	1	3
187	но это	3	3
188	но для	1	3
189	ни одного	2	2
190	исследования и	2	2
191	приводит к	7	2
192	теоретической мысли	1	2
193	места в	1	2
194	вопрос о	12	2
195	если же	1	2
196	ее от	1	2
197	на их	2	2
198	и самый	1	2
199	влияния на	1	2
200	перейти к	3	2
201	ни были	1	2
202	прав когда	1	2
203	прежде чем	1	2
204	учения о	2	2
205	и является	3	2
206	и развития	12	2
207	как с	3	2
208	к другим	1	2
209	вопрос об	3	2
210	как раз	1	2
211	была бы	1	2
212	значение для	2	2
213	оно было	1	2
214	его и	3	2
215	к которому	4	2
216	иначе как	2	2
217	нисколько не	1	2
218	плоскости и	1	2
219	определенное место	1	2
220	а только	4	2
221	не дает	2	2
222	и те	1	2
223	от друга	4	2
224	того или	1	2
225	с тем	3	2
226	в одном	3	2
227	в нашем	1	2
228	том чтобы	1	2
229	в применении	1	2
230	не можем	1	2
231	но все	2	2
232	и должен	1	2
233	одной из	3	2
234	науки к	1	2
235	вместе с	4	2
236	к действительности	1	2
237	здесь в	1	2
238	она есть	1	2
239	они становятся	1	2
240	к новому	1	2
241	не так	1	2
242	между тем	3	2
243	это не	4	2
244	мы видели	3	2
245	к ней	1	2
246	или на	1	2
247	не с	2	2
248	мысли в	4	2
249	более и	1	2
250	за пределы	4	2
251	одновременно с	1	2
252	сама по	4	2
253	ко всем	1	2
254	в системе	4	2
255	все время	1	2
256	из важнейших	1	2
257	не прав	1	2
258	не на	3	2
259	научной мысли	2	2
260	что было	2	2
261	с этим	3	2
262	во всем	2	2
263	отражение в	1	2
264	ни в	1	2
265	их на	1	2
266	ничего не	5	2
267	под влиянием	1	2
268	только в	10	2
269	эту проблему	1	2
270	функций в	1	2
271	из системы	3	2
272	отношении к	1	2
273	и заключается	1	2
274	или иначе	1	2
275	только не	3	2
276	в зависимости	2	2
277	чтобы он	1	2
278	таком понимании	1	2
279	он в	3	2
280	же как	7	2
281	от того	3	2
282	на всю	2	2
283	на его	2	2
284	что и	3	2
285	является для	2	2
286	и что	12	2
287	в результате	4	2
288	в действительности	3	2
289	этом процессе	1	2
290	и развитие	17	2
291	непосредственно из	1	2
292	в различных	2	2
293	в своих	2	2
294	из виду	2	2
295	не приходится	1	2
296	по существу	3	2
297	единство в	1	2
298	друг от	4	2
299	всего этого	1	2
300	предполагает уже	1	2
301	таким же	3	2
302	от нее	1	2
303	все более	1	2
304	этом пункте	1	2
305	структура как	1	2
306	точка зрения	8	2
307	к миру	1	2
308	если мы	7	2
309	в самой	1	2
310	бы оно	1	2
311	с ним	5	2
312	и это	1	2
313	применении к	1	2
314	на нее	2	2
315	для этой	1	2
316	гуманитарных наук	1	2
317	для всякого	1	2
318	совершается в	2	2
319	еще в	3	2
320	не имеющие	1	2
321	не есть	4	2
322	и более	3	2
323	связи и	2	1
324	они вовсе	1	1
325	действительно существует	1	1
326	что каждый	1	1
327	что между	4	1
328	смысле можно	1	1
329	эти особенности	1	1
330	и состоит	1	1
331	для всех	1	1
332	уже о	1	1
333	думается нам	1	1
334	или иных	1	1
335	в ряде	2	1
336	не знает	5	1
337	материал и	1	1
338	том что	15	1
339	и из	2	1
340	сравнению с	5	1
341	в форме	1	1
342	большей степени	1	1
343	для нас	1	1
344	путь от	2	1
345	его на	2	1
346	является своеобразным	1	1
347	в обоих	1	1
348	тогда как	1	1
349	числе и	1	1
350	из этого	2	1
351	говорить о	3	1
352	самого процесса	3	1
353	можно сказать	5	1
354	заключается именно	1	1
355	но он	7	1
356	о понимании	1	1
357	это положение	1	1
358	и понимания	1	1
359	связи между	1	1
360	он устанавливает	1	1
361	что они	5	1
362	не умеет	3	1
363	ее своеобразии	1	1
364	даже не	1	1
365	а это	1	1
366	в более	2	1
367	оно является	3	1
368	мышления и	4	1
369	никто не	2	1
370	с практической	1	1
371	независимых друг	1	1
372	к этим	1	1
373	этой цели	1	1
374	сущности и	1	1
375	в этот	2	1
376	целого это	1	1
377	это единство	1	1
378	его собственной	1	1
379	стремление в	1	1
380	этими двумя	2	1
381	мы различаем	2	1
382	теории в	1	1
383	выработанные в	1	1
384	и эти	2	1
385	кроме того	1	1
386	и просто	1	1
387	друг другу	2	1
388	и социальной	1	1
389	зависит от	4	1
390	пределы в	1	1
391	были не	1	1
392	отношением к	2	1
393	только при	1	1
394	меньше чем	1	1
395	с понятием	1	1
396	на то	1	1
