N	3gram	Vygotskiy__1	Formalny
1	с точки зрения	2	13
2	в настоящее время	2	10
3	и т д	8	8
4	более или менее	2	6
5	на самом деле	2	6
6	до сих пор	3	6
7	в свою очередь	1	6
8	не может быть	8	5
9	одной стороны и	1	4
10	марксистской науки об	1	4
11	с одной стороны	5	4
12	во всяком случае	6	4
13	так и в	2	4
14	и т п	15	4
15	смысле этого слова	2	3
16	художественное произведение как	1	2
17	только и может	1	2
18	а вовсе не	1	2
19	художественного произведения и	1	2
20	в зависимости от	5	2
21	сами по себе	1	2
22	и в каждом	1	2
23	и в частности	1	2
24	в применении к	2	2
25	мы полагаем что	1	2
26	в том чтобы	7	2
27	дело идет о	1	2
28	и в этом	1	2
29	в связи с	1	2
30	только на почве	2	2
31	в связи со	1	2
32	в целом ряде	2	2
33	как и всякая	1	2
34	из виду что	1	2
35	мы не можем	2	2
36	не только не	3	2
37	в художественном произведении	3	2
38	при таком понимании	1	2
39	сама по себе	2	2
40	художественного произведения которое	1	1
41	еще далеко не	1	1
42	ясно что для	1	1
43	ее от всех	1	1
44	состоит в том	2	1
45	в чем же	1	1
46	произведения как бы	1	1
47	упуская из виду	2	1
48	в этом смысле	2	1
49	в том и	2	1
50	его в сторону	1	1
51	может считаться совершенно	1	1
52	таким образом оказывается	1	1
53	его места в	1	1
54	же как и	1	1
55	это отношение к	1	1
56	произведение искусства есть	2	1
57	не может не	1	1
58	и во всех	1	1
59	значение и смысл	1	1
60	при этом не	2	1
61	социальной жизни в	1	1
62	неотрывной связи со	1	1
63	в том что	9	1
64	сих пор недостаточно	1	1
65	того что нужно	1	1
66	в этом отношении	2	1
67	самого художественного произведения	1	1
68	художественного произведения ни	1	1
69	вместо того чтобы	1	1
70	не меньше чем	1	1
71	художественного произведения не	1	1
72	том числе и	1	1
73	резко отличается от	1	1
74	к тому чтобы	3	1
75	сложны и тонки	1	1
76	науки об искусстве	1	1
77	широком смысле слова	1	1
78	с этой точки	4	1
79	вместе с тем	2	1
80	отнюдь не является	1	1
81	в это время	1	1
82	мы видим что	2	1
83	содержания в искусстве	1	1
84	до конца и	1	1
85	прежде всего и	1	1
86	что на самом	1	1
87	в отличие от	3	1
88	по сравнению с	1	1
89	и потому не	1	1
90	в последнее время	2	1
91	чтобы понять что	1	1
92	областями социальной жизни	1	1
93	но вместе с	1	1
94	со всеми другими	1	1
95	эта точка зрения	1	1
96	в эстетике и	2	1
97	это и не	1	1
98	эстетикой сверху и	1	1
99	точном смысле этого	1	1
100	связанных с их	1	1
101	с другой стороны	5	1
102	так же как	4	1
103	эта тенденция к	2	1
104	и в том	1	1
105	все то что	3	1
106	между тем как	1	1
107	как и всякий	1	1
108	иначе как в	1	1
109	в широком смысле	1	1
110	по себе не	2	1
111	бы ни было	1	1
112	этой точки зрения	5	1
113	круг проблем и	1	1
114	об искусстве но	1	1
115	совершенно независимо от	1	1
116	до тех пор	1	1
117	вовсе не есть	1	1
118	от того что	2	1
119	содержание художественного произведения	1	1
120	в процессе развития	1	1
121	та или иная	1	1
122	каждого из этих	2	1
123	она не должна	1	1
124	в своей основе	1	1
125	к нему и	1	1
126	с самого начала	1	1
127	т п в	1	1
128	здесь нет и	1	1
129	как своего рода	1	1
130	как мы знаем	1	1
131	заключается в том	6	1
132	в этом романе	1	1
133	как одна из	2	1
134	в том числе	1	1
135	может показаться что	1	1
136	тех или иных	2	1
137	тому что он	1	1
138	тем не менее	2	1
139	и может стать	1	1
140	на то чтобы	2	1
141	выходит за пределы	1	1
142	что и в	2	1
143	в его конкретной	1	1
144	вслед за этим	1	1
145	мы увидим что	2	1
146	мы различаем в	1	1
