N	2gram	Berdyaev_O_1	Formalny
1	и в	19	38
2	в этом	12	27
3	т е	4	26
4	может быть	11	23
5	и его	4	21
6	и пр	1	21
7	и не	13	20
8	в самом	5	16
9	не в	11	15
10	прежде всего	9	15
11	не может	4	14
12	в нем	10	13
13	но и	13	13
14	с его	4	11
15	с тем	2	11
16	в том	5	11
17	вовсе не	1	11
18	в его	7	10
19	не только	11	9
20	и с	2	9
21	как и	6	9
22	в процессе	1	9
23	самом деле	1	8
24	все же	2	8
25	так и	2	8
26	что и	2	8
27	тем что	2	8
28	в корне	1	7
29	лишь в	7	7
30	по себе	2	7
31	для него	5	7
32	в своей	2	7
33	уже не	1	7
34	этом отношении	1	7
35	в других	2	7
36	не могут	3	7
37	что в	4	7
38	и ее	3	6
39	в ней	1	6
40	в истории	2	6
41	все эти	4	6
42	в этой	5	6
43	было бы	3	6
44	он не	7	6
45	могут быть	3	6
46	все время	1	6
47	первый период	1	6
48	то что	5	6
49	не было	9	6
50	а не	11	6
51	хотя бы	3	6
52	а в	5	6
53	должна быть	1	5
54	в первый	1	5
55	если бы	1	5
56	говорит он	1	5
57	говорит в	1	5
58	что он	3	5
59	всяком случае	1	5
60	что же	2	5
61	и для	2	5
62	бы в	1	5
63	еще более	1	5
64	во всяком	1	5
65	в сущности	1	4
66	одним словом	1	4
67	что они	2	4
68	как в	1	4
69	и к	2	4
70	ничего не	2	4
71	но в	2	4
72	что не	4	4
73	из них	1	4
74	так как	2	4
75	даже и	2	4
76	лишь для	1	4
77	и даже	1	4
78	как бы	3	4
79	совершенно не	1	4
80	к этому	2	4
81	например в	1	3
82	сам по	1	3
83	тем же	1	3
84	и до	1	3
85	из всего	2	3
86	мы не	1	3
87	между этими	1	3
88	и на	2	3
89	как к	2	3
90	хотя и	2	3
91	и как	1	3
92	от этого	1	3
93	что это	1	3
94	его в	2	3
95	это было	3	3
96	он и	1	3
97	только и	4	3
98	его с	1	3
99	не есть	2	3
100	можно и	1	3
101	того чтобы	4	3
102	особенно в	1	3
103	и здесь	1	3
104	к нему	3	3
105	того что	3	3
106	для того	3	3
107	и прежде	1	3
108	системы и	1	3
109	речи и	1	3
110	все это	6	3
111	на самом	1	3
112	и все	10	3
113	была бы	1	3
114	жизни и	1	3
115	и то	2	2
116	науки о	1	2
117	между двумя	1	2
118	к другому	1	2
119	было и	1	2
120	его не	2	2
121	он был	8	2
122	совсем не	2	2
123	но не	1	2
124	отношение к	5	2
125	в одной	1	2
