1	в самом деле	5	18
2	в том что	2	11
3	с точки зрения	7	9
4	для того чтобы	3	8
5	с самого начала	2	6
6	до сих пор	1	5
7	и т п	9	5
8	с одной стороны	1	5
9	с другой стороны	3	5
10	и т д	5	4
11	то и другое	2	3
12	и в этом	5	3
13	и то и	2	3
14	то что он	1	2
15	только в том	1	2
16	к тому что	2	2
17	все более и	1	2
18	в том смысле	3	2
19	не совпадает с	1	2
20	по аналогии с	1	2
21	как мы увидим	1	2
22	была бы совершенно	2	2
23	между тем в	1	2
24	вместе с тем	4	2
25	во всяком случае	5	2
26	смысле этого слова	1	2
27	не в том	3	2
28	а вовсе не	1	2
29	на самом деле	3	2
30	в данном случае	1	2
31	в свою очередь	1	2
32	в какой мере	2	2
33	в таком виде	1	2
34	более и более	1	2
35	мы не можем	1	2
36	и все те	1	2
37	только то что	1	2
38	как мы видели	4	2
39	за счет ее	1	1
40	и здесь не	1	1
41	к тому чтобы	2	1
42	их в той	1	1
43	нельзя согласиться с	1	1
44	не было бы	1	1
45	существу вовсе не	1	1
46	каждого из них	1	1
47	очевидно что в	1	1
48	совершенно очевидно что	1	1
49	в другую сторону	1	1
50	так сказать в	1	1
51	он не может	1	1
52	того или иного	4	1
53	в частном случае	1	1
54	как один из	1	1
55	в отличие от	2	1
56	в сторону от	1	1
57	что он не	1	1
58	в применении к	2	1
59	может быть и	3	1
60	имеем в виду	1	1
61	в том чтобы	1	1
62	в такой же	1	1
63	между этими двумя	2	1
64	в зависимости от	3	1
65	рассказ ведется от	1	1
66	так как они	2	1
67	из них уже	1	1
68	она могла бы	1	1
69	один и тот	1	1
70	автор все время	1	1
71	и тот же	1	1
72	в этом отношении	7	1
73	в этом рассказе	1	1
74	по этому поводу	1	1
75	она не может	1	1
76	но все же	2	1
77	нам кажется что	1	1
78	в предисловии к	2	1
79	не может быть	10	1
80	более или менее	1	1
81	поэтический язык и	4	1
82	мере в какой	1	1
83	том случае если	1	1
84	совсем не так	1	1
85	обойтись вовсе без	1	1
86	но они не	1	1
87	между тем эта	1	1
88	том смысле что	2	1
89	несмотря на свой	1	1
90	дело идет о	2	1
91	вовсе не является	1	1
92	мы знаем что	1	1
93	трудно не заметить	1	1
94	в том случае	2	1
95	всего этого следует	1	1
96	с тем что	5	1
97	таким образом мы	1	1
98	тем резче и	1	1
99	с тем и	2	1
100	или во всяком	1	1
101	что если бы	1	1
102	в той же	1	1
103	на то чтобы	1	1
104	в высшей степени	4	1
105	именно из этого	1	1
106	хотя бы в	3	1
