N	2gram	Voloshinov_1	FransuaR
1	и в	15	65
2	то есть	1	45
3	и др	8	24
4	как бы	11	22
5	и не	16	22
6	вовсе не	2	18
7	и т.п	2	17
8	в том	4	16
9	в этом	13	15
10	но в	9	14
11	в нем	4	13
12	в условиях	3	13
13	мы уже	5	12
14	и на	3	11
15	тела в	1	11
16	прежде всего	11	11
17	все эти	9	10
18	не только	5	10
19	и его	15	10
20	так и	10	10
21	но и	4	10
22	и потому	8	10
23	во всех	8	9
24	в эпоху	3	9
25	в его	9	9
26	все это	5	9
27	за пределы	2	8
28	всех этих	5	8
29	в своем	2	8
30	в основе	3	8
31	культуры и	1	8
32	в дальнейшем	2	8
33	и даже	2	8
34	здесь в	1	8
35	по своему	1	8
36	и другие	2	8
37	формы и	2	7
38	его в	8	7
39	точки зрения	13	7
40	в области	3	7
41	только в	6	7
42	влияние на	1	7
43	жизни и	5	7
44	на самом	2	6
45	в ней	5	6
46	еще не	7	6
47	все же	5	6
48	и у	6	6
49	главным образом	4	6
50	при этом	7	6
51	том что	5	6
52	в отношении	2	6
53	никогда не	7	6
54	тела и	1	6
55	как мы	10	6
56	нашей работы	1	6
57	одно из	3	6
58	так как	9	6
59	может быть	13	6
60	века и	1	6
61	не знает	3	6
62	сказать что	6	6
63	связана с	1	5
64	века в	2	5
65	с его	8	5
66	отличие от	1	5
67	его развития	1	5
68	как в	3	5
69	с их	3	5
70	на протяжении	5	5
71	рядом с	2	5
72	как и	6	5
73	в своей	9	5
74	потому что	4	5
75	между тем	2	5
76	на мир	1	5
77	для него	5	5
78	в одном	3	5
79	или иной	1	5
80	и пр	9	5
81	превращается в	1	5
82	связь с	4	5
83	и все	4	5
84	еще более	2	5
85	в своих	4	5
86	жизни в	3	5
87	и до	3	4
88	в общем	1	4
89	и к	7	4
90	в самом	6	4
91	в этой	5	4
92	так сказать	3	4
93	в узком	2	4
94	на всю	1	4
95	входит в	1	4
96	во время	5	4
97	в отличие	1	4
98	мысли и	4	4
99	не в	4	4
100	до сих	3	4
101	мы остановимся	2	4
102	можно только	1	4
103	на всех	1	4
104	связи с	1	4
105	в жизни	5	4
106	из них	1	4
107	отношение к	7	4
108	выходит за	1	4
109	нужно сказать	1	4
110	сих пор	3	4
111	это уже	1	4
112	этих явлений	1	4
113	мира и	1	4
114	это как	3	4
115	между ними	2	4
116	совершенно не	2	4
117	самом деле	7	3
118	между всеми	1	3
119	жизни как	1	3
120	мы и	4	3
121	конечно и	3	3
122	мы будем	1	3
123	жить и	1	3
124	связанный с	2	3
125	в себя	5	3
126	уже не	5	3
127	но все	2	3
128	то что	10	3
129	в себе	4	3
130	и символы	2	3
131	и с	7	3
132	на этой	2	3
133	это не	2	3
134	далеко не	4	3
135	в ее	4	3
136	он и	2	3
137	с точки	10	3
138	он дает	1	3
139	но это	2	3
140	даже в	1	3
141	ничего не	2	3
142	этом отношении	2	3
143	и здесь	1	3
144	не могут	3	3
145	и прежде	5	3
146	в виду	1	3
147	и вообще	1	3
148	с ним	12	3
149	о нем	1	3
150	с другой	1	3
151	и во	1	3
152	к нему	7	3
153	вся эта	1	3
154	во всей	1	3
155	в форме	1	3
156	что он	8	3
157	но как	1	3
158	мир в	2	3
159	золотого века	1	3
160	как раз	2	3
161	связан с	1	3
162	и эта	1	3
163	в ряду	1	3
164	на время	1	3
165	мира в	1	3
166	нет ничего	1	3
167	из мира	1	3
168	в состоянии	2	3
169	нужно отметить	1	3
170	в более	3	3
171	не является	3	3
172	и ни	1	3
173	от всех	1	3
174	не может	13	3
175	что в	6	3
176	в искусстве	3	3
177	отношения к	2	2
178	одним из	3	2
179	например в	1	2
180	или к	1	2
181	нам кажется	1	2
182	на тех	1	2
183	всех его	1	2
184	память о	1	2
185	он был	3	2
186	на них	1	2
187	время в	2	2
188	в чем	4	2
189	но не	5	2
190	общения между	4	2
191	не входит	1	2
192	нет и	1	2
193	образов в	1	2
