N	3gram	Vygotskiy__3	FransuaR
1	в том числе	1	10
2	том числе и	1	7
3	мы уже говорили	5	7
4	в том что	17	6
5	как мы уже	2	5
6	той или иной	2	5
7	до сих пор	1	4
8	в отличие от	6	4
9	с точки зрения	1	3
10	в этом отношении	3	3
11	в применении к	1	3
12	выходит за пределы	1	3
13	на всех этапах	1	2
14	уже говорили что	2	2
15	в основе его	1	2
16	с одной стороны	5	2
17	во всех этих	1	2
18	и в том	1	2
19	в значительной степени	1	2
20	так и в	2	2
21	мы остановимся в	1	2
22	в так называемой	1	1
23	по своей природе	1	1
24	точки зрения на	2	1
25	и связанные с	1	1
26	говорит об этом	2	1
27	могут быть определены	1	1
28	мы говорили уже	2	1
29	теми или иными	2	1
30	по своей сущности	1	1
31	по отношению к	2	1
32	на котором мы	1	1
33	в общей сложности	1	1
34	и все остальные	2	1
35	может быть отнесена	1	1
36	резком противоречии с	2	1
37	всяком случае не	1	1
38	котором мы остановимся	1	1
39	на первый план	2	1
40	в дальнейшем мы	1	1
41	идет не о	1	1
42	о которой мы	1	1
43	имеет в виду	1	1
44	сами по себе	3	1
45	с ним в	1	1
46	в собственном смысле	6	1
47	к тому чтобы	1	1
48	несмотря на его	1	1
49	и речи нет	1	1
50	не подлежит никакому	1	1
51	сомнению что он	1	1
52	сказать что в	1	1
53	так как он	1	1
54	в резком противоречии	2	1
55	а как бы	1	1
56	уже говорили выше	1	1
57	в самом начале	1	1
58	том что слово	1	1
59	не потому что	1	1
60	мы наблюдаем в	1	1
61	один из них	1	1
62	с которыми они	1	1
63	подлежит никакому сомнению	1	1
64	в них как	1	1
65	к этому типу	1	1
66	и наряду с	1	1
67	в известном смысле	2	1
68	всего могут быть	1	1
69	не могут быть	1	1
70	этой стадии своего	1	1
71	в последнее время	3	1
72	в связи с	5	1
73	все более и	1	1
74	во всяком случае	4	1
75	для обозначения нового	1	1
76	с другой стороны	3	1
77	не может быть	2	1
78	начальной и конечной	1	1
79	в своем развитии	1	1
80	как и всякая	1	1
81	и единый в	1	1
82	это так называемая	2	1
83	к частному и	1	1
84	все эти три	1	1
85	всей нашей работы	1	1
86	одной стороны он	1	1
87	то что мы	2	1
88	начало и конец	1	1
89	с ним связанное	1	1
90	находит свое отражение	1	1
91	лежащие в основе	1	1
92	и превращается в	1	1
93	включает в себя	2	1
94	более и более	1	1
95	и не является	1	1
96	быть определены как	1	1
97	основе его лежит	1	1
98	для того чтобы	7	1
99	друг от друга	1	1
100	в самом его	1	1
101	говорили в начале	1	1
102	быть отнесена к	1	1
103	из них не	1	1
104	друг с другом	5	1
105	не только в	1	1
106	на этой стадии	2	1
107	как мы говорили	1	1
108	вне связи с	1	1
