N	4gram	Bakhtin_Pr_3	FransuaR
1	в то же время	12	6
2	но в то же	3	3
3	в большей или меньшей	1	3
4	большей или меньшей степени	1	3
5	до сих пор еще	1	2
6	и в то же	5	2
7	как мы уже говорили	1	2
8	на самом же деле	1	1
9	мы уже говорили что	2	1
10	или во всяком случае	1	1
11	но даже и не	1	1
12	во всяком случае в	1	1
13	мы можем сказать что	1	1
14	входит в нашу задачу	1	1
15	то вполне понятно что	1	1
16	один и тот же	1	1
17	не входит в нашу	1	1
18	на протяжении всего романа	2	1
19	все более и более	1	1
