N	2gram	Propp_Isto_4	FransuaR
1	и в	26	49
2	прежде всего	1	19
3	в его	5	18
4	и на	2	17
5	не только	15	17
6	и его	10	17
7	в этом	7	15
8	и не	9	15
9	xvi века	1	14
10	в них	1	13
11	в эпоху	1	13
12	только в	3	13
13	но и	12	13
14	во время	7	12
15	как и	7	11
16	как бы	3	11
17	в этой	2	10
18	вовсе не	4	10
19	в средние	2	9
20	в нем	2	9
21	и др	5	9
22	все это	2	9
23	отношение к	2	8
24	до нас	1	8
25	средние века	2	8
26	то же	8	7
27	все же	9	7
28	все эти	3	7
29	таким образом	10	7
30	как мы	5	7
31	один из	1	7
32	не может	6	7
33	жизни и	1	7
34	мы уже	5	6
35	именно в	1	6
36	во всех	1	6
37	в истории	2	6
38	так и	10	6
39	и с	5	6
40	точки зрения	1	6
41	но он	4	6
42	в то	1	6
43	то что	16	6
44	здесь в	1	6
45	так как	9	6
46	сказать что	2	6
47	из этих	3	5
48	но не	5	5
49	в своем	2	5
50	при этом	3	5
51	в своей	4	5
52	никогда не	2	5
53	роль в	1	5
54	тот же	1	5
55	уже в	2	5
56	в начале	1	5
57	может быть	14	5
58	в особенности	2	5
59	относится к	3	5
60	в основном	1	5
61	и к	1	4
62	но в	5	4
63	в себе	2	4
64	но все	5	4
65	лишь в	2	4
66	в этих	7	4
67	и более	3	4
68	с ним	1	4
69	одна из	2	4
70	в области	2	4
71	с другой	4	4
72	и во	2	4
73	этот момент	2	4
74	а в	8	4
75	тем что	5	4
76	в форме	2	4
77	смерти и	1	4
78	до сих	5	4
79	не было	1	4
80	там где	3	4
81	сих пор	5	4
82	том что	3	4
83	в своих	1	4
84	как на	1	4
85	связана с	2	3
86	меньшей степени	1	3
87	духа и	1	3
88	всех этих	1	3
89	и вот	2	3
90	а затем	3	3
91	на все	1	3
92	и других	3	3
93	было бы	2	3
94	из них	2	3
95	ни в	2	3
96	был и	1	3
97	мы видели	6	3
98	на земле	3	3
99	во всем	3	3
100	в одном	5	3
101	их в	7	3
102	даже в	4	3
103	к этим	2	3
104	только с	2	3
105	и это	1	3
106	с ее	1	3
107	так в	4	3
108	связанных с	2	3
109	но здесь	1	3
110	в виду	1	3
111	о том	4	3
112	другими словами	2	3
113	к нему	6	3
114	же в	3	3
115	людей с	1	3
116	что он	10	3
117	не дает	2	3
118	и обряды	1	3
119	связан с	3	3
120	превращается в	7	3
121	связь с	12	3
122	о чем	3	3
123	с полной	1	3
124	и перед	1	3
125	но эти	1	3
126	и все	2	3
127	в большей	1	3
128	в том	3	3
129	другой стороны	4	3
130	одним из	1	2
131	мы здесь	2	2
132	тех же	2	2
133	видеть в	2	2
134	на материале	1	2
135	он как	1	2
136	но даже	1	2
137	в ней	1	2
138	еще не	6	2
139	он был	1	2
140	суждение о	1	2
141	что люди	1	2
142	себе и	1	2
143	это и	5	2
144	что они	6	2
145	дает нам	4	2
146	как к	1	2
147	целый ряд	1	2
148	та же	1	2
149	думать что	1	2
150	отчасти и	1	2
151	имеем в	2	2
152	на то	3	2
153	на его	3	2
154	перестает быть	1	2
155	содержит в	2	2
156	подобно тому	1	2
157	так например	2	2
158	и за	2	2
159	в свет	1	2
160	связанные с	3	2
161	на этой	1	2
162	должен был	3	2
163	речь и	1	2
164	по поводу	1	2
165	можно найти	2	2
166	уже к	1	2
167	жизнь и	1	2
168	он дает	1	2
169	и эти	1	2
170	на языке	2	2
171	мы должны	5	2
172	что в	14	2
173	вплоть до	1	2
174	того как	4	2
175	его связь	1	2
176	ничего не	5	2
177	что только	1	2
178	к ней	1	2
179	связи с	3	2
180	здесь же	1	2
181	вот в	1	2
182	могут быть	6	2
183	в одну	2	2
184	здесь не	4	2
185	на основе	1	2
186	средних веков	1	2
187	в пределах	1	2
188	в дальнейшем	6	2
189	особенно в	1	2
190	по сравнению	3	2
191	в обряде	2	2
192	в другом	5	2
193	одного из	1	2
194	можно сказать	1	2
195	во все	2	2
196	они являются	1	2
197	и следовательно	1	2
198	одной из	1	2
199	очень много	1	2
200	в качестве	7	2
201	есть в	2	2
202	очень характерно	1	2
203	мы можем	6	2
204	у него	5	2
205	это суждение	1	2
206	даже и	2	2
207	и даже	4	2
208	нельзя сказать	1	2
209	мы еще	1	2
210	связано с	1	2
211	власти и	1	2
212	человек в	1	2
213	под влиянием	1	2
214	в связи	2	2
215	вместе с	6	2
216	так же	18	2
217	в него	1	2
218	этого момента	1	2
219	сравнению с	3	2
220	такого рода	2	2
221	на эту	1	2
222	тому как	1	2
223	в тех	4	2
224	по существу	3	2
225	но это	3	2
226	перед смертью	1	2
227	вряд ли	1	2
228	в самые	1	2
229	и становится	1	2
230	на новый	1	2
231	хотя и	2	2
232	и смысл	1	2
233	и другие	3	2
234	это в	1	2
235	все что	4	2
236	говорили о	1	1
237	здесь еще	1	1
238	например в	3	1
239	с кем	1	1
240	и то	6	1
241	он может	2	1
242	силы и	1	1
243	к своей	3	1
244	произведение которое	1	1
245	в котором	1	1
246	он всегда	3	1
247	что эти	1	1
248	должна быть	2	1
249	говоря о	1	1
250	к созданию	1	1
251	входящих в	1	1
252	той же	1	1
253	есть не	1	1
254	еще на	1	1
255	мы имеем	7	1
256	в особой	1	1
257	это совершенно	1	1
258	но она	1	1
259	их с	1	1
260	не вполне	1	1
261	мы и	1	1
262	и он	3	1
263	и самого	1	1
264	может дать	1	1
265	тебя не	2	1
266	для выражения	1	1
267	по линии	1	1
268	на них	1	1
269	знаем что	7	1
270	в чем	1	1
271	за свое	1	1
272	дело вовсе	1	1
273	здесь имеем	1	1
274	глаза на	1	1
275	видели что	3	1
276	могло быть	1	1
277	мы будем	1	1
278	же она	1	1
279	не говорят	1	1
280	было очень	1	1
281	только тогда	3	1
282	вступают в	2	1
283	иногда и	2	1
284	его развития	1	1
285	так что	2	1
286	в центре	1	1
287	в одной	3	1
288	независимо от	1	1
289	как в	7	1
290	как образ	1	1
291	и заставить	1	1
292	он часто	1	1
293	однако не	1	1
294	перед нами	3	1
295	тех случаях	2	1
296	не будем	1	1
297	явление это	1	1
298	а и	1	1
299	она переносит	1	1
300	что по	1	1
301	и наконец	1	1
302	это просто	1	1
303	конечно не	2	1
304	его стали	1	1
305	к чему	1	1
306	животных и	1	1
307	в целом	2	1
308	сливается с	2	1
309	он в	4	1
310	жизни так	1	1
311	его следует	1	1
312	их здесь	1	1
313	нами в	1	1
314	и тот	2	1
315	и те	1	1
316	не могла	1	1
317	быть только	1	1
318	главным образом	2	1
319	вера в	1	1
320	которые находятся	1	1
321	к миру	1	1
322	он не	7	1
323	но нельзя	1	1
324	в силу	5	1
325	том чтобы	1	1
326	так часто	1	1
327	из него	1	1
328	его от	2	1
329	и по	5	1
330	на этом	2	1
331	людей и	1	1
332	образа и	1	1
333	в борьбе	1	1
334	в нее	1	1
335	в совершенно	1	1
336	об этом	7	1
337	его в	9	1
338	это не	5	1
339	он есть	1	1
340	этом мы	1	1
341	о которых	1	1
342	она и	1	1
343	очень интересно	2	1
344	в самую	2	1
345	с этой	2	1
346	не всегда	6	1
347	сторону его	1	1
348	следы его	1	1
349	в развитии	1	1
350	здесь все	1	1
351	не мог	3	1
352	в царстве	1	1
353	его нельзя	1	1
354	но если	1	1
355	дошли до	1	1
356	таким же	6	1
357	на таком	1	1
358	именно и	1	1
359	человека который	1	1
