N	2gram	Vinokur_Ku_1	FransuaR
1	и в	24	49
2	прежде всего	9	19
3	в его	12	18
4	и на	4	17
5	не только	10	17
6	и его	5	17
7	в этом	14	15
8	и не	12	15
9	в году	1	13
10	в них	7	13
11	только в	11	13
12	но и	6	13
13	как и	2	11
14	как бы	7	11
15	в этой	3	10
16	вовсе не	10	10
17	в нем	4	9
18	для него	1	9
19	все это	6	9
20	в сущности	3	8
21	отношение к	1	8
22	то же	8	7
23	все же	12	7
24	все эти	6	7
25	таким образом	12	7
26	на протяжении	1	7
27	как мы	1	7
28	один из	4	7
29	не может	7	7
30	жизни и	1	7
31	именно в	6	6
32	во всех	1	6
33	в истории	3	6
34	с их	3	6
35	так и	7	6
36	и с	5	6
37	рядом с	5	6
38	точки зрения	14	6
39	но он	1	6
40	в то	2	6
41	же время	2	6
42	в себя	1	6
43	в литературе	1	6
44	то что	9	6
45	здесь в	1	6
46	так как	9	6
47	сказать что	1	6
48	с точки	9	5
49	с его	4	5
50	из этих	4	5
51	но не	5	5
52	в своем	3	5
53	выражение в	1	5
54	при этом	6	5
55	в своей	2	5
56	никогда не	2	5
57	роль в	4	5
58	тот же	2	5
59	уже в	3	5
60	в начале	1	5
61	может быть	13	5
62	в особенности	3	5
63	относится к	2	5
64	и потому	4	5
65	в основном	1	5
66	но в	2	4
67	в себе	3	4
68	но все	2	4
69	лишь в	2	4
70	в жизни	1	4
71	в этих	4	4
72	и более	2	4
73	с ним	5	4
74	одна из	1	4
75	в области	7	4
76	она была	1	4
77	с другой	7	4
78	и во	1	4
79	в известной	1	4
80	мы находим	1	4
81	а в	5	4
82	тем что	8	4
83	в форме	1	4
84	до сих	4	4
85	не было	3	4
86	там где	4	4
87	сих пор	4	4
88	том что	21	4
89	в духе	3	4
90	нового времени	1	4
91	в свое	2	4
92	в своих	1	4
93	значение в	1	4
94	как на	3	4
95	также и	2	3
96	связана с	1	3
97	в самом	10	3
98	своего развития	1	3
99	и со	1	3
100	не был	1	3
101	менее всего	1	3
102	да и	1	3
103	но именно	1	3
104	всех этих	1	3
105	но прежде	1	3
106	и вот	1	3
107	свое время	2	3
108	можно было	6	3
109	на все	1	3
110	и других	1	3
111	было бы	15	3
112	из них	4	3
113	ни в	2	3
