N	4gram	Bakhtin_fo_2	FransuaR
1	в то же время	4	6
2	но в то же	1	4
3	в той или иной	1	2
4	в том числе и	2	2
5	которых так много в	1	2
6	как мы уже говорили	1	2
7	мы еще вернемся в	2	2
8	позднего средневековья и возрождения	1	2
9	той или иной форме	1	1
10	мы имеем в виду	2	1
11	мы еще вернемся к	1	1
12	поэтому они не могут	1	1
13	мы уже говорили что	1	1
14	но все же в	1	1
15	xix и xx веков	1	1
16	в средние века и	2	1
17	в связи со всем	1	1
18	во франции и италии	1	1
19	еды и питья и	2	1
20	для него существует только	1	1
21	такой же характер носит	1	1
22	века и в особенности	1	1
23	до сих пор еще	1	1
24	брата жана и панурга	1	1
25	о смерти героев и	1	1
26	как мы уже сказали	3	1
27	время еды и питья	1	1
28	как мы увидим дальше	1	1
29	в точном смысле слова	1	1
30	во время еды и	1	1
31	о таких высоких материях	1	1
32	и в другом месте	1	1
33	только во время еды	1	1
34	для рабле и для	1	1
35	рабле как мы уже	1	1
36	в связи с этим	2	1
37	таких высоких материях и	1	1
