1	не может быть	2	4
2	в то же	6	3
3	то ни было	1	3
4	то же время	6	3
5	бы то ни	1	3
6	с другой стороны	1	3
7	в этом отношении	2	2
8	и в частности	1	2
9	до сих пор	4	2
10	в том что	1	2
11	тех или иных	1	2
12	хотя бы и	1	2
13	и в этой	1	2
14	но даже и	1	2
15	может быть в	2	1
16	в большей или	2	1
17	в точном смысле	1	1
18	само по себе	1	1
19	теории и истории	1	1
20	о котором говорил	1	1
21	только к этому	1	1
22	можно сказать что	2	1
23	в данном случае	2	1
24	и с другой	1	1
25	которых так много	2	1
26	же время не	1	1
27	и прежде всего	3	1
28	одно из первых	1	1
29	из первых мест	1	1
30	большей или меньшей	3	1
31	на первый план	1	1
32	или меньшей степени	2	1
33	но в то	4	1
34	имеем в виду	1	1
35	в значительной мере	1	1
36	но именно этот	1	1
37	в той же	4	1
38	в этом случае	1	1
39	так много в	2	1
40	мы имеем в	1	1
