N	3gram	Bakhtin_Pr_4	FransuaR
1	то же время	5	8
2	в то же	5	8
3	как и все	4	5
4	в большинстве случаев	8	5
5	как мы уже	2	5
6	на части тела	1	4
7	разъятого на части	1	4
8	в конце концов	1	4
9	и в то	1	4
10	более или менее	3	3
11	в том числе	4	3
12	но и в	2	3
13	в известной мере	1	3
14	таким образом и	1	3
15	с другой стороны	3	3
16	с самого начала	1	3
17	с точки зрения	9	2
18	на самом же	1	2
19	том числе и	3	2
20	но конечно не	2	2
21	и в других	2	2
22	в узком смысле	2	2
23	у рабле в	1	2
24	с одной стороны	1	2
25	это конечно не	1	2
26	самом же деле	1	2
27	не только в	1	2
28	и т.п в	1	2
29	о том что	2	2
30	то есть в	4	2
31	конечно далеко не	1	2
32	если бы он	1	1
33	но дело в	1	1
34	можно сказать что	2	1
35	и в конце	1	1
36	но это конечно	1	1
37	но как раз	1	1
38	а следовательно и	2	1
39	встречается у рабле	1	1
40	в своей речи	1	1
41	он как и	1	1
42	весь этот эпизод	1	1
43	и все что	1	1
44	дело в том	2	1
45	на том же	1	1
46	хотя они и	1	1
47	здесь перед нами	1	1
48	атмосфера проникает весь	1	1
49	выраженный карнавальный характер	1	1
50	мы уже сказали	2	1
51	и до сих	2	1
52	и так сказать	1	1
53	и все остальные	1	1
54	полюса становления в	1	1
55	те же самые	1	1
56	при всем их	2	1
57	одной стороны и	1	1
58	в живом ощущении	1	1
59	до сих пор	8	1
60	в различных формах	1	1
61	и не может	7	1
62	как мы сказали	3	1
63	в той же	1	1
64	нет и не	2	1
65	и судьбы людей	1	1
66	но здесь нам	1	1
67	позволит нам раскрыть	1	1
68	становления в их	1	1
69	и в тех	1	1
70	xviii и xix	1	1
71	приведенном нами отрывке	2	1
72	вследствие чего она	1	1
73	он остается в	1	1
74	в первой книге	1	1
75	эта как и	1	1
76	одно и то	1	1
77	мы увидим дальше	1	1
78	приведем еще отрывок	1	1
79	в себе оба	1	1
80	его смысла и	1	1
81	связано и с	1	1
82	в данном случае	1	1
83	ни в одном	2	1
84	но в то	2	1
85	мы находим и	1	1
86	себе оба полюса	1	1
87	и то же	1	1
88	может быть и	1	1
89	разъятие на части	1	1
90	в отличие от	3	1
91	обычной жизненной колеи	1	1
92	как раз эти	2	1
93	вам скажу что	1	1
94	как своего рода	1	1
95	все же не	1	1
96	в связи с	1	1
97	перед нами в	1	1
98	в виду что	1	1
99	как мы увидим	3	1
100	во всякую эпоху	1	1
101	так и в	1	1
102	так как слово	1	1
103	как мы знаем	1	1
104	не может быть	8	1
105	перед нами образ	1	1
106	элементы речи и	1	1
107	не только и	1	1
108	вся жизнь в	2	1
109	место в жизни	1	1
110	но это же	1	1
111	мы не знаем	1	1
112	тем путем что	1	1
113	он и сам	1	1
114	все они как	1	1
115	увидим дальше что	1	1
116	игры в кости	1	1
117	сказать что вся	1	1
118	в его романе	1	1
119	в каждой детали	1	1
120	мы уже указывали	1	1
121	уже указывали на	1	1
122	роль в романе	1	1
123	лицом к лицу	1	1
124	в том что	2	1
125	видеть и изображать	2	1
126	все это не	1	1
127	оба полюса становления	2	1
128	к тому же	1	1
129	в том же	1	1
130	со смехом и	1	1
