1	и в	29	22
2	по адресу	2	14
3	том что	3	12
4	но и	9	11
5	в том	7	11
6	не только	10	10
7	в то	10	10
8	из них	6	10
9	как и	12	9
10	может быть	2	9
11	таким образом	20	8
12	и его	8	8
13	в одном	1	8
14	и не	16	8
15	о том	2	8
16	в этой	13	7
17	и других	3	7
18	к тому	2	6
19	в которой	4	6
20	то же	10	6
21	и по	5	6
22	что в	1	6
23	в конце	9	6
24	ни в	2	6
25	что он	4	6
26	тому же	1	6
27	в отношении	1	6
28	на его	2	5
29	при этом	3	5
30	все это	4	5
31	во время	10	5
32	один из	4	5
33	до нас	2	5
34	с другой	4	5
35	нового времени	2	5
36	когда же	2	5
37	в его	8	5
38	потому что	1	5
39	и даже	3	5
40	как в	2	5
41	мы встречаем	1	5
42	так и	11	5
43	уже в	2	5
44	прежде всего	8	5
45	то время	2	5
46	в народном	1	5
47	еще в	1	5
48	другой стороны	3	5
49	мы можем	3	4
50	на протяжении	1	4
51	точки зрения	4	4
52	конце концов	4	4
53	к этому	2	4
54	же время	8	4
55	так в	1	4
56	в нем	5	4
57	но в	12	4
58	в качестве	3	4
59	в результате	4	4
60	как мы	10	4
61	в котором	2	4
62	тем что	4	4
63	время как	1	4
64	именно в	2	4
65	г в	1	4
66	из его	1	4
67	и опять	1	4
68	что и	1	4
69	а также	2	4
70	в их	2	4
71	и вот	3	4
72	на него	1	4
73	время от	1	4
74	что они	2	4
75	так как	7	4
76	так же	7	3
77	и одновременно	4	3
78	его в	9	3
79	хотя и	2	3
80	каждый из	1	3
81	там же	3	3
82	этом отношении	1	3
83	да и	2	3
84	одной стороны	2	3
85	в частности	3	3
86	из числа	1	3
87	перед лицом	2	3
88	и о	5	3
89	с одной	2	3
90	и все	13	3
91	у нас	1	3
92	он не	3	3
93	место в	2	3
94	г и	1	3
95	отношение к	1	3
96	же как	1	3
97	по своему	4	3
98	к которому	2	3
99	и у	2	3
100	даже в	1	3
101	ничего не	1	3
102	фрагмент из	1	3
103	и как	3	3
104	тот же	3	3
105	под видом	2	3
106	здесь мы	1	3
107	в более	1	3
108	в этом	11	3
109	в образе	4	3
110	за счет	3	3
111	все остальные	3	3
112	на то	1	3
113	одной из	2	3
114	в тех	1	3
115	в виде	1	3
116	только в	2	3
117	как раз	2	3
118	и ее	1	3
119	в них	7	3
120	главным образом	1	3
121	казалось бы	1	3
122	не мог	2	3
123	во второй	2	3
124	в целом	1	3
125	и сам	3	3
126	и на	11	3
127	в году	3	3
128	мы не	1	3
129	в чем	3	3
