N	3gram	Savitsky_P_1	FransuaR
1	то же время	7	8
2	в то же	7	8
3	в большинстве случаев	1	5
4	и в то	2	4
5	более или менее	1	3
6	в том числе	2	3
7	но и в	2	3
8	для того чтобы	1	3
9	с другой стороны	1	3
10	с точки зрения	3	2
11	том числе и	1	2
12	с одной стороны	3	2
13	не только в	4	2
14	как она есть	1	1
15	одной стороны и	2	1
16	в различных формах	1	1
17	и не может	1	1
18	в эту эпоху	1	1
19	в последующие века	1	1
20	и то что	1	1
21	и если бы	2	1
22	за то что	1	1
23	касается не только	1	1
24	но в то	1	1
25	в противоречии с	1	1
26	в отличие от	1	1
27	и будущее в	1	1
28	и вот как	1	1
29	тех кто не	1	1
30	в полной мере	2	1
31	не может быть	1	1
32	далеко не все	1	1
33	и не столько	1	1
34	и философской мысли	1	1
35	в том что	4	1
36	в ней и	1	1
