N	2gram	Berdyaev_M_2	FransuaR
1	и в	46	45
2	и не	18	15
3	в этом	20	14
4	но в	10	14
5	не только	18	14
6	во всех	2	13
7	в его	5	13
8	и его	5	13
9	что в	4	12
10	как бы	8	12
11	то же	5	11
12	в своем	8	11
13	как и	13	10
14	и с	3	10
15	в нем	22	10
16	право на	1	10
17	в том	3	10
18	но и	15	10
19	прежде всего	12	10
20	жизни и	6	8
21	так же	6	8
22	мира и	1	8
23	в ней	11	8
24	в самой	1	8
25	все это	1	7
26	и все	5	7
27	не в	9	7
28	в конце	5	7
29	потому что	12	7
30	он был	9	7
31	на мир	1	7
32	в эпоху	1	7
33	что и	4	7
34	также и	4	7
35	с его	4	7
36	том что	4	7
37	так и	4	6
38	связи с	2	6
39	в этой	7	6
40	того чтобы	4	6
41	для того	5	6
42	в них	3	6
43	он не	10	6
44	в атмосфере	2	6
45	что он	7	6
46	так как	8	6
47	все эти	1	5
48	от всех	1	5
49	не может	15	5
50	со всеми	1	5
51	его в	3	5
52	с ним	3	5
53	на самом	1	5
54	хотя и	2	5
55	и к	7	5
56	это и	3	5
57	этом отношении	1	5
58	и на	3	5
59	мы видим	2	5
60	на этом	2	5
61	есть и	3	5
62	и у	1	5
63	самом деле	1	5
64	и как	1	5
65	но это	8	5
66	свободу и	5	5
67	и здесь	6	4
68	бы в	2	4
69	точки зрения	2	4
70	как на	1	4
71	вернемся к	1	4
72	и во	3	4
73	в сущности	2	4
74	а в	2	4
75	не мог	3	4
76	мы не	1	4
77	и от	3	4
78	сказать что	3	4
79	ничего не	2	4
80	только в	3	4
81	той же	3	4
82	своего рода	1	4
83	об этом	1	4
84	в основе	2	4
85	по поводу	1	4
86	по своему	1	4
87	до известной	1	4
88	у него	22	4
89	же как	3	4
90	в самом	5	4
91	с этим	1	4
92	все они	1	4
93	о том	3	4
94	а также	1	4
95	его не	2	4
96	а не	13	4
97	и это	5	4
98	можно было	2	4
99	в пределе	2	3
100	но она	2	3
101	и вот	5	3
102	в другом	1	3
103	но он	11	3
104	мир и	2	3
105	того же	1	3
106	и для	7	3
107	не было	11	3
108	есть в	3	3
109	связь с	1	3
110	сих пор	3	3
111	на пиру	1	3
112	до сих	3	3
113	характерно для	1	3
114	и он	11	3
115	менее всего	3	3
116	вместе с	2	3
117	что на	1	3
118	почти всегда	1	3
119	для него	18	3
120	это не	5	3
121	но они	1	3
122	жизни он	3	3
123	как в	7	3
124	но этот	2	3
125	в своей	5	3
126	как он	3	3
127	но на	2	3
128	ни в	3	3
129	своего отца	1	3
130	о чем	1	3
131	свобода и	2	3
132	от того	3	3
133	того что	6	3
134	выйти из	2	3
135	ведь и	1	3
136	и прежде	1	3
137	не имеет	4	3
138	всего этого	1	3
139	в которых	1	3
140	что она	5	3
141	права и	1	3
142	от его	2	3
143	которая не	1	2
144	и там	6	2
145	за его	1	2
146	и борьбы	1	2
147	в значительной	1	2
148	церкви и	1	2
149	говорить о	1	2
150	говорили что	1	2
151	от этого	2	2
152	значение и	1	2
153	ко всему	1	2
154	кто не	1	2
155	положительный образ	1	2
156	для них	1	2
