N	3gram	Vygotskiy__3	FransuaR
1	для того чтобы	8	6
2	в том что	11	6
3	в этом отношении	1	5
4	на самом деле	2	4
5	как мы видели	2	4
6	и во всех	2	3
7	до сих пор	5	3
8	в первой части	1	3
9	потому что он	1	3
10	о том как	2	2
11	так как они	1	2
12	мы уже говорили	3	2
13	мы видим что	7	2
14	к тому же	1	2
15	в отличие от	1	2
16	то же самое	8	2
17	можно сказать что	1	2
18	происходит как бы	1	2
19	в то время	2	2
20	можно было бы	1	2
21	с точки зрения	9	2
22	потому что она	1	2
23	хотя бы в	1	2
24	в данном случае	2	2
25	как бы в	1	2
26	не может быть	1	2
27	о том что	3	1
28	мы не можем	2	1
29	в мировой литературе	1	1
30	и мы можем	2	1
31	что дело идет	1	1
32	одной и той	1	1
33	и ни о	1	1
34	и в своей	1	1
35	в ней есть	1	1
36	в одном и	1	1
37	мы видели что	2	1
38	и когда она	1	1
39	в себя и	1	1
40	может быть и	1	1
41	рассказывает о том	1	1
42	по этому поводу	1	1
43	уже говорили что	1	1
44	он никак не	1	1
45	хотя она и	1	1
46	к одной и	1	1
47	что он не	1	1
48	о мире и	1	1
49	здесь нет и	1	1
50	но как мы	1	1
51	он не может	1	1
52	но и не	1	1
53	это первый шаг	1	1
54	все то что	6	1
55	так например в	1	1
56	и той же	1	1
57	что в этой	2	1
58	и в самом	10	1
59	но в его	1	1
60	сих пор не	1	1
61	конечно не в	1	1
62	и та же	2	1
63	в самом деле	18	1
64	вместе с тем	2	1
65	в основе своей	1	1
66	то что в	2	1
67	в жизни а	1	1
68	этих образов в	1	1
69	одна и та	1	1
70	в свою очередь	2	1
71	там где он	1	1
72	потому что в	1	1
73	как и все	1	1
74	которую мы все	1	1
75	к самой природе	1	1
76	только для того	1	1
77	не имеет никакого	3	1
78	и что в	1	1
79	казалось бы не	1	1
80	впитала в себя	1	1
81	это вовсе не	1	1
82	видим что в	1	1
