1	и не	7	20
2	и в	41	16
3	то что	8	9
4	так как	3	9
5	еще не	2	8
6	в истории	1	8
7	от бога	1	8
8	а не	2	7
9	и потому	3	7
10	на земле	4	7
11	что они	1	7
12	не есть	2	6
13	человека и	1	6
14	по пути	1	5
15	но и	9	5
16	хотя и	4	5
17	что есть	2	5
18	все это	10	5
19	в мире	3	5
20	как бы	7	5
21	того что	2	5
22	бога и	1	5
23	в ней	5	4
24	в котором	1	4
25	в образе	4	4
26	как и	14	4
27	в этом	15	4
28	все что	4	4
29	к небытию	1	4
30	в его	12	4
31	мира сего	1	4
32	потому что	5	4
33	и есть	3	4
34	всех существ	1	4
35	в нем	7	4
36	так и	10	4
37	и все	14	4
38	мира от	1	4
39	что все	2	4
40	что он	3	4
41	в силах	2	4
42	должна быть	1	3
43	от этого	3	3
44	этого мира	1	3
45	что я	1	3
46	оно не	2	3
47	никогда не	2	3
48	тот же	2	3
49	в первый	1	3
50	за то	3	3
51	что ты	1	3
52	нет ничего	1	3
53	все эти	13	3
54	они в	2	3
55	в том	11	3
56	что и	5	3
57	в чем	2	3
58	и для	5	3
59	в них	7	3
60	в своей	3	3
61	не было	3	3
62	превращается в	1	3
63	но это	3	3
64	что в	9	3
65	по этому	3	3
66	но в	8	3
67	жизни и	3	3
68	в конце	8	3
69	ни в	6	3
70	не имеет	3	3
71	к тому	2	3
72	их в	2	3
73	и они	1	3
74	в жизни	1	3
75	свободы от	1	3
76	что во	1	3
77	и что	1	3
78	должно быть	4	3
79	в этих	2	3
80	с его	2	3
81	во всех	3	3
82	не в	9	3
83	в божественной	1	2
84	мир и	1	2
85	мира в	4	2
86	значения и	1	2
87	не могут	1	2
88	но не	1	2
89	земли и	3	2
90	те которые	1	2
91	его к	3	2
92	не будет	1	2
93	можно было	3	2
94	в земной	2	2
95	только в	6	2
96	а в	5	2
97	для него	6	2
98	его и	1	2
99	что было	1	2
100	свободной и	1	2
101	они и	2	2
102	уже не	2	2
103	с ним	2	2
104	не так	1	2
105	во всяком	2	2
106	так много	3	2
107	не с	1	2
108	между тем	1	2
109	его не	1	2
110	тем что	3	2
111	от него	1	2
112	один из	1	2
113	том что	4	2
114	в себя	2	2
115	прежде всего	11	2
116	легенда о	1	2
117	не только	5	2
118	в последнем	1	2
