N	2gram	Tiupa_Hudo_1	FransuaR
1	и в	14	41
2	в этом	11	15
3	как и	9	14
4	и все	4	14
5	все эти	3	13
6	то же	9	13
7	в этой	8	13
8	в его	8	12
9	мы уже	4	12
10	в себе	11	11
11	в том	12	11
12	как мы	3	11
13	прежде всего	11	11
14	так и	13	10
15	в то	8	10
16	все это	2	10
17	же время	8	9
18	не в	7	9
19	что в	6	9
20	но и	5	9
21	и его	5	9
22	в качестве	9	9
23	и т.п	1	9
24	в своем	4	9
25	в конце	4	8
26	то что	8	8
27	и от	4	8
28	но в	5	8
29	и не	2	7
30	вовсе не	1	7
31	в нем	3	7
32	в романе	1	7
33	как бы	7	7
34	есть в	1	6
35	у него	9	6
36	для него	10	6
37	это не	7	6
38	ни в	5	6
39	только в	5	6
40	о том	12	6
41	и до	1	6
42	и для	3	5
43	точки зрения	5	5
44	а в	7	5
45	потому что	5	5
46	и к	4	5
47	как в	8	5
48	на одном	1	5
49	в плане	1	5
50	уже в	1	5
51	на этом	3	5
52	и у	1	5
53	всего в	1	5
54	в ней	4	5
55	и это	4	5
56	не только	12	5
57	и с	4	4
58	конце концов	1	4
59	но он	3	4
60	та же	4	4
61	ничего не	8	4
62	влияние на	2	4
63	но все	1	4
64	в образе	1	4
65	к жизни	5	4
66	на этой	1	4
67	хотя и	2	4
68	место в	1	4
69	слов и	1	4
70	в сущности	1	4
71	картины мира	4	4
72	должно быть	2	4
73	уже говорили	1	4
74	одна из	2	4
75	и на	3	4
76	он не	4	4
77	на земле	1	4
78	было бы	6	4
79	в виду	1	4
80	может быть	5	4
81	все что	1	4
82	рядом с	1	4
83	том что	16	4
84	в форме	2	3
85	о нем	3	3
86	ведь все	1	3
87	жизни и	5	3
88	от этого	1	3
89	сам он	1	3
90	не может	7	3
91	при этом	12	3
92	не должно	1	3
93	не было	4	3
94	таким же	1	3
95	что у	3	3
96	это в	3	3
97	и другие	1	3
98	в своей	10	3
99	во всех	1	3
100	в руках	1	3
101	не на	1	3
102	в их	2	3
103	в одном	1	3
104	в это	2	3
105	его в	3	3
106	за то	1	3
107	совсем не	1	3
108	ничем не	3	3
109	все его	1	3
110	в третьей	2	3
111	тем самым	1	3
112	поэтому и	2	3
113	проникает в	1	3
114	например в	2	3
115	которым он	1	3
116	в отношении	1	3
117	в нее	1	3
118	свою очередь	1	3
119	и потому	2	3
120	тем что	3	3
121	на них	1	3
122	той же	2	3
123	с ними	2	3
124	в землю	2	3
125	так как	1	3
126	так сказать	2	3
127	но именно	1	3
128	такой же	3	3
129	в мире	3	3
130	несмотря на	4	3
131	с точки	3	3
132	я не	1	3
133	нас в	1	3
134	не имеет	2	3
135	в четвертой	1	3
136	так много	1	3
137	что он	9	3
138	этом свете	1	3
139	с ее	2	3
140	из них	4	3
141	можно было	5	3
142	и эта	1	3
143	не знает	2	3
144	как о	1	3
145	и по	3	3
146	но это	1	3
147	в свою	1	3
148	глядя на	2	2
149	в которой	1	2
150	такою же	1	2
151	отсюда и	2	2
152	не видел	1	2
153	в значительной	2	2
154	места в	1	2
155	бы в	1	2
156	еще не	7	2
157	во времени	1	2
158	и вот	1	2
159	в свое	1	2
160	во всяком	1	2
161	в связи	3	2
162	о котором	2	2
163	в литературе	3	2
164	на том	2	2
165	начинается с	2	2
166	отношению к	8	2
167	и ее	1	2
168	мы здесь	1	2
169	одновременно и	5	2
170	свое время	1	2
171	в следующем	2	2
172	и так	2	2
173	в лице	3	2
174	картина мира	4	2
175	мы не	2	2
176	не знаем	2	2
177	же что	1	2
178	он действует	1	2
179	которой он	1	2
180	в отрыве	1	2
181	находит свое	1	2
182	не мог	1	2
183	том и	1	2
184	остановимся на	2	2
185	одной из	2	2
186	на глазах	1	2
187	время в	1	2
188	отношение к	1	2
189	того что	4	2
190	в себя	2	2
191	особенно в	2	2
192	здесь нет	1	2
193	с этим	3	2
194	на самом	2	2
195	к тому	7	2
196	явлений и	1	2
197	и то	1	2
198	никогда не	6	2
199	значительной степени	2	2
