1	до сих пор	8	6
2	мы видим что	2	5
3	вместе с тем	1	5
4	в том что	6	5
5	в связи с	3	4
6	можно было бы	1	3
7	по отношению к	1	3
8	с одной стороны	2	3
9	подобно тому как	1	3
10	но и в	1	2
11	о том что	2	2
12	с самого начала	1	2
13	мы не будем	1	2
14	в таких случаях	1	2
15	после того как	1	2
16	во всех этих	1	2
17	и вместе с	1	2
18	к тому же	1	2
19	что это за	1	2
20	не может быть	2	2
21	в другом месте	3	2
22	вместо того чтобы	1	2
23	сих пор мы	1	2
24	на самом деле	1	2
25	в некоторых случаях	1	2
26	с другой стороны	2	2
27	казалось бы что	1	1
28	на вопрос о	1	1
29	главным образом в	1	1
30	хотя оно и	1	1
31	такое же значение	1	1
32	смерти и рождения	1	1
33	о том как	1	1
34	оказывается что в	1	1
35	как один из	1	1
36	в сущности это	1	1
37	в отличие от	1	1
38	это как бы	1	1
39	и в нем	1	1
40	в главе о	1	1
41	не только не	2	1
42	мы не можем	1	1
43	и так сказать	1	1
44	до наших дней	1	1
45	мы видим в	1	1
46	но и другие	1	1
47	они еще не	1	1
48	но дело не	2	1
49	друг с другом	1	1
50	и прежде всего	1	1
51	мы видели что	3	1
52	они до сих	1	1
53	нужно есть и	1	1
54	что и здесь	1	1
55	потому что они	1	1
56	так и более	1	1
57	пор мы рассматривали	1	1
58	таит в себе	1	1
59	так и к	1	1
60	и не могут	1	1
61	к которому принадлежал	1	1
62	мы узнаем что	1	1
