N	3gram	Vinokur_Ku_3	Freidism
1	с точки зрения	16	11
2	по отношению к	2	8
3	во всяком случае	1	7
4	не может быть	3	7
5	в самом деле	11	6
6	и прежде всего	1	5
7	в то же	1	4
8	на самом деле	3	4
9	то же время	1	4
10	как мы видели	2	4
11	в зависимости от	7	4
12	в данном случае	4	4
13	и тот же	2	3
14	в таком случае	2	3
15	одной и той	1	3
16	бы то ни	1	3
17	один и тот	2	3
18	для того чтобы	11	3
19	с помощью которых	1	3
20	и той же	1	3
21	в конечном счете	1	3
22	в собственном смысле	1	3
23	на этот вопрос	1	3
24	в свою очередь	1	3
25	с одной стороны	4	2
26	зависимости от того	3	2
27	может быть и	1	2
28	до сих пор	8	2
29	а с другой	3	2
30	с помощью которого	1	2
31	и не может	1	2
32	в ее целом	1	2
33	так и в	3	2
34	в отличие от	2	2
35	не могут быть	2	2
36	то же самое	1	2
37	то или иное	2	2
38	тем не менее	9	2
39	что же касается	1	2
40	по своему содержанию	1	2
41	это вовсе не	1	2
42	о том что	3	1
43	мы не можем	1	1
44	мы находим в	1	1
45	во что бы	1	1
46	не может обойтись	1	1
47	какое-либо отношение к	1	1
48	не сомневаюсь что	1	1
49	то время когда	1	1
50	самом деле ведь	1	1
51	ни в коем	1	1
52	лежат в основе	1	1
53	так как они	1	1
54	по меньшей мере	1	1
55	о так называемых	1	1
56	повлечь за собой	1	1
57	то обстоятельство что	3	1
58	из того что	1	1
59	не только не	1	1
60	то увидим что	1	1
61	форма и содержание	1	1
62	чем же объясняется	1	1
63	что бы то	1	1
64	от того что	2	1
65	само собою разумеется	1	1
66	есть составная часть	1	1
67	какое же значение	1	1
68	в целом ряде	1	1
69	хотя бы и	1	1
70	что и в	2	1
71	в этом смысле	1	1
72	что все эти	1	1
73	в двух направлениях	2	1
74	мы знаем теперь	1	1
75	то ни стало	1	1
76	точка зрения на	1	1
77	можно говорить о	3	1
78	на время в	1	1
79	в том что	8	1
80	в этом случае	4	1
81	в то время	1	1
82	и т д	8	1
83	уже совершенно не	1	1
84	самом деле откуда	1	1
85	я не сомневаюсь	1	1
86	и не могут	1	1
87	пр и пр	1	1
88	как раз и	2	1
89	ни о каких	1	1
90	ответить на этот	1	1
91	и тем не	3	1
92	как в самом	1	1
93	при таких условиях	1	1
94	и в отношении	1	1
95	тот же объект	1	1
96	той или иной	5	1
97	все без исключения	1	1
98	как мы видим	1	1
99	мы имеем в	1	1
100	а может быть	1	1
101	как это утверждает	1	1
102	может повлечь за	1	1
103	то что мы	1	1
104	но все же	1	1
105	смысле этого слова	2	1
106	и пр и	1	1
107	ни в какой	2	1
108	другой точки зрения	1	1
109	то что он	1	1
110	собственном смысле слова	1	1
111	с этим вопросом	1	1
112	на другую и	1	1
113	быть не может	1	1
114	как уже сказано	1	1
115	они не могут	1	1
116	одна на другую	1	1
117	только то что	2	1
118	который в данном	1	1
119	от того в	1	1
120	может оказаться весьма	1	1
121	по крайней мере	1	1
122	если же мы	1	1
123	а вовсе не	1	1
124	собственном смысле этого	1	1
125	смысле слова и	1	1
126	в коем случае	1	1
