N	2gram	Voloshinov_1	Freidism
1	таким образом	6	24
2	и не	8	23
3	не может	8	20
4	точки зрения	7	19
5	прежде всего	9	18
6	в этом	2	15
7	в его	7	15
8	и пр	7	15
9	с помощью	2	14
10	мы можем	4	13
11	может быть	8	13
12	и его	12	12
13	все эти	2	11
14	как и	3	11
15	с точки	5	11
16	как бы	6	11
17	то что	6	11
18	самом деле	3	10
19	но в	4	10
20	его в	1	10
21	так и	3	10
22	с его	1	9
23	по отношению	3	9
24	и в	13	9
25	то же	4	8
26	не только	6	8
27	в своей	4	8
28	еще не	1	8
29	что он	1	8
30	только в	6	8
31	так как	3	8
32	все это	4	8
33	психической жизни	1	8
34	и все	3	8
35	отношению к	3	8
36	в самом	2	7
37	мы уже	2	7
38	отношение к	1	7
39	и наконец	5	7
40	те же	2	7
41	к нему	1	7
42	один из	1	7
43	тот же	2	7
44	что же	3	7
45	сказать что	1	7
46	в ней	2	6
47	за пределы	3	6
48	и ее	2	6
49	точку зрения	3	6
50	для него	2	6
51	вовсе не	2	6
52	никогда не	3	6
53	хотя бы	5	6
54	на самом	1	5
55	в чем	2	5
56	и к	2	5
57	в этой	1	5
58	что такое	1	5
59	не в	3	5
60	мы должны	6	5
61	в то	1	5
62	могут быть	2	5
63	в себя	1	5
64	для этого	1	5
65	индивидуальной психики	1	5
66	но мы	4	5
67	для того	1	5
68	а в	2	5
69	но и	3	5
70	связь с	1	5
71	с этим	3	5
72	что в	3	5
73	смысле слова	2	4
74	в зависимости	2	4
75	связанных с	2	4
76	мы не	4	4
77	в которой	3	4
78	говорить о	3	4
79	зависимости от	2	4
80	совсем не	1	4
81	но не	1	4
82	в собственном	1	4
83	все же	5	4
84	не было	1	4
85	в пределах	3	4
86	с их	1	4
87	сознания с	1	4
88	в нем	2	4
89	на этом	1	4
90	связанные с	2	4
91	при этом	2	4
92	об этом	1	4
93	не менее	2	4
94	в основе	1	4
95	же время	1	4
96	потому что	1	4
97	и для	3	4
98	к тому	2	4
99	того чтобы	1	4
100	данном случае	2	4
