N	3gram	Bakhtin_Pr_2	Hudozhes
1	о том что	3	9
2	то же время	3	8
3	по отношению к	8	8
4	в то же	3	8
5	в том что	4	6
6	в самом деле	3	4
7	можно было бы	1	4
8	с точки зрения	9	3
9	в этом отношении	2	3
10	но в то	3	3
11	жизни и смерти	7	3
12	и в самом	2	3
13	тем не менее	1	3
14	в русской литературе	2	3
15	и смерти каждого	1	2
16	что же касается	1	2
17	что он не	1	2
18	до сих пор	2	2
19	не согласиться с	1	2
20	не только в	1	2
21	в этих словах	1	2
22	что у него	1	2
23	не может быть	6	2
24	самом деле в	1	2
25	на то что	2	2
26	тому что он	1	2
27	еще не раз	1	1
28	авторскую точку зрения	1	1
29	то что я	1	1
30	что она не	1	1
31	я никогда не	1	1
32	прежде всего в	1	1
33	нет дела до	1	1
34	на самом деле	1	1
35	нельзя не согласиться	1	1
36	а не о	1	1
37	в этом смысле	5	1
38	сих пор еще	1	1
39	же как и	2	1
40	потому что не	1	1
41	что еще не	1	1
42	может быть только	2	1
43	и в этом	6	1
44	мы считаем необходимым	1	1
45	в таком случае	1	1
46	с самого начала	1	1
47	сами по себе	1	1
48	более или менее	1	1
49	же время не	1	1
50	в отличие от	1	1
51	здесь не в	1	1
52	до конца проведенная	1	1
53	в письме к	1	1
54	как она есть	1	1
55	своими корнями в	1	1
56	каждый из них	1	1
57	не потому что	1	1
58	именно в этой	1	1
59	в высшей степени	1	1
60	в конце концов	3	1
61	в пределах художественного	1	1
62	имеет ничего общего	1	1
63	в равной степени	1	1
64	диалог в сущности	1	1
65	мы уже говорили	2	1
66	в том и	1	1
67	и тот и	1	1
68	уходит своими корнями	1	1
69	они уже не	1	1
70	как бы в	2	1
71	не укладывается в	1	1
72	не имеет ничего	1	1
73	в свое время	2	1
74	в данном случае	1	1
75	ничего общего с	1	1
76	этой точки зрения	2	1
77	никогда не была	1	1
78	но все же	2	1
79	друг от друга	2	1
80	и быть не	1	1
81	в художественном мире	2	1
82	в том смысле	1	1
83	друг с другом	2	1
84	друг друга и	1	1
85	она не может	2	1
86	и каждый из	1	1
