N	2gram	Bakhtin_Pr_2	IolandNe
1	и с	7	3
2	записок из	1	2
3	и не	42	2
4	творчества достоевского	2	2
5	в этом	20	2
6	он не	9	2
7	ничего не	3	2
8	что в	6	2
9	достоевского а	1	2
10	о достоевском	1	2
11	только что	2	1
12	что для	2	1
13	все эти	4	1
14	после смерти	1	1
15	с другой	1	1
16	о жизни	1	1
17	для него	9	1
18	того чтобы	1	1
19	того что	3	1
20	преступления и	1	1
21	бы все	1	1
22	отношению к	8	1
23	и о	2	1
24	не так	2	1
25	говорить о	1	1
26	автор не	4	1
27	же это	1	1
28	не дает	1	1
29	произведения и	1	1
30	от нее	1	1
31	и широко	1	1
32	в целом	5	1
33	и та	1	1
34	это было	2	1
35	в художественном	3	1
36	художественном творчестве	1	1
37	с героем	2	1
38	так и	3	1
39	к нам	2	1
40	и со	2	1
41	его личности	2	1
42	и ничего	1	1
43	автора и	2	1
44	видит в	1	1
45	основе всего	1	1
46	кто иной	1	1
47	в основе	2	1
48	достоевского с	1	1
49	них не	1	1
50	могло бы	1	1
51	жизни и	15	1
52	по отношению	8	1
53	следовательно в	1	1
54	себя в	2	1
55	и сам	3	1
56	стало быть	3	1
57	по поводу	1	1
58	братья карамазовы	2	1
59	и очень	1	1
60	не кто	1	1
61	если бы	2	1
62	того же	1	1
63	не остается	1	1
64	от этого	1	1
65	а с	3	1
66	всего творчества	1	1
67	и еще	1	1
68	ничего в	1	1
69	униженных и	1	1
70	только для	2	1
71	иной как	1	1
72	и тот	1	1
73	все ясно	1	1
74	бы его	1	1
75	для того	1	1
76	есть только	4	1
77	бы в	5	1
78	из подполья	4	1
79	а в	3	1
80	то она	1	1
81	самого достоевского	2	1
82	по существу	1	1
83	и в	45	1
84	как только	1	1
85	и наказания	1	1
86	и оскорбленных	1	1
87	придется не	1	1
88	человек никогда	1	1
89	не выдумывал	1	1
90	все это	5	1
91	на котором	1	1
92	тем что	2	1
93	и др	4	1
94	а по	1	1
95	к достоевскому	3	1
96	я не	6	1
97	другой стороны	1	1
98	о ней	1	1
99	никогда не	17	1
100	в них	4	1
101	художественного творчества	1	1
