N	2gram	Ircho_Kome_3	Istorich
1	и в	22	28
2	и т	4	25
3	может быть	6	25
4	т д	1	22
5	а не	4	15
6	не может	3	15
7	никогда не	3	14
8	мы имеем	1	13
9	для нас	1	13
10	то же	7	12
11	не только	5	12
12	что в	5	12
13	мы видим	1	11
14	только в	1	11
15	мы не	2	10
16	все же	4	10
17	и что	6	10
18	что он	8	10
19	но и	4	10
20	прежде всего	5	10
21	т е	16	10
22	не в	4	9
23	так и	4	9
24	о том	8	9
25	то что	4	9
26	в том	12	9
27	и не	21	9
28	в этом	8	8
29	но в	5	8
30	таким образом	12	8
31	не всегда	1	8
32	если бы	8	8
33	в ней	4	7
34	здесь мы	1	7
35	это не	2	7
36	еще не	6	7
37	и здесь	4	7
38	что мы	2	7
39	так же	4	7
40	том что	13	7
41	было бы	3	7
42	в этих	1	7
43	а в	7	7
44	в этой	3	6
45	его в	8	6
46	тем не	3	6
47	не менее	5	6
48	к тому	6	6
49	что и	8	6
50	вслед за	1	6
51	так как	11	6
52	представляют собой	2	6
53	с другой	4	6
54	вместе с	9	6
55	когда он	4	6
56	видно что	2	6
57	из дома	5	6
58	например в	1	5
59	вопрос о	1	5
60	что они	2	5
61	в своем	8	5
62	более или	1	5
63	что она	4	5
64	в силу	2	5
65	по существу	2	5
66	их в	3	5
67	или менее	1	5
68	дело не	2	5
69	можно было	2	5
70	восходит к	1	5
71	из дому	4	5
72	в его	8	5
73	что здесь	1	5
74	но не	1	5
75	в качестве	2	5
76	в одном	2	5
77	до сих	9	5
78	сих пор	9	5
79	или в	1	5
80	не должен	1	5
81	ты не	1	5
82	не знает	3	5
83	сказать что	1	5
84	другой стороны	2	5
85	и даже	3	4
86	и для	4	4
87	и на	2	4
88	между собой	4	4
89	одним словом	1	4
90	с этим	3	4
91	представляет собой	3	4
92	все эти	1	4
93	на то	3	4
94	но все	4	4
95	об этом	7	4
96	и с	4	4
97	с тем	4	4
98	как и	3	4
99	на него	4	4
100	в основе	2	4
101	связи с	5	4
102	здесь не	2	4
103	в пределах	2	4
104	детей и	1	4
105	с одной	3	4
106	потому что	10	4
107	так что	6	4
108	в большинстве	1	4
109	мы знаем	2	4
110	к ним	3	4
111	а именно	1	4
112	превращается в	1	4
113	один из	3	4
114	одной стороны	3	4
115	могут быть	1	4
116	друг с	1	4
117	все это	5	4
118	в связи	4	4
119	хотя бы	4	4
120	обстоит дело	2	4
121	они не	1	4
122	чтобы не	1	3
123	начинается с	1	3
124	и должен	1	3
125	время как	2	3
126	я не	1	3
127	ему в	1	3
128	то это	5	3
129	не совсем	2	3
130	и он	2	3
131	там и	1	3
132	по отношению	5	3
133	перед нами	1	3
134	могли бы	1	3
135	ход действия	1	3
136	точку зрения	1	3
137	при этом	7	3
138	не как	2	3
139	и по	1	3
140	на этом	1	3
141	же не	1	3
142	в другом	2	3
143	из них	5	3
144	не с	2	3
145	показывает что	1	3
146	во время	6	3
147	в котором	2	3
148	в их	2	3
149	это дело	1	3
150	эта мысль	1	3
151	в то	6	3
152	на котором	1	3
153	того как	1	3
154	в руки	2	3
155	с другом	1	3
156	у меня	1	3
157	детей в	1	3
158	же самое	3	3
159	знаем их	1	3
160	должен быть	2	3
161	как мы	2	3
162	действия и	1	3
163	в образе	2	3
164	для этого	1	3
165	или на	1	3
166	ли он	1	3
167	в какой	3	3
168	во всем	1	3
169	в стороне	1	3
170	должен был	4	3
171	и его	6	3
172	если мы	2	3
173	в начале	3	3
174	и их	1	3
175	то время	2	3
176	тем что	5	3
177	мы еще	1	3
178	как это	5	3
179	из которых	2	3
180	наряду с	2	3
181	отношению к	3	3
182	к сожалению	1	3
183	отношения к	2	2
184	одним из	2	2
185	и потому	1	2
186	и между	1	2
187	в зависимости	1	2
188	в доме	10	2
189	из всех	2	2
190	а для	1	2
191	зависимости от	1	2
192	это время	1	2
193	к своему	2	2
194	стороны его	1	2
195	на них	3	2
196	он отправляется	1	2
197	столь же	3	2
198	бы то	2	2
199	во всех	2	2
200	предположим что	1	2
201	ответ на	1	2
202	должны были	1	2
203	отличие от	2	2
204	относится к	1	2
205	как в	2	2
206	как уже	1	2
207	и как	1	2
208	в действительности	1	2
209	от этого	1	2
210	вопрос почему	1	2
211	в целом	3	2
212	в тех	1	2
213	которые в	1	2
214	право на	1	2
215	и тот	3	2
216	в себе	4	2
217	как он	3	2
218	и если	2	2
219	в нем	3	2
220	он не	5	2
221	он должен	1	2
222	том чтобы	1	2
223	то ни	3	2
224	а затем	2	2
225	а по	5	2
226	предположение что	1	2
227	и мы	3	2
228	и тем	1	2
229	нет в	1	2
230	ни одной	2	2
231	на первый	1	2
232	но если	3	2
233	в отличие	1	2
234	только для	2	2
235	в эпоху	2	2
236	однако в	4	2
237	еще один	1	2
238	эти две	1	2
239	самого начала	4	2
240	что их	2	2
241	по своей	1	2
242	не по	7	2
243	именно это	1	2
244	не могут	2	2
245	на улицу	2	2
246	всего в	1	2
247	в области	2	2
248	указывает на	1	2
249	своего отца	1	2
250	отказаться от	2	2
251	на это	3	2
252	быть назван	1	2
253	на вопрос	2	2
254	вывод что	2	2
255	в ее	3	2
256	и этим	3	2
257	с самого	4	2
258	приводит к	3	2
259	и когда	1	2
260	за то	2	2
261	ясно что	6	2
262	живет в	1	2
263	а пока	1	2
264	том как	3	2
265	мы в	1	2
266	с ним	5	2
267	ничего не	3	2
268	в пользу	1	2
269	там же	1	2
270	нас в	1	2
271	между тем	2	2
272	этому поводу	1	2
273	этот момент	1	2
274	в конечном	2	2
275	и только	1	2
276	в ту	1	2
277	и она	1	2
278	что девушка	2	2
279	с той	1	2
280	но так	1	2
281	тот же	2	2
282	одной из	3	2
283	дело с	3	2
284	по этому	1	2
285	ни было	2	2
286	пока же	1	2
287	его и	1	2
288	был бы	2	2
289	не так	3	2
290	заключить что	1	2
291	пока не	1	2
292	вовсе не	4	2
293	как раз	6	2
294	со стороны	11	2
295	даже не	3	2
296	с ней	1	2
297	а с	1	2
298	а сам	2	2
299	в середине	1	2
300	что не	3	2
301	говорит о	1	2
302	в некоторых	1	2
303	на этот	3	2
304	не на	1	2
305	разве не	1	2
306	конечно не	3	2
307	как бы	3	2
308	некоторое время	1	2
309	хотя он	1	2
310	ко мне	1	2
311	в основном	1	2
312	не знаем	1	2
313	нисколько не	3	2
314	предпосылки что	1	2
315	еще одна	1	2
316	к браку	1	2
317	и от	1	2
318	бы в	4	2
319	всякого рода	1	2
320	ни к	1	2
321	не дает	4	2
322	между ними	2	2
323	была бы	1	2
324	из этого	2	2
325	самое что	1	2
326	в частности	3	2
327	это было	1	2
328	к этому	6	2
329	можно назвать	1	2
330	речь идет	5	1
331	он нисколько	1	1
332	этой связи	2	1
333	по части	1	1
334	еще два	1	1
335	и меня	1	1
336	сопоставление с	1	1
337	тем же	3	1
338	в первом	1	1
339	которую они	1	1
340	из его	2	1
341	те же	1	1
342	как общество	1	1
343	в действие	1	1
344	едва ли	7	1
345	над ней	3	1
346	его не	2	1
347	а как	2	1
348	в и	2	1
349	и наш	1	1
350	из дальнейшего	1	1
351	говорить о	3	1
352	на себя	4	1
353	же что	1	1
354	замечено что	1	1
355	об их	1	1
356	которые он	1	1
357	он был	4	1
358	не найдем	1	1
359	дают нам	1	1
360	другой пример	1	1
361	но как	1	1
362	с какими	1	1
363	в сторону	1	1
364	мешает ему	2	1
365	конкретно и	1	1
366	перед необходимостью	1	1
367	тут же	4	1
368	друга и	1	1
369	главной пружиной	1	1
370	не пользуется	1	1
371	отнюдь не	4	1
372	и я	2	1
373	в истории	1	1
374	себя за	1	1
375	не видно	1	1
376	если она	1	1
377	независимо от	1	1
378	из уст	1	1
379	стороны и	2	1
380	целый ряд	2	1
381	чего ты	1	1
382	и к	3	1
383	и хотя	2	1
384	в этот	1	1
385	то в	1	1
386	он дал	1	1
387	в которой	3	1
388	и у	1	1
389	образом и	1	1
390	за это	1	1
391	в нашем	1	1
392	бы не	2	1
393	из этих	1	1
394	ст и	5	1
395	связанного с	1	1
396	действительности а	1	1
397	ближе не	2	1
398	но он	1	1
399	их детей	1	1
400	говорят о	1	1
401	тому же	6	1
402	сам или	1	1
403	после чего	2	1
404	над ними	1	1
405	ли для	1	1
406	после этого	2	1
407	от которого	1	1
408	о которой	2	1
409	и еще	3	1
410	чего следует	1	1
411	пить и	1	1
412	огромная литература	1	1
413	его от	2	1
414	подобно тому	1	1
415	и говорить	1	1
416	является не	1	1
417	с такими	1	1
418	начала действия	1	1
419	опять не	1	1
420	могут найти	1	1
421	них не	1	1
422	времени и	1	1
423	еще хуже	1	1
424	дело но	1	1
425	подходит к	1	1
426	известно что	1	1
427	за ней	2	1
428	чаще всего	1	1
429	еще одно	2	1
430	из первых	1	1
431	действий и	1	1
432	по всему	3	1
433	в них	3	1
434	соответствии с	1	1
435	не самым	1	1
436	на основании	2	1
437	этого не	1	1
438	и вся	1	1
439	был быть	1	1
440	со своими	1	1
441	как должен	1	1
442	ею и	1	1
443	чем в	3	1
444	посвящения в	1	1
445	не мог	2	1
446	перед собой	1	1
447	вошел в	1	1
448	над человеком	1	1
449	в понимании	1	1
450	в своей	5	1
451	это делает	1	1
452	бы к	1	1
453	мотивов которые	1	1
454	представление о	2	1
455	в которых	5	1
456	знаем что	1	1
457	для всякого	1	1
458	одном из	1	1
459	из своей	1	1
