N	3gram	Vinokur_Ku_1	Istorich
1	и т д	14	22
2	не может быть	3	7
3	тем не менее	4	6
4	более или менее	3	5
5	с другой стороны	6	5
6	до сих пор	4	5
7	мы увидим что	2	5
8	в большинстве случаев	1	4
9	с одной стороны	1	4
10	на то что	2	4
11	в том что	15	4
12	по отношению к	8	3
13	точно так же	1	3
14	в связи с	3	3
15	т д все	1	3
16	о том что	5	3
17	но все же	2	3
18	можно было бы	3	3
19	должны были бы	1	2
20	мере того как	3	2
21	по мере того	3	2
22	что мы имеем	1	2
23	в зависимости от	5	2
24	в таких случаях	1	2
25	в этих случаях	1	2
26	на этот вопрос	1	2
27	вместе с тем	3	2
28	в конечном итоге	1	2
29	так же как	1	2
30	в отличие от	1	2
31	на первых порах	1	2
32	само по себе	1	2
33	эту точку зрения	1	2
34	именно так и	1	2
35	если бы он	1	1
36	том что она	1	1
37	к тому чтобы	1	1
38	но кроме того	1	1
39	в качестве дополнения	1	1
40	то что обычно	1	1
41	до наших дней	1	1
42	если бы в	1	1
43	что в этом	1	1
44	сводится к тому	2	1
45	то что еще	1	1
46	иметь в виду	1	1
47	это было бы	1	1
48	не говоря уже	1	1
49	т е то	1	1
50	и в особенности	1	1
51	в этом смысле	3	1
52	так что в	1	1
53	во многих случаях	1	1
54	никак не может	1	1
55	в соответствии с	3	1
56	о том как	3	1
57	в этом случае	2	1
58	только тогда когда	1	1
59	в силу того	2	1
60	с представлением о	1	1
61	сами по себе	1	1
62	можно говорить о	1	1
63	а может быть	1	1
64	но они не	1	1
65	и т п	18	1
66	в своем курсе	1	1
67	не видел и	1	1
68	в противном случае	1	1
69	д все это	1	1
70	после чего следует	1	1
71	в том случае	1	1
72	едва ли не	1	1
73	в это время	1	1
74	на более или	1	1
75	в том чтобы	8	1
76	в иных случаях	2	1
77	того что он	1	1
78	дело не с	1	1
79	xix века это	1	1
80	не только в	1	1
81	очень редко и	1	1
82	не найдем ни	1	1
83	т е с	1	1
84	не в том	4	1
85	это все же	1	1
86	это не значит	1	1
87	но уже без	1	1
88	но и с	1	1
89	вопросом о том	1	1
90	мы имеем много	1	1
91	лишь тогда когда	1	1
92	в стороне от	1	1
93	все же и	1	1
94	это потому что	1	1
95	силу того что	2	1
96	и даже в	1	1
97	таким образом в	1	1
98	что оно слишком	1	1
99	в первом случае	1	1
100	того или иного	3	1
101	содержат в себе	1	1
102	в сторону от	2	1
103	хотя бы в	4	1
104	как одно из	1	1
105	еще не все	1	1
106	из русской сказки	1	1
107	у всех народов	1	1
108	что иное как	1	1
109	между тем если	1	1
110	смысле этого слова	1	1
111	после того как	1	1
112	с течением времени	1	1
113	к тому что	2	1
114	не что иное	1	1
115	с этим мы	1	1
116	тех или иных	1	1
117	по сравнению со	1	1
118	прежде всего есть	1	1
119	же относится к	1	1
120	дело не в	1	1
121	внимание на то	2	1
122	для того чтобы	15	1
123	все это не	3	1
124	что и в	1	1
125	одним из таких	1	1
126	в этом отношении	5	1
