N	3gram	Bakhtin_Pr_1	Istorich
1	до сих пор	2	6
2	точно так же	1	6
3	мы видим что	1	5
4	в том что	7	5
5	но все же	1	4
6	так же как	1	4
7	не только в	1	4
8	по отношению к	11	3
9	подобно тому как	3	3
10	можно было бы	3	3
11	потому что он	2	2
12	они никогда не	1	2
13	на самом деле	3	2
14	так как в	1	2
15	во всех этих	1	2
16	с другой стороны	2	2
17	не может быть	3	2
18	о том что	2	2
19	с самого начала	2	2
20	и есть то	1	1
21	он должен быть	1	1
22	говорит об этом	1	1
23	и не могут	1	1
24	он все же	1	1
25	и не только	1	1
26	в зависимости от	3	1
27	в отличие от	2	1
28	о нем думают	1	1
29	задний план перед	1	1
30	что она не	2	1
31	в то что	1	1
32	героя с его	1	1
33	но это не	3	1
34	почти никогда не	1	1
35	она все еще	1	1
36	в й главе	2	1
37	в высшей степени	1	1
38	так и к	1	1
39	на задний план	1	1
40	смысле этого слова	1	1
41	что ни есть	1	1
42	то что было	3	1
43	то что он	1	1
44	в себе в	1	1
45	по себе а	1	1
46	мы видим и	1	1
47	мы не можем	1	1
48	и нисколько не	1	1
49	это и есть	3	1
50	в одно время	1	1
51	не только не	1	1
52	но все эти	1	1
53	я ничего не	1	1
54	ни есть на	1	1
55	вот он и	1	1
56	как одна из	1	1
57	друг с другом	3	1
58	и в нем	1	1
59	том что он	4	1
