1	о том что	2	9
2	в том что	5	8
3	в связи с	4	7
4	тем не менее	1	5
5	с другой стороны	2	5
6	что иное как	2	3
7	не что иное	2	3
8	вместе с тем	5	3
9	точно так же	6	3
10	с одной стороны	3	3
11	после того как	2	3
12	но и в	2	2
13	до сих пор	6	2
14	оказывается что в	1	2
15	по этому поводу	1	2
16	том что он	1	2
17	потому что он	2	2
18	по отношению к	3	2
19	не может быть	2	2
20	потому что они	1	2
21	на то что	2	2
22	но все же	4	2
23	в это время	1	2
24	по его мнению	1	1
25	все еще остается	1	1
26	да и то	1	1
27	и в его	1	1
28	не зная что	1	1
29	не только в	4	1
30	с самого начала	2	1
31	по себе а	1	1
32	и дать ему	1	1
33	несмотря на то	1	1
34	иное как то	1	1
35	но никогда не	1	1
36	и вместе с	2	1
37	что наряду с	1	1
38	вовсе не в	1	1
39	бросается в глаза	1	1
40	означает не что	1	1
41	должно было бы	1	1
42	на другой стороне	1	1
43	как мы увидим	1	1
44	что у него	1	1
45	человека а не	1	1
46	можно было бы	3	1
47	что они были	1	1
48	в одной из	1	1
49	во всем мире	1	1
50	и т д	18	1
51	начала до конца	1	1
52	сам по себе	1	1
53	как то что	1	1
54	этот мотив в	1	1
55	и дает ему	1	1
56	к тому же	2	1
57	то же мы	2	1
58	все же можно	2	1
59	так или иначе	1	1
60	увидим ниже в	1	1
61	о том как	1	1
62	на самом деле	2	1
63	с этой стороны	1	1
64	мы увидим ниже	4	1
65	но это не	1	1
66	связи с этим	1	1
67	в огне и	1	1
68	что и здесь	1	1
69	таким образом мы	1	1
70	это свидетельствует о	1	1
71	хотя бы на	1	1
72	это и есть	1	1
73	на задний план	1	1
74	можно найти еще	1	1
75	все же остается	1	1
76	он все же	1	1
