N	2gram	Vygotskiy__3	Istorich
1	что он	11	24
2	и т	14	19
3	т д	4	18
4	не только	12	18
5	может быть	19	17
6	и в	38	15
7	никогда не	4	15
8	мы имеем	1	15
9	но и	5	14
10	так как	6	14
11	так же	2	13
12	а в	7	12
13	знаем что	1	12
14	то что	35	12
15	что в	20	12
16	в этих	2	11
17	и не	10	11
18	в этом	13	11
19	мы знаем	1	11
20	что они	4	10
21	его в	3	10
22	то же	10	10
23	и здесь	6	9
24	еще не	1	9
25	в другом	5	9
26	все же	8	9
27	потому что	14	9
28	с тем	8	9
29	очень много	1	8
30	должны были	2	8
31	мы увидим	12	8
32	мы видим	12	8
33	мы можем	7	8
34	он не	6	8
35	один из	6	8
36	таким образом	12	7
37	сих пор	5	7
38	не в	12	7
39	вместе с	5	7
40	смерти и	1	7
41	ничего не	2	7
42	в нем	4	7
43	том что	14	7
44	что это	10	6
45	до сих	6	6
46	так что	8	6
47	наряду с	3	6
48	в том	25	6
49	в его	5	6
50	только в	4	6
51	то это	2	6
52	мы уже	7	6
53	что и	4	6
54	и что	18	6
55	но в	3	6
56	как бы	14	6
57	и наконец	2	5
58	не может	7	5
59	к которому	1	5
60	а не	7	5
61	в одном	8	5
62	что она	16	5
63	видим что	8	5
64	к тому	6	5
65	на него	1	5
66	представляет собой	2	5
67	с этим	8	5
68	в котором	6	5
69	же как	1	5
70	она не	6	5
71	имеем в	1	5
72	так и	1	5
73	и есть	1	5
74	что при	1	5
75	было бы	12	5
76	что герой	1	5
77	как в	4	5
78	можно было	1	5
79	но все	1	5
80	в русской	2	5
81	все эти	4	4
82	в себе	4	4
83	и с	1	4
84	для нас	8	4
85	таких случаев	1	4
86	очень часто	2	4
87	но он	2	4
88	в область	1	4
89	показывает что	2	4
90	что здесь	2	4
91	к этой	2	4
92	уже видели	1	4
93	и другие	2	4
94	дело не	2	4
95	тем что	3	4
96	но они	2	4
97	они не	2	4
98	мы должны	1	4
99	в другой	1	4
100	в одной	2	4
101	как она	1	4
102	этот случай	2	4
103	что эти	4	4
104	в этой	13	4
105	при этом	4	4
106	у него	4	4
107	того как	3	4
108	с одной	6	4
109	увидим ниже	2	4
110	и на	6	4
111	у нее	1	4
112	в ней	15	4
113	но это	3	4
114	представлял собой	1	3
115	из человеческих	1	3
116	из этих	3	3
117	и его	6	3
118	на то	16	3
119	предположить что	1	3
120	по мере	1	3
121	ты мне	1	3
122	всех этих	2	3
123	стоит в	1	3
124	увидим что	9	3
125	раньше чем	1	3
126	мы не	5	3
127	как это	6	3
128	уже на	1	3
129	то чего	1	3
130	в их	1	3
131	эти слова	2	3
132	не мог	4	3
133	а именно	1	3
134	здесь мы	4	3
135	в себя	1	3
136	того что	4	3
137	видели что	2	3
138	но если	4	3
139	что этот	4	3
140	в других	1	3
141	мог бы	1	3
142	в качестве	2	3
143	и это	8	3
144	когда она	3	3
145	между прочим	1	3
146	одной стороны	5	3
147	должен был	2	3
148	он в	2	3
149	роль в	1	3
150	когда он	4	3
151	и она	1	3
152	что мы	1	3
153	подобно тому	1	3
154	представляют собой	2	3
155	о том	6	3
156	говорит что	8	3
157	но по	1	3
158	все это	3	3
159	как будто	4	3
160	тому как	1	3
161	он и	1	3
162	он был	3	3
163	к таким	1	2
164	есть на	1	2
165	пусть мне	1	2
166	то мы	1	2
167	не могла	2	2
168	в которой	5	2
169	их в	2	2
170	главным образом	3	2
171	и может	2	2
172	других случаях	1	2
173	но не	1	2
174	на его	1	2
175	ясно и	2	2
176	момент когда	1	2
177	как и	8	2
178	вот он	1	2
179	могла бы	3	2
180	нисколько не	1	2
181	в русском	1	2
182	пришел к	1	2
183	другой раз	1	2
184	в сборнике	3	2
185	и ничего	2	2
186	здесь не	3	2
187	был бы	3	2
188	и их	1	2
189	не было	1	2
190	зависит от	1	2
191	и вместе	2	2
192	уже с	1	2
193	своей цели	1	2
194	действующие лица	1	2
195	в жизни	1	2
196	о его	1	2
197	и так	1	2
198	же эти	1	2
199	когда мы	2	2
200	превращается в	1	2
201	хотя бы	2	2
202	тем самым	1	2
203	в тех	4	2
204	совершенно ясно	13	2
205	что эта	4	2
206	но с	1	2
207	к рассмотрению	1	2
208	что момент	1	2
209	в некоторых	1	2
210	с другими	1	2
211	во всех	4	2
212	интересно что	3	2
213	так сказать	5	2
214	с которой	1	2
215	и только	3	2
216	например в	2	2
217	здесь в	2	2
218	из него	4	2
219	на этой	1	2
220	к чему	6	2
221	в таких	1	2
222	здесь нет	1	2
223	а затем	1	2
224	в нашей	1	2
225	это только	3	2
226	на самом	2	2
227	это не	1	2
228	мы видели	6	2
229	к ней	2	2
230	такой же	2	2
231	говорили что	1	2
232	так у	1	2
233	на вопрос	1	2
234	случае мы	1	2
235	с ее	2	2
236	дано в	3	2
237	ее в	4	2
238	того чтобы	9	2
239	что у	7	2
240	или в	5	2
241	только у	1	2
242	в нее	2	2
