N	2gram	Bakhtin_Pr_4	Istorich
1	и в	46	22
2	мы имеем	3	19
3	в этом	16	17
4	что в	4	15
5	не только	14	14
6	в брак	1	14
7	в доме	1	12
8	но и	12	12
9	и не	27	12
10	в этих	4	11
11	может быть	23	11
12	и пр	2	11
13	или в	8	11
14	но в	6	10
15	таким образом	4	10
16	еще не	7	10
17	в нем	17	9
18	что и	3	9
19	в том	9	9
20	что он	6	9
21	вместе с	2	9
22	как мы	12	8
23	мы видим	1	8
24	в большом	1	8
25	с этим	2	8
26	том что	4	8
27	но не	4	7
28	то что	4	7
29	и здесь	4	7
30	уже не	4	7
31	так как	5	7
32	с другой	3	7
33	другой стороны	3	7
34	там где	2	7
35	этих случаях	2	7
36	к этому	1	7
37	то же	6	6
38	мы уже	3	6
39	не вполне	1	6
40	это не	5	6
41	здесь можно	1	6
42	во время	1	6
43	ничего не	2	6
44	связи с	1	6
45	все еще	1	6
46	так в	2	6
47	если бы	3	6
48	в них	1	6
49	то и	2	6
50	друг друга	6	6
51	мы можем	4	6
52	а не	11	6
53	а в	2	6
54	с ней	1	6
55	с большим	1	5
56	все же	4	5
57	он не	4	5
58	что она	1	5
59	здесь мы	1	5
60	в этой	3	5
61	не менее	2	5
62	могут быть	2	5
63	живет в	2	5
64	к нему	5	5
65	один из	1	5
66	так что	2	5
67	до сих	8	5
68	на ней	1	5
69	в некоторых	1	5
70	у меня	3	5
71	в частности	1	5
72	есть и	2	5
73	этом случае	1	5
74	сих пор	8	5
75	одним из	3	4
76	мы здесь	2	4
77	и на	11	4
78	все эти	4	4
79	отношение к	3	4
80	не в	10	4
81	имеем в	3	4
82	на этом	3	4
83	и с	7	4
84	не всегда	1	4
85	у нас	2	4
86	как это	1	4
87	но он	3	4
88	к ней	2	4
89	и его	6	4
90	тем что	3	4
91	что на	1	4
92	она не	3	4
93	в пределах	10	4
94	в другой	1	4
95	только в	6	4
96	и они	2	4
97	его и	1	4
98	в других	2	4
99	а именно	1	4
100	связано с	1	4
101	они не	2	4
102	в данном	2	4
103	и там	1	4
104	для нас	2	4
105	в свою	1	4
106	не может	19	4
107	и другие	3	4
108	то меня	1	3
109	он все	1	3
110	со стороны	1	3
111	в одной	2	3
112	целый ряд	2	3
113	и как	2	3
114	и к	9	3
115	в целом	1	3
116	из этих	3	3
117	на его	1	3
118	их в	3	3
119	могло быть	1	3
120	а затем	1	3
121	его в	1	3
122	было бы	3	3
123	должен был	1	3
