1	не только	14	32
2	может быть	11	25
3	но и	12	23
4	в качестве	2	21
5	и не	12	20
6	и в	22	19
7	в том	9	18
8	в этом	17	17
9	в частности	5	14
10	не в	4	14
11	том что	8	14
12	состоит в	3	13
13	представляет собой	3	13
14	а не	6	12
15	тогда как	1	12
16	своего рода	1	12
17	то что	7	11
18	а в	6	11
19	точки зрения	2	10
20	не может	4	10
21	при этом	2	9
22	так и	2	9
23	со стороны	3	9
24	в его	3	9
25	в мире	1	9
26	героя в	1	8
27	с другой	7	8
28	одной стороны	2	7
29	с одной	2	7
30	к тому	3	7
31	как и	3	7
32	еще не	10	7
33	а также	2	7
34	как в	2	7
35	все же	5	7
36	по отношению	2	7
37	отношению к	2	6
38	как это	4	6
39	но в	10	6
40	том числе	1	6
41	что он	9	6
42	в себя	1	6
43	о том	3	6
44	к нему	5	5
45	тому же	2	5
46	и его	4	5
47	уже не	7	5
48	в этой	5	5
49	не все	6	5
50	и как	3	5
51	но не	7	5
52	по себе	1	5
53	можно сказать	2	5
54	отнюдь не	1	5
55	в данном	4	5
56	к себе	1	5
57	далеко не	3	5
58	же в	2	4
59	было бы	3	4
60	же не	2	4
61	как правило	2	4
62	да и	2	4
63	то же	6	4
64	одного из	2	4
65	перед нами	1	4
66	здесь не	3	4
67	что не	2	4
68	сказать что	3	4
69	как бы	1	4
70	в нем	9	4
71	героя и	1	4
72	если не	2	4
73	матери и	2	4
74	в силу	2	4
75	и тем	1	4
76	данном случае	3	4
77	одной из	1	4
78	но все	2	4
79	и с	4	4
80	только в	4	4
81	отличается от	1	4
82	у него	3	4
83	связи с	6	4
84	прежде всего	3	4
85	все те	1	4
86	в особенности	2	4
87	не мог	2	4
88	хотя бы	1	4
89	другой стороны	7	4
90	свою очередь	1	3
91	в ее	1	3
92	как будто	2	3
93	могут быть	5	3
94	не есть	1	3
95	хотя и	2	3
96	даже не	2	3
97	в свою	4	3
98	тем что	4	3
99	что это	1	3
100	восходит к	1	3
101	один из	5	3
102	бы быть	1	3
103	тем не	5	3
104	не с	2	3
105	уже в	1	3
106	он не	5	3
107	что в	15	3
108	одна из	2	3
109	жизни и	2	3
110	ни в	2	3
111	никогда не	3	3
112	на том	3	3
113	и он	2	3
114	как мы	8	3
115	столь же	1	3
116	в ней	2	3
117	или иначе	1	3
118	не будет	1	3
119	не существует	1	3
120	а именно	4	3
121	на себя	2	3
122	и даже	2	3
123	же как	2	3
124	между тем	2	3
125	не менее	5	3
126	и на	4	3
127	в то	2	3
128	как говорит	1	3
129	из этих	3	3
130	из них	7	3
131	о ней	2	3
132	это и	1	3
133	что они	8	3
134	с ее	1	3
135	вплоть до	1	2
136	здесь и	2	2
137	однако в	1	2
138	героя с	2	2
139	в иной	1	2
140	с точки	1	2
141	не что	3	2
142	одно из	1	2
143	в область	1	2
144	все эти	4	2
145	они в	2	2
146	представляют собой	4	2
147	нарушение запрета	4	2
148	но как	1	2
149	и до	1	2
150	говорит и	2	2
151	утверждать что	2	2
152	например в	2	2
153	старуха мать	1	2
154	что по	2	2
155	сами по	1	2
156	встречается в	2	2
157	они не	4	2
158	а если	3	2
159	то она	1	2
160	времени в	1	2
161	и потому	2	2
162	мы имеем	19	2
163	этот способ	1	2
164	и ее	3	2
165	его в	3	2
166	вследствие чего	2	2
167	не то	1	2
168	и все	3	2
169	этого слова	1	2
170	каждый год	1	2
171	что мы	1	2
172	у нее	2	2
173	и др	2	2
174	говорит о	1	2
175	не имеет	2	2
176	что на	4	2
177	или даже	1	2
178	себя и	1	2
179	исходя из	1	2
180	и для	2	2
181	даже в	2	2
182	или в	11	2
183	во второй	1	2
184	она может	1	2
185	ничего не	6	2
186	в пределах	4	2
187	человека в	1	2
188	совершенно не	2	2
189	и тот	1	2
190	в таком	1	2
191	должна быть	1	2
192	не как	1	2
193	на другой	2	2
194	тогда в	1	2
195	что у	3	2
196	событий в	1	2
197	после смерти	2	2
198	в связи	3	2
199	нет и	1	2
200	имеем дело	1	2
201	можно было	1	2
202	который в	1	2
203	одним из	4	2
204	роль в	2	2
205	так же	3	2
206	иное как	3	2
207	он сам	1	2
208	этой точки	1	2
209	бы не	1	2
210	она не	4	2
211	самом деле	1	2
212	от всех	1	2
213	не было	2	2
214	между собой	1	2
215	не всегда	4	2
216	тому как	1	2
217	может оказаться	1	2
218	том свете	2	2
219	что иное	3	2
220	отношение к	4	2
221	приходит к	1	2
222	таком случае	1	2
223	точно так	2	2
224	так или	1	2
225	в своем	2	2
226	дело с	2	2
227	подобно тому	1	2
228	о чем	1	2
229	героя из	1	2
230	и только	1	2
231	это не	6	2
232	которая в	1	2
233	независимо от	2	2
234	больше всего	1	1
235	матерью а	1	1
236	в различных	1	1
237	возвращения героя	2	1
238	как не	1	1
239	если же	1	1
240	образа и	1	1
241	мы можем	6	1
242	к жизни	2	1
243	ничем не	1	1
244	действительности и	1	1
245	не дает	2	1
246	от него	2	1
247	характерно для	2	1
248	здесь мы	5	1
249	время пребывания	1	1
250	его от	1	1
251	в следующем	1	1
252	оно имеет	1	1
253	если бы	6	1
254	а то	2	1
255	он и	3	1
256	в соответствии	1	1
257	возвращения в	1	1
258	входит в	1	1
259	где он	1	1
260	в тех	2	1
261	всем его	1	1
262	это еще	2	1
263	но он	4	1
264	приводят к	1	1
265	с другом	1	1
266	чтобы заставить	1	1
267	иногда и	1	1
268	человек с	1	1
269	там же	2	1
270	и должна	1	1
271	образом и	2	1
272	него а	1	1
273	о его	1	1
274	о себе	3	1
275	начиная с	1	1
276	в один	1	1
277	внимание и	1	1
278	человека как	1	1
