N	2gram	Tiupa_Teor_1	Istorich
1	в лесу	1	26
2	и в	18	22
3	мы имеем	7	19
4	в этом	8	17
5	что в	9	15
6	не только	16	14
7	и не	13	12
8	но и	9	12
9	в лес	1	12
10	или в	3	11
11	в этих	3	11
12	может быть	17	11
13	еще не	4	10
14	таким образом	3	10
15	но в	9	10
16	в нем	4	9
17	вместе с	2	9
18	в том	16	9
19	что и	2	9
20	что он	1	9
21	как мы	1	8
22	что они	1	8
23	мы видим	1	8
24	том что	9	8
25	и здесь	2	7
26	но не	9	7
27	этих случаях	1	7
28	то что	3	7
29	пребывания в	1	7
30	уже не	4	7
31	другой стороны	5	7
32	так как	1	7
33	с мотивом	1	7
34	с другой	7	7
35	из них	1	7
36	связи с	1	6
37	с ней	1	6
38	так в	4	6
39	а в	13	6
40	это не	2	6
41	не все	3	6
42	то же	7	6
43	если бы	3	6
44	в них	2	6
45	не вполне	2	6
46	а не	9	6
47	не менее	4	5
48	к нему	1	5
49	здесь мы	1	5
50	того что	4	5
51	что она	2	5
52	так что	1	5
53	один из	2	5
54	тем не	3	5
55	в этой	3	5
56	могут быть	4	5
57	он не	3	5
58	в частности	16	5
59	все эти	2	4
60	одним из	2	4
61	но он	3	4
62	с появлением	1	4
63	не в	7	4
64	как это	8	4
65	отношение к	5	4
66	в другой	1	4
67	тем что	1	4
68	в большой	1	4
69	а именно	2	4
70	и другие	2	4
71	они не	1	4
72	и его	8	4
73	у нас	2	4
74	на смену	4	4
75	только в	6	4
76	имеем в	3	4
77	не может	4	4
78	и на	1	4
79	она не	1	4
80	на этом	1	4
81	на могиле	1	4
82	в пределах	5	4
83	в данном	8	4
84	в свою	3	4
85	и как	2	3
86	на его	1	3
87	данном случае	5	3
88	в связи	1	3
89	очень часто	1	3
90	как и	4	3
91	так же	2	3
92	прежде всего	2	3
93	эти два	1	3
94	здесь не	1	3
95	и ее	3	3
96	его в	2	3
97	однако что	1	3
98	иное как	1	3
99	превращается в	2	3
100	потому что	3	3
101	и от	1	3
102	а через	1	3
103	а затем	1	3
104	к тому	2	3
105	что иное	1	3
106	в его	6	3
107	и к	3	3
108	из этих	3	3
109	в целом	3	3
110	ее в	2	3
111	связана с	1	3
112	сказать что	3	3
113	представляет собой	9	3
114	в чем	1	3
115	имеем не	1	3
116	в одной	1	3
117	никогда не	4	3
118	со стороны	2	3
119	однако это	1	3
120	вступить в	1	3
121	с ними	1	3
122	у него	1	3
123	не что	1	3
124	должен был	1	3
125	далеко не	2	3
126	их в	3	3
127	быть и	2	3
128	о себе	2	3
129	я не	2	3
130	о том	1	3
131	все что	1	3
132	но по	1	3
133	дома и	2	3
134	целый ряд	1	3
135	было бы	1	3
136	на нее	1	3
137	особого рода	2	3
138	состоит в	17	3
139	могло быть	2	3
140	в русской	6	3
141	вступают в	1	2
142	не могла	1	2
143	происходит в	1	2
144	образом и	1	2
145	с матерью	1	2
146	говорит и	2	2
147	как правило	4	2
148	но она	2	2
149	имеются и	2	2
150	и вот	3	2
151	за него	1	2
152	о ней	2	2
153	в другом	3	2
154	вопрос о	1	2
155	от своих	1	2
156	можно сказать	3	2
157	всю жизнь	1	2
158	говорилось выше	1	2
159	на это	1	2
160	и для	2	2
161	никто не	2	2
162	здесь и	1	2
163	большинстве случаев	1	2
164	не было	1	2
