N	2gram	Trubetskoy_1	Istorich
1	и в	14	22
2	в этом	17	17
3	и т	3	16
4	что в	4	15
5	не только	9	14
6	но и	10	12
7	и не	19	12
8	в этих	2	11
9	может быть	9	11
10	или в	3	11
11	но в	2	10
12	таким образом	11	10
13	еще не	3	10
14	в нем	5	9
15	что и	3	9
16	в том	17	9
17	что он	6	9
18	вместе с	4	9
19	как мы	1	8
20	что они	3	8
21	с этим	2	8
22	том что	9	8
23	но не	4	7
24	то что	13	7
25	мы должны	7	7
26	уже не	2	7
27	из них	3	7
28	так как	4	7
29	с другой	1	7
30	этих случаях	1	7
31	к этому	1	7
32	то же	11	6
33	мы уже	2	6
34	это не	1	6
35	во время	2	6
36	связи с	3	6
37	если бы	6	6
38	то и	1	6
39	друг друга	3	6
40	мы можем	2	6
41	а не	2	6
42	связь с	1	6
43	в течение	2	6
44	а в	5	6
45	с ней	1	6
46	с большим	1	5
47	все же	4	5
48	он не	5	5
49	здесь мы	1	5
50	в этой	4	5
51	тем не	1	5
52	не менее	1	5
53	могут быть	1	5
54	к нему	2	5
55	в свете	1	5
56	того что	3	5
57	один из	1	5
58	так что	2	5
59	до сих	5	5
60	на ней	1	5
61	в некоторых	2	5
62	в частности	2	5
63	есть и	2	5
64	этом случае	3	5
65	сих пор	5	5
66	и на	5	4
67	все эти	2	4
68	не в	4	4
69	и с	7	4
70	не всегда	1	4
71	как это	1	4
72	к ней	1	4
73	тем что	3	4
74	что на	1	4
75	она не	2	4
76	только в	5	4
77	его и	2	4
78	в других	2	4
79	связано с	1	4
80	они не	1	4
81	в данном	7	4
82	для нас	2	4
83	в свою	1	4
84	не может	22	4
85	их и	1	3
86	имеет свою	1	3
87	представление о	1	3
88	иное как	1	3
89	со стороны	4	3
90	в одной	1	3
91	целый ряд	2	3
92	и как	3	3
93	и к	6	3
94	из этих	3	3
95	на его	1	3
96	их в	2	3
97	его в	4	3
98	было бы	5	3
99	для них	3	3
100	все равно	1	3
101	как и	4	3
102	состоит в	2	3
103	должны были	1	3
104	и эти	1	3
105	можно ли	3	3
106	никогда не	5	3
107	потому что	5	3
108	однако это	1	3
109	к тому	7	3
110	о том	7	3
111	но по	1	3
112	данном случае	3	3
113	на том	3	3
114	что у	1	3
115	от них	1	3
116	в его	4	3
117	с ними	1	3
118	только указать	1	3
119	и у	1	3
120	за ним	1	3
121	прежде всего	8	3
122	у него	2	3
123	превращается в	1	3
124	в связи	1	3
125	о себе	1	3
126	так же	2	3
127	а если	1	3
128	стороны и	1	3
129	быть и	2	3
130	но это	2	3
131	между прочим	1	3
132	и от	2	3
133	и все	1	3
134	ее в	2	3
135	все что	4	3
136	ту же	1	2
137	и то	4	2
138	на самом	6	2
139	и есть	2	2
140	в котором	2	2
141	от которых	1	2
142	же как	1	2
143	вопрос о	5	2
144	от своих	1	2
145	но она	2	2
146	на себя	2	2
147	то это	3	2
148	в ней	2	2
149	знаем что	3	2
150	в сторону	1	2
151	по отношению	2	2
152	в качестве	3	2
153	себе и	4	2
154	в своем	6	2
155	что по	1	2
156	ни один	1	2
157	во многих	2	2
158	тому же	1	2
159	если он	1	2
160	не могла	1	2
161	при этом	5	2
162	на одну	1	2
163	они в	1	2
164	всех этих	3	2
165	в виде	3	2
166	и вот	2	2
167	так часто	2	2
168	никому не	1	2
169	так и	1	2
170	но все	1	2
171	об этой	1	2
172	на все	1	2
173	большинстве случаев	2	2
174	следить за	1	2
175	уже знаем	1	2
176	ни в	2	2
177	вовсе не	1	2
178	с тем	6	2
179	со своими	1	2
180	и для	6	2
181	и некоторые	1	2
182	такой же	1	2
183	точки зрения	11	2
184	в которых	1	2
185	друг другу	2	2
186	и более	2	2
187	даже в	1	2
188	ему как	1	2
189	в то	10	2
190	хотелось бы	1	2
191	одна из	3	2
192	с одним	1	2
193	в русском	1	2
194	все члены	2	2
195	связь и	1	2
196	как будто	2	2
197	ли это	4	2
198	как только	1	2
199	на это	2	2
200	и это	1	2
201	и о	2	2
202	живущие в	1	2
203	роль в	1	2
204	в другом	3	2
205	связан с	1	2
206	одного из	1	2
207	образом в	1	2
208	и что	2	2
209	в силу	2	2
210	должно было	1	2
211	между тем	5	2
212	переносится на	2	2
213	этот вопрос	2	2
214	и действительно	1	2
215	они могут	1	2
216	а после	1	2
217	в жизни	1	2
218	для нее	2	2
219	что не	1	2
220	еще одну	1	2
221	а то	1	2
222	мы знаем	1	2
223	всяком случае	6	2
224	только на	2	2
225	и даже	2	2
226	даже не	2	2
227	есть только	1	2
228	не было	3	2
229	здесь дело	1	2
230	представления о	1	2
231	означало бы	1	2
232	именно так	1	2
233	и потому	3	2
234	да и	3	2
235	можно сказать	1	2
236	если не	2	2
237	происходит в	1	2
238	от него	2	2
239	или не	1	2
240	совершенно не	2	2
241	отношению к	1	2
242	жизни и	4	2
243	точно так	2	2
244	только не	1	2
245	он на	1	2
246	во всяком	9	2
247	в союзе	1	1
248	также и	1	1
249	самом деле	7	1
250	народов у	1	1
251	согласии с	1	1
252	бы для	2	1
253	говорили выше	1	1
254	не признает	1	1
255	ясно что	2	1
256	не хочет	1	1
257	со своей	1	1
258	и этот	3	1
259	и за	1	1
260	из всех	2	1
261	есть не	1	1
262	мы не	1	1
263	нас важно	1	1
264	на место	1	1
265	на эти	1	1
266	приводят к	2	1
267	такое положение	1	1
268	именно по	1	1
269	это отношение	1	1
270	и носителей	1	1
271	очень скоро	1	1
272	к общему	1	1
273	на них	1	1
274	между собой	5	1
275	столь же	1	1
276	что его	1	1
277	в различных	1	1
278	всего с	1	1
279	одной или	1	1
280	но как	1	1
281	к которой	6	1
282	к богу	7	1
283	к ним	1	1
284	другим способом	1	1
285	не просто	2	1
286	нет и	1	1
287	отнюдь не	7	1
288	трудно сказать	1	1
289	по которому	1	1
290	что ее	1	1
291	нельзя было	1	1
292	перед нами	1	1
293	имя своих	1	1
294	к этой	4	1
295	не сам	1	1
296	оградить себя	1	1
297	еще на	1	1
298	что это	3	1
299	бы не	1	1
300	что так	1	1
301	ни одна	3	1
302	остановиться на	1	1
303	друг от	2	1
304	и те	2	1
305	на то	5	1
306	и ту	1	1
307	забыв о	1	1
308	вообще не	1	1
309	исходит из	1	1
310	не следует	1	1
311	главным образом	3	1
312	одному из	2	1
313	должна быть	2	1
314	видеть в	2	1
315	прочим и	1	1
316	в корне	4	1
317	том чтобы	3	1
318	окрашены в	1	1
319	и по	3	1
320	так например	1	1
321	человека в	1	1
322	по своему	1	1
323	могла бы	1	1
324	не будет	7	1
325	в состоянии	1	1
326	ним в	1	1
327	в мире	4	1
328	об этом	1	1
329	на этой	2	1
330	входит в	1	1
331	заключается в	1	1
332	с другими	1	1
333	и тем	2	1
334	одной из	3	1
335	она и	1	1
336	а за	1	1
337	которой он	4	1
338	для чего	1	1
339	становится и	1	1
340	в царстве	1	1
341	перед собой	1	1
342	но если	3	1
343	в своей	5	1
344	что такое	2	1
345	всегда делают	1	1
346	в такой	1	1
347	где мы	1	1
348	с точки	9	1
349	просто в	1	1
350	что вся	1	1
351	мы теперь	1	1
352	быта и	1	1
353	для данного	1	1
354	ко всему	1	1
355	жизни является	1	1
356	превратиться в	1	1
357	по себе	2	1
358	же мы	1	1
359	в таких	2	1
360	все три	1	1
361	из нас	1	1
362	самого начала	1	1
363	или другие	1	1
364	ее с	1	1
365	у кого	1	1
366	и сама	1	1
367	на которых	1	1
368	при том	4	1
369	казалось бы	1	1
370	в разных	1	1
371	больше чем	2	1
372	это то	1	1
373	именно с	1	1
374	на себе	1	1
375	во всем	4	1
376	только с	2	1
377	это при	1	1
378	если его	1	1
379	в семью	1	1
380	нет ни	1	1
381	это конечно	1	1
382	отличается от	2	1
383	указывает на	2	1
384	не есть	3	1
385	и тот	2	1
386	в одну	1	1
387	что при	1	1
388	если же	2	1
389	наталкиваемся на	1	1
390	называет себя	1	1
391	приходит к	3	1
392	с ее	1	1
393	от друга	2	1
394	как не	1	1
395	свою очередь	1	1
396	на нем	1	1
397	в ее	1	1
398	совершенно ясно	1	1
399	всегда были	1	1
400	только то	1	1
401	в себя	1	1
402	с самого	1	1
403	или нескольких	2	1
404	можно было	4	1
405	совершенно различных	1	1
406	столько же	1	1
407	значит в	1	1
408	он сам	3	1
409	для этого	3	1
410	с ним	2	1
411	там в	1	1
412	в порядке	2	1
413	и должно	2	1
414	при котором	3	1
415	никак не	1	1
416	наоборот это	1	1
417	потому все	1	1
418	по их	1	1
419	в согласии	1	1
420	помощи которых	1	1
421	и хочет	1	1
422	связаны с	1	1
423	явление в	1	1
424	и только	5	1
425	огромные размеры	1	1
426	что бы	3	1
427	народов и	2	1
428	наконец и	1	1
429	оно и	1	1
430	и дело	1	1
431	особенно если	1	1
432	хотя бы	5	1
433	может оказаться	1	1
434	неудивительно что	1	1
435	во-вторых что	1	1
436	находят себе	3	1
437	по этому	2	1
438	именно на	2	1
