N	4gram	Vygotskiy__4	Istorich
1	не что иное как	1	3
2	в то время как	1	2
3	состоит в том что	3	2
4	в этом случае в	1	1
5	на одной и той	2	1
6	это мы видим в	1	1
7	не только то что	1	1
8	заключается в том что	13	1
9	не имеют ничего общего	1	1
10	мы уже говорили выше	2	1
11	имеют ничего общего с	1	1
12	точно так же как	1	1
13	чем перейти к этому	1	1
14	с этой точки зрения	4	1
15	все реже и реже	1	1
16	в том что в	1	1
17	но вместе с тем	2	1
18	одной и той же	4	1
19	как мы видели выше	1	1
20	на все эти вопросы	1	1
21	мы имеем дело с	1	1
22	в том смысле как	1	1
23	как мы сейчас увидим	1	1
24	но и то что	1	1
