N	3gram	Voloshinov_1	Istorich
1	так же как	2	12
2	совершенно так же	1	6
3	до сих пор	8	5
4	же как и	2	4
5	с другой стороны	5	4
6	не может быть	13	4
7	но все же	3	4
8	в этом случае	3	3
9	как мы видели	1	3
10	то же самое	3	2
11	не только в	1	2
12	смысле этого слова	2	2
13	с переходом на	1	2
14	так и в	1	2
15	о чем речь	1	2
16	в другом случае	1	2
17	в связи с	7	2
18	тем не менее	2	2
19	на этот вопрос	3	2
20	этот вопрос мы	3	1
21	между прочим и	1	1
22	или же они	1	1
23	подобно тому как	1	1
24	в том числе	2	1
25	и как мы	1	1
26	имеется в виду	1	1
27	друг друга дополняют	1	1
28	таким образом между	2	1
29	и не может	9	1
30	как и все	2	1
31	таким образом к	1	1
32	но и в	1	1
33	как мы увидим	1	1
34	нужно прибавить что	1	1
35	независимо от того	1	1
36	так и с	1	1
37	в основе своей	1	1
38	может быть только	1	1
39	может быть и	3	1
40	может быть уже	1	1
41	но и это	1	1
42	а не только	1	1
43	таким образом и	1	1
44	и в большинстве	1	1
45	бы они были	1	1
46	не могут быть	2	1
47	одни и те	5	1
48	мы уже знаем	1	1
49	был связан с	1	1
50	в широком смысле	1	1
51	ни к каким	1	1
52	и пр есть	1	1
53	между собой и	1	1
54	но уже в	1	1
55	вовсе не в	1	1
56	это и есть	2	1
57	но в одном	1	1
58	она и не	1	1
59	ничего общего с	2	1
60	и те же	5	1
61	тогда он может	1	1
62	можно сказать что	3	1
63	здесь входить в	1	1
64	как мы видим	1	1
65	этом как мы	1	1
66	в большинстве случаев	3	1
67	к тому что	1	1
68	в узком смысле	2	1
69	друг за другом	1	1
70	только с помощью	1	1
