N	2gram	Medvedev_B_1	Istorich
1	и в	1	26
2	и на	1	12
3	таким образом	1	12
4	что в	1	12
5	не только	1	10
6	с другой	1	10
7	и не	2	10
8	еще не	1	9
9	все же	1	8
10	другой стороны	1	8
11	в ней	2	5
12	так и	1	5
13	у нас	3	5
14	прежде всего	1	4
15	в книге	1	4
16	должна быть	1	3
17	в своей	1	3
18	и ее	1	3
19	далеко не	1	3
20	не было	1	3
21	в данном	1	3
22	как будто	1	3
23	кроме того	1	3
24	вопрос о	1	3
25	можно было	2	2
26	же не	1	2
27	его не	1	2
28	было бы	1	2
29	стоит на	1	2
30	не вполне	1	2
31	всяком случае	1	2
32	а не	1	2
33	также не	1	2
34	во всяком	1	2
35	также что	1	1
36	не все	1	1
37	изучение и	1	1
38	и нет	1	1
39	для которой	1	1
40	меньшей мере	1	1
41	никак не	1	1
42	что все	1	1
43	все это	2	1
44	и более	1	1
45	больше чем	2	1
46	к ней	1	1
47	в области	1	1
48	этой книги	1	1
49	и о	1	1
50	об этом	1	1
51	одной из	1	1
52	если таким	1	1
53	чем на	1	1
54	на которой	1	1
55	тем более	1	1
56	будто бы	1	1
57	между ними	1	1
