N	3gram	Losev_Dial_3	Istorich
1	и т д	23	16
2	с другой стороны	2	8
3	о том что	5	5
4	с одной стороны	3	4
5	так же как	2	4
6	в том что	3	4
7	мы имеем в	1	4
8	что у него	1	4
9	тем не менее	10	4
10	этой точки зрения	2	3
11	с этой стороны	1	3
12	в данном случае	1	3
13	с этой точки	2	3
14	не может быть	6	3
15	мы не можем	2	2
16	точно так же	2	2
17	что это не	2	2
18	как и в	3	2
19	до сих пор	1	2
20	что и в	1	2
21	в то время	4	2
22	речь может идти	1	2
23	т е в	4	2
24	то время как	4	2
25	они должны быть	1	1
26	это значит что	21	1
27	не может и	1	1
28	тот кто хочет	1	1
29	бы то ни	1	1
30	совершенно достаточно чтобы	1	1
31	вы говорите что	1	1
32	в чистом виде	1	1
33	не имеет своего	1	1
34	ничего не может	1	1
35	в самом деле	5	1
36	не может выйти	1	1
37	или ничем не	1	1
38	друг на друга	1	1
39	то ни было	1	1
40	д и наконец	1	1
41	и в особенности	1	1
42	ни за что	1	1
43	к тому что	2	1
44	все это не	1	1
45	и та же	1	1
46	же как и	1	1
47	одна из форм	1	1
48	что это значит?	2	1
49	ничем не отличается	4	1
50	только если не	1	1
51	в зависимости от	2	1
52	то это значит	4	1
53	он не может	2	1
54	есть и в	1	1
55	а так как	1	1
56	более или менее	1	1
57	ничего не говорится	1	1
58	но все эти	1	1
59	тем более не	2	1
60	в связи с	1	1
61	не отличается от	4	1
62	животных и т	1	1
63	таким образом что	1	1
64	не говорит о	2	1
65	сама по себе	4	1
66	с тех пор	2	1
67	только потому что	1	1
68	одна и та	1	1
69	в мифе о	1	1
70	с точки зрения	14	1
71	исходит от отца	2	1
72	тому что она	1	1
73	а не от	1	1
74	но так как	1	1
75	и становится им	1	1
76	и что в	1	1
77	а иногда и	1	1
78	во всем этом	1	1
79	представление об этих	1	1
80	т д и	6	1
81	и что он	1	1
82	то же самое	1	1
83	хотя и не	2	1
