N	2gram	Medvedev_F_3	Istorich
1	и в	27	24
2	не только	9	21
3	что он	6	21
4	и т	11	17
5	т д	6	16
6	этих случаях	1	16
7	т е	32	16
8	может быть	25	14
9	не может	24	14
10	что в	8	13
11	в этих	3	13
12	мы имеем	1	12
13	как в	4	12
14	в этом	18	12
15	в ином	1	12
16	и здесь	1	12
17	но и	10	11
18	это не	3	10
19	том что	4	10
20	и что	3	10
21	мы видим	1	10
22	а в	1	10
23	все же	6	9
24	с другой	6	9
25	не в	12	9
26	о том	4	9
27	потому что	7	9
28	то же	15	8
29	еще не	6	8
30	что и	2	8
31	так как	9	8
32	другой стороны	5	8
33	а не	17	8
34	все это	7	8
35	во всех	3	7
36	то что	8	7
37	в первую	1	7
38	таким образом	18	7
39	мы видели	4	7
40	одна из	2	7
41	один из	1	7
42	в том	7	7
43	вместе с	6	7
44	что это	3	6
45	но не	5	6
46	как он	2	6
47	в нем	15	6
48	он не	1	6
49	всех этих	2	6
50	об этом	1	6
51	как и	14	6
52	для нас	3	6
53	и все	8	6
54	того что	3	6
55	только в	8	6
56	тем что	5	6
57	так же	9	6
58	с этой	1	6
59	мы увидим	2	6
60	то это	1	5
61	с одной	1	5
62	но в	6	5
63	имеем в	1	5
64	что она	2	5
65	не менее	7	5
66	с ним	1	5
67	дело не	2	5
68	ничего не	2	5
69	так и	21	5
70	одной стороны	1	5
71	там где	7	5
72	эта задача	1	5
73	героя и	2	5
74	же как	3	4
75	он может	2	4
76	мы уже	3	4
77	мы не	4	4
78	как бы	8	4
79	при этом	8	4
80	мы можем	4	4
81	но все	1	4
82	от отца	1	4
83	на первый	1	4
84	точки зрения	16	4
85	в их	1	4
86	тем не	2	4
87	по существу	1	4
88	никогда не	5	4
89	в других	1	4
90	совершенно ясно	1	4
91	так в	2	4
92	то и	1	4
93	вовсе не	28	4
94	в данном	6	4
95	и не	30	4
96	мы должны	2	4
97	одной из	2	4
98	к сыну	1	3
99	видеть в	1	3
100	на престол	1	3
101	с его	2	3
102	герой не	1	3
103	себе и	1	3
104	тоже не	1	3
105	что они	5	3
106	эта связь	2	3
107	кроме того	1	3
108	хотя и	1	3
109	приема в	2	3
110	видим и	1	3
111	из этих	2	3
112	в дальнейшем	5	3
113	на то	1	3
114	если он	1	3
115	и если	1	3
116	и по	1	3
117	а его	1	3
118	его в	7	3
119	отца к	1	3
120	уже знаем	2	3
121	кажется что	2	3
122	в них	3	3
123	она в	1	3
124	знаем что	2	3
125	должны были	1	3
126	для объяснения	1	3
127	в конце	3	3
128	задачи и	1	3
129	нечто вроде	1	3
130	как мы	8	3
131	тогда когда	4	3
132	того как	1	3
133	такой случай	1	3
134	и его	19	3
135	связи с	5	3
136	из одного	2	3
137	данном случае	4	3
138	и этим	1	3
139	это происходит	1	3
140	трудная задача	1	3
141	в качестве	1	3
142	чаще всего	1	3
143	так что	1	3
144	уже в	4	3
145	на ней	1	3
146	и даже	2	3
147	пришли к	3	3
148	связано с	2	3
149	превращается в	2	3
150	происходит в	1	3
151	этой точки	1	3
152	что мы	1	3
153	сих пор	1	3
154	но это	2	3
155	от него	2	3
156	следующим образом	1	3
157	ее в	3	3
158	выражено в	1	2
159	здесь и	6	2
160	не имеют	1	2
161	со своей	1	2
162	его не	1	2
163	у некоторых	1	2
164	и ее	6	2
165	того же	3	2
166	и на	3	2
167	что его	1	2
168	но конечно	1	2
169	кладут в	1	2
170	со стороны	4	2
171	не просто	1	2
172	в одной	5	2
173	его на	1	2
174	с этим	1	2
175	стороны и	2	2
176	и нет	1	2
177	этом же	1	2
178	в действительности	9	2
179	увидим что	2	2
180	но эта	2	2
181	в самом	11	2
182	та же	1	2
183	все эти	6	2
184	еще один	1	2
185	им в	1	2
186	и тот	1	2
187	вообще не	2	2
188	три года	1	2
189	на земле	2	2
190	так например	1	2
191	в одну	1	2
192	не будет	1	2
193	вместе со	1	2
194	раз он	1	2
195	было бы	6	2
196	известно что	1	2
197	должен был	1	2
198	и тем	3	2
199	ни в	8	2
200	это положение	1	2
201	сам он	2	2
202	может идти	1	2
203	что собственно	2	2
204	в котором	2	2
205	не от	2	2
206	направлен на	1	2
207	к этому	2	2
208	но он	1	2
209	что этот	2	2
210	тому что	3	2
211	она не	4	2
212	этой смены	1	2
213	в то	7	2
214	на него	1	2
215	в основе	3	2
216	вытекает из	2	2
217	друг друга	5	2
218	это искусство	1	2
219	не могут	10	2
220	лежит в	1	2
221	же что	2	2
222	что при	1	2
223	и это	2	2
224	но по	1	2
225	но при	2	2
226	связи со	1	2
227	в ее	4	2
228	все дело	1	2
229	там же	1	2
230	в форме	1	2
231	сюда же	1	2
232	все в	1	2
233	если это	1	2
234	они пришли	1	2
235	отца и	1	2
236	здесь не	2	2
237	тот же	1	2
238	и так	1	2
239	случаи когда	1	2
240	конечно не	4	2
241	уже не	3	2
242	не можем	2	2
243	и у	1	2
244	только на	4	2
245	или даже	1	2
246	из них	2	2
247	характерно что	2	2
248	ни с	2	2
249	мы знаем	4	2
250	не так	1	2
251	прежде всего	4	2
252	до сих	1	2
253	связаны с	2	2
254	в каких	2	2
255	и др	2	2
256	говорит о	1	2
257	ничем не	1	2
258	в руках	1	2
259	совершенно очевидно	1	2
260	в связи	4	2
261	но оно	2	2
262	как это	4	2
263	при которых	1	2
264	он говорит	1	2
265	в литературе	6	2
266	а потом	1	2
267	в американских	1	2
268	это значит	2	2
269	и от	11	2
270	и о	1	2
271	в основном	2	2
272	отличается от	2	2
273	но для	2	2
274	в другое	1	2
275	в целях	2	2
276	е в	1	2
277	сказать что	3	2
278	от всех	4	2
279	всех других	3	2
280	в отдельности	1	2
281	и эта	3	2
282	они не	4	2
283	ту же	2	1
284	отношения к	2	1
285	одним из	3	1
286	ряд как	1	1
287	не имел	1	1
288	самом деле	16	1
289	как известно	1	1
290	от этой	1	1
291	передается от	1	1
292	там не	1	1
293	нам кажется	2	1
294	между двумя	1	1
295	от своей	1	1
296	в чисто	2	1
297	должна быть	3	1
298	новелл в	1	1
299	в доме	1	1
300	не должны	1	1
301	есть не	1	1
302	можно и	1	1
303	с теорией	1	1
304	или наоборот	1	1
305	этого нет	1	1
306	не мотивированы	1	1
307	теперь мы	1	1
308	в первый	1	1
309	что уже	2	1
310	который был	2	1
311	же неверно	1	1
312	историческое явление	1	1
313	ему в	1	1
314	зависимости от	5	1
315	в ней	5	1
316	он был	4	1
317	в которых	3	1
318	между собой	4	1
319	он встречается	1	1
320	есть акт	1	1
321	бы то	4	1
322	и связь	1	1
323	тем как	1	1
324	остался вне	1	1
325	своей работе	1	1
326	видели что	2	1
327	совсем не	5	1
328	то он	3	1
329	друг на	1	1
330	не входит	1	1
331	только тогда	1	1
332	по отношению	3	1
333	иногда и	1	1
334	он пишет	1	1
335	значение имеет	1	1
336	определяется не	1	1
337	сама по	1	1
338	один и	1	1
339	стороны для	1	1
340	независимо от	5	1
341	что именно	5	1
342	вот как	2	1
343	части в	1	1
344	в своем	2	1
345	может получить	1	1
346	и как	4	1
347	был ими	1	1
348	историческая действительность	1	1
349	роль играет	1	1
350	или иную	1	1
351	вопрос почему	1	1
352	но отсюда	1	1
353	в целом	4	1
354	в этой	2	1
355	е с	2	1
356	эпохи и	1	1
357	не могла	1	1
358	бы ни	4	1
359	бы от	1	1
360	в поэтике	1	1
361	здесь однако	1	1
362	ни было	5	1
363	в зависимости	5	1
364	для понимания	1	1
365	что ни	2	1
366	в нее	1	1
367	спрашивается что	1	1
368	в каждом	5	1
369	этим самым	2	1
370	в работе	1	1
371	то ни	4	1
372	же не	1	1
373	до бесконечности	1	1
374	же а	2	1
375	на все	2	1
376	этих форм	1	1
377	знает что	1	1
378	входит в	8	1
379	на протяжении	2	1
380	от одного	2	1
381	с начала	1	1
382	приходит в	1	1
383	еще одно	1	1
384	его форм	1	1
385	но уже	2	1
386	он является	2	1
387	о которых	1	1
388	превращаются в	2	1
389	и делает	1	1
390	с тем	7	1
391	на друга	1	1
392	новые формы	2	1
393	и вне	2	1
394	для чего	2	1
395	только во	1	1
396	в чистом	1	1
397	можно считать	1	1
398	должно быть	1	1
399	автора и	1	1
400	но если	2	1
401	и при	1	1
402	в своей	6	1
403	сыну а	1	1
404	именно и	1	1
405	с точки	14	1
406	одной очень	1	1
407	этого вопроса	1	1
408	от его	3	1
409	и той	1	1
410	друг другу	2	1
411	и более	3	1
412	не обязательна	1	1
413	и то	1	1
414	по себе	4	1
415	что эта	1	1
416	же мы	1	1
417	то с	1	1
418	случае в	3	1
419	чистом виде	1	1
420	тем самым	1	1
421	а иногда	2	1
422	герою в	1	1
423	дело в	2	1
424	она никогда	1	1
425	не нуждается	3	1
426	внести в	2	1
427	из их	1	1
428	продолжаться до	1	1
429	для всего	1	1
430	его от	2	1
431	элемент в	1	1
432	больше чем	1	1
433	действительности но	1	1
434	находятся в	2	1
435	с религией	1	1
436	при всем	1	1
437	оно есть	1	1
438	жизни такого	1	1
439	того в	1	1
440	она должна	2	1
441	как она	1	1
442	предполагать что	1	1
443	правда это	1	1
444	не вытекает	1	1
445	же он	2	1
446	в сознании	1	1
447	как историческое	1	1
448	мы и	3	1
449	однако это	1	1
450	ему не	1	1
451	гипотеза о	1	1
452	в америке	1	1
453	нуждается ни	2	1
454	же самое	3	1
455	мере того	1	1
456	мы все	1	1
457	к тому	4	1
458	а что	3	1
459	предыдущей главе	1	1
460	в наши	1	1
461	может продолжаться	1	1
462	они и	3	1
463	оно не	3	1
464	он создает	1	1
465	утверждать что	1	1
466	если же	5	1
467	сделать такое	1	1
468	должен быть	2	1
469	оно может	1	1
470	и ставится	1	1
471	здесь необходимо	2	1
472	же их	1	1
473	как не	2	1
474	вывод что	1	1
475	на основе	1	1
476	сводится к	5	1
477	него самого	1	1
478	можно сделать	1	1
479	вложена в	2	1
480	на той	1	1
481	но мы	1	1
482	и может	1	1
483	не их	1	1
484	те случаи	1	1
485	как ее	4	1
486	если они	2	1
487	мотивировки в	2	1
488	продолжает жить	2	1
489	можно было	1	1
490	итак первое	1	1
491	только тот	1	1
492	те же	3	1
493	не с	1	1
494	ясно что	3	1
495	можно только	2	1
496	том как	2	1
497	и с	3	1
498	если бы	12	1
499	что под	1	1
500	что отдельные	1	1
501	по мере	1	1
502	в разных	1	1
503	хочет стать	1	1
504	к своему	1	1
505	имеет еще	1	1
506	также уже	1	1
507	и та	1	1
508	никак не	3	1
509	можно сказать	3	1
510	герой является	1	1
511	и во	2	1
512	которые и	1	1
513	связь между	4	1
514	один момент	1	1
515	от них	1	1
516	связь же	1	1
517	в его	7	1
518	каждый элемент	4	1
519	и только	2	1
520	именно в	1	1
521	в середине	1	1
522	нем и	2	1
523	в ту	1	1
524	в современной	1	1
525	как например	1	1
526	но так	2	1
527	но с	1	1
528	наши задачи	1	1
529	связь и	1	1
530	дело с	3	1
531	но этим	1	1
532	в какой	3	1
533	к ложному	1	1
534	сказка как	1	1
535	и действительно	2	1
536	и потому	5	1
537	который в	1	1
538	во времени	1	1
539	в большом	1	1
540	жизни и	4	1
541	а только	1	1
542	играет роль	1	1
543	вот что	1	1
544	однако герой	1	1
545	оказывается в	1	1
546	так можно	1	1
547	в большинстве	4	1
548	или не	1	1
549	в жизни	11	1
550	в начале	1	1
551	а то	1	1
552	прошел сквозь	1	1
553	большинстве случаев	5	1
554	за ним	1	1
555	ту или	2	1
556	очевидно что	2	1
557	себе в	1	1
558	и их	5	1
559	тогда он	2	1
560	не о	3	1
561	как его	9	1
562	мы выделим	1	1
563	их отцы	1	1
564	от того	2	1
565	соединены в	1	1
566	даже и	1	1
567	для того	4	1
568	из двух	1	1
569	и из	2	1
570	с другим	1	1
571	на ее	4	1
572	и тех	2	1
573	здесь в	1	1
574	а эти	1	1
575	для этого	2	1
576	мы еще	2	1
577	и пр	15	1
578	мотивировку в	1	1
579	смысла и	4	1
580	от этого	2	1
581	а на	2	1
582	и самый	2	1
583	положения вещей	1	1
584	о чем	1	1
585	совершенно одинаково	1	1
586	именно так	5	1
587	здесь имеет	1	1
588	и силы	1	1
589	под влиянием	1	1
590	для этой	1	1
591	он приобретает	1	1
592	все более	1	1
593	в самой	2	1
594	эта теория	1	1
595	в него	3	1
596	самый факт	2	1
597	к другой	1	1
598	не удается	1	1
599	в предыдущей	1	1
600	требует от	1	1
601	направление в	1	1
602	интересен и	1	1
603	к другому	2	1
604	он будет	1	1
605	не дают	1	1
606	мы условно	1	1
607	что же	5	1
608	и всей	1	1
609	действительно ли	1	1
610	выйти за	1	1
611	и формы	5	1
612	этом случае	1	1
613	е предполагают	1	1
614	и история	1	1
615	в условиях	3	1
616	стороны эти	1	1
617	т п	5	1
618	становится понятным	1	1
619	и часто	1	1
620	к пониманию	1	1
621	как прием	1	1
622	тем и	1	1
623	формы и	3	1
624	не объясняет	1	1
625	его с	1	1
626	мира и	1	1
627	ее и	2	1
