N	2gram	Ircho_Kome_2	KFilosof
1	может быть	11	43
2	в его	4	39
3	в нем	6	31
4	не может	3	27
5	и не	14	26
6	по отношению	3	25
7	и в	26	22
8	в себе	1	21
9	в котором	3	21
10	отношению к	3	21
11	и его	12	17
12	в ее	2	17
13	а не	1	17
14	только в	4	16
15	в этом	10	13
16	точки зрения	4	13
17	и это	2	12
18	но не	3	12
19	ни в	5	12
20	для него	1	12
21	все эти	1	11
22	в своей	3	11
23	не в	2	11
24	к нему	3	11
25	и единственного	1	11
26	во всех	3	10
27	в своем	6	10
28	это не	2	10
29	с точки	1	10
30	все это	3	10
31	из себя	1	10
32	и есть	2	9
33	в их	3	9
34	в целом	4	9
35	для нее	1	9
36	в единственном	3	9
37	но и	10	9
38	как бы	2	9
39	и для	4	9
40	и все	2	9
41	было бы	8	8
42	мир в	1	8
43	если бы	9	8
44	со стороны	2	8
45	не было	3	8
46	жизни и	3	8
47	то что	6	7
48	должен быть	1	7
49	на основе	1	7
50	в себя	1	7
51	и здесь	6	7
52	что и	7	7
53	себя в	3	7
54	конечно не	1	7
55	вовсе не	2	7
56	отношение к	2	6
57	отнюдь не	2	6
58	и я	2	6
59	мира в	4	6
60	он не	2	6
61	в мире	2	6
62	и их	3	6
63	в том	11	6
64	мы имеем	2	5
65	все же	4	5
66	но в	3	5
67	не только	7	5
68	то же	3	5
69	но все	3	5
70	его в	4	5
71	как и	4	5
72	от его	1	5
73	не имеет	3	5
74	никогда не	1	5
75	для себя	1	5
76	ни одно	1	5
77	с ним	1	5
78	именно в	1	5
79	там где	1	5
80	в контексте	1	5
81	ее и	1	5
82	в основе	1	5
83	хотя бы	2	5
84	жизни в	1	5
85	не знает	1	5
86	ко всему	1	5
87	как его	1	4
88	в чем	1	4
89	время и	1	4
90	бы быть	1	4
91	входит в	1	4
92	место в	4	4
93	тем самым	1	4
94	не по	4	4
95	в каком	1	4
96	с ними	2	4
97	времени и	1	4
98	между тем	4	4
99	во всей	1	4
100	могло бы	1	4
101	ни было	2	4
102	в одном	2	4
103	том что	9	4
104	для нас	3	4
105	а в	3	4
106	только как	1	4
107	что в	9	4
108	самом деле	1	3
109	из его	2	3
110	для которого	1	3
111	и этот	1	3
112	мы не	2	3
113	что это	4	3
114	в ней	3	3
115	еще не	6	3
116	и на	7	3
117	нет и	2	3
118	независимо от	5	3
119	бы и	2	3
120	для того	5	3
121	в каждом	3	3
122	могла бы	3	3
123	в другом	1	3
124	этом смысле	2	3
125	рядом с	2	3
126	не менее	4	3
127	ничего не	1	3
128	ясно что	8	3
129	здесь нет	1	3
130	с человеком	1	3
131	в виду	2	3
132	о том	6	3
133	того или	1	3
134	в современной	1	3
135	тем что	3	3
136	от того	2	3
137	что не	1	3
138	до конца	1	3
139	ближе к	1	3
140	по своему	2	3
141	поскольку он	1	3
142	и ни	1	3
143	не должен	1	3
144	в свою	1	3
145	или иного	1	3
146	в то	6	3
147	едва ли	14	2
148	ни у	1	2
149	вопрос о	3	2
150	а для	1	2
151	ему в	1	2
152	это противопоставление	1	2
153	за свое	1	2
154	с его	5	2
155	свою жизнь	1	2
156	и специально	1	2
157	как в	3	2
158	как к	1	2
159	и как	1	2
160	от этого	2	2
161	себе как	1	2
162	та же	1	2
163	думать что	1	2
164	ни одна	2	2
165	в этой	3	2
166	в принципе	2	2
167	так и	12	2
168	то ни	2	2
169	а по	1	2
170	действительности в	1	2
171	и мы	1	2
172	в жизни	1	2
173	соответствии с	1	2
174	с тем	5	2
175	тем не	1	2
176	по себе	1	2
177	тому что	4	2
178	что эта	1	2
179	она могла	1	2
180	того чтобы	6	2
181	вытекает из	1	2
182	же время	3	2
183	в сознании	1	2
184	в области	1	2
185	к себе	1	2
186	вошли в	1	2
187	его с	1	2
188	бы он	1	2
189	той или	1	2
190	отказаться от	1	2
191	говорить о	2	2
192	чтобы дать	1	2
193	жизнь и	1	2
194	сводится к	1	2
195	и та	1	2
196	его жизни	1	2
197	бы то	2	2
198	однако что	1	2
199	нем не	2	2
200	мысль и	1	2
201	тот же	2	2
202	дело с	3	2
203	что он	5	2
204	а с	1	2
205	в качестве	5	2
206	содержания и	1	2
207	содержание и	1	2
208	не о	1	2
209	были бы	1	2
210	или иной	1	2
211	прежде всего	4	2
212	в соответствии	1	2
213	он и	1	2
214	если не	2	2
215	для этой	2	2
216	быть не	1	2
217	в это	2	2
218	которой он	1	2
219	это уже	1	2
220	еще более	2	2
221	он имеет	1	2
222	потому что	6	2
223	но всегда	1	2
224	и эта	1	2
225	к этому	5	2
226	говоря о	1	1
227	вместо двух	1	1
228	тем же	1	1
229	в чисто	1	1
230	что эти	1	1
231	не имеют	1	1
232	видеть в	1	1
233	отношения к	1	1
234	шире и	1	1
235	той же	3	1
236	его не	1	1
237	не делает	1	1
238	это что	1	1
239	и ее	2	1
240	допускает что	1	1
241	не был	1	1
242	столь же	9	1
243	в различных	1	1
244	и мира	1	1
245	в нашем	2	1
246	землю и	1	1
247	нет не	1	1
248	бы себя	1	1
249	и будет	1	1
250	не просто	1	1
251	человека его	1	1
252	его итак	1	1
253	за которую	1	1
254	в истории	5	1
255	более чем	4	1
256	с этим	5	1
257	отказу от	1	1
258	помнить что	1	1
259	хотя и	4	1
260	представлен как	1	1
261	не являются	1	1
262	и к	2	1
263	в действительности	2	1
264	активность не	1	1
265	в первом	2	1
266	за собой	2	1
267	в самом	4	1
268	в которой	5	1
269	из жизни	1	1
270	есть для	2	1
271	из другого	1	1
272	здесь есть	1	1
273	на его	1	1
274	к выводу	1	1
275	что она	2	1
276	не следует	2	1
277	задний план	1	1
278	главным образом	1	1
279	сказать в	1	1
280	всех остальных	2	1
281	образом и	1	1
282	их в	1	1
283	чувства в	1	1
284	его от	1	1
285	ясен и	1	1
286	на этом	2	1
287	том же	1	1
288	а затем	5	1
289	же не	2	1
290	том случае	1	1
291	об этом	2	1
292	связанных с	2	1
293	и с	5	1
294	а их	1	1
295	с целью	1	1
296	это было	4	1
297	всю свою	1	1
298	отказа от	1	1
299	на характер	1	1
300	политики и	1	1
301	освободиться от	1	1
302	этого не	1	1
303	и уже	1	1
304	одна и	1	1
305	несмотря на	1	1
306	чем в	2	1
307	элемента в	1	1
308	в один	2	1
309	не мог	1	1
310	отступает на	1	1
311	в этих	4	1
312	когда этика	1	1
313	от своего	1	1
314	всяком случае	2	1
315	то для	1	1
316	мы найдем	3	1
317	всем том	1	1
318	признать что	2	1
319	значение для	1	1
320	сам же	1	1
321	в философии	2	1
322	быть таким	1	1
323	ним в	1	1
324	и очень	1	1
325	попытка найти	1	1
326	любви и	1	1
327	с которой	1	1
328	в содержании	1	1
329	для каждого	1	1
330	как о	1	1
331	одна из	2	1
332	здесь на	1	1
333	что ей	1	1
334	из их	1	1
335	бы более	1	1
336	более что	1	1
337	по своей	1	1
338	такая же	2	1
339	вместо того	1	1
340	это слово	4	1
341	и теперь	1	1
342	здесь же	1	1
343	иногда не	1	1
344	не является	2	1
345	ни о	1	1
346	в трагедии	1	1
347	представляется нам	1	1
348	но там	3	1
349	его для	1	1
350	и другой	1	1
351	и всех	1	1
352	поскольку же	1	1
353	отличается от	1	1
354	всего в	2	1
355	к тому	12	1
356	отнесение его	1	1
357	если мы	1	1
358	как не	2	1
359	свою очередь	1	1
360	всего этого	1	1
361	на задний	1	1
362	и от	4	1
363	мысль о	1	1
364	но мы	1	1
365	приводит к	1	1
366	культуры на	1	1
367	с собой	2	1
368	не с	1	1
369	что был	1	1
370	мог бы	1	1
371	остается только	1	1
372	и даже	1	1
373	остановимся на	1	1
374	и начало	1	1
375	на все	1	1
376	включить этот	1	1
377	возможна только	1	1
378	второй половине	1	1
379	только за	1	1
380	и во	2	1
381	от них	1	1
382	но нет	1	1
383	нуждается в	1	1
384	к отказу	1	1
385	полагать что	1	1
386	ей для	1	1
387	даже для	1	1
