N	3gram	Losev_Prob_3	Komedia
1	в том что	9	9
2	в то время	4	5
3	с другой стороны	5	5
4	к тому же	1	5
5	том что он	1	4
6	то время как	4	4
7	в конце концов	3	4
8	в то же	4	4
9	и т д	13	4
10	в любом случае	1	3
11	речь идет о	1	3
12	с одной стороны	1	3
13	о том что	3	3
14	из всего этого	1	2
15	то же самое	7	2
16	но и в	2	2
17	в первую очередь	3	2
18	может быть даже	3	2
19	а то и	1	2
20	и тем что	1	2
21	до сих пор	2	2
22	как и в	1	2
23	то ни было	3	2
24	бы то ни	4	2
25	во всяком случае	6	2
26	именно потому что	3	2
27	у нас в	2	2
28	или может быть	1	2
29	на то что	1	2
30	таким образом в	1	2
31	что иное как	4	1
32	хотя и не	2	1
33	из поля зрения	1	1
34	что же касается	4	1
35	жизнь и ее	1	1
36	более или менее	1	1
37	и даже до	1	1
38	же как и	2	1
39	с этой точки	1	1
40	и не только	1	1
41	как будто бы	3	1
42	начала до конца	1	1
43	в чем не	2	1
44	а может быть	1	1
45	сам по себе	6	1
46	и в тех	1	1
47	можно было бы	3	1
48	это вовсе не	4	1
49	так же как	1	1
50	в данном случае	7	1
51	не только в	2	1
52	на этот раз	3	1
53	смысле этого слова	1	1
54	только в виде	1	1
55	в той же	1	1
56	в чем же	1	1
57	но при этом	1	1
58	в отличие от	2	1
59	так или иначе	1	1
60	в одном случае	1	1
61	потому что они	2	1
62	бросается в глаза	1	1
63	этой точки зрения	2	1
64	в тех случаях	1	1
65	такого же рода	2	1
66	ни в чем	2	1
67	т д все	1	1
68	внешней формы и	1	1
69	что он не	1	1
70	что и сам	2	1
71	быть даже и	1	1
72	во время войны	1	1
73	и особенно в	1	1
74	потому что и	1	1
75	едва ли можно	2	1
76	но он не	1	1
77	до конца и	1	1
78	в отрыве от	1	1
79	не что иное	4	1
80	на основании этого	1	1
81	друг от друга	2	1
82	которые могут быть	1	1
83	тех случаях когда	1	1
84	к тому что	1	1
85	тем не менее	10	1
86	как мы видели	2	1
87	это особенно важно	1	1
88	для того чтобы	1	1
89	может быть в	1	1
90	которых идет речь	1	1
91	что в любом	1	1
