N	3gram	Tiupa_Lite_2	Komedia
1	в том что	5	9
2	и т п	2	5
3	с другой стороны	4	5
4	в одном из	1	4
5	в то же	9	4
6	в конце концов	1	4
7	то же время	9	4
8	о том что	2	3
9	с одной стороны	6	3
10	по отношению к	3	3
11	речь идет о	3	3
12	в этом отношении	3	3
13	едва ли не	4	3
14	после того как	1	3
15	бы то ни	1	2
16	а то и	1	2
17	то ни было	1	2
18	то же самое	1	2
19	говоря уже о	2	2
20	не говоря уже	2	2
21	то и вовсе	1	1
22	от земли и	1	1
23	подобно тому как	2	1
24	в том числе	2	1
25	в самом начале	1	1
26	состоит не в	1	1
27	из того же	1	1
28	для того чтобы	1	1
29	что же касается	1	1
30	к тому что	1	1
31	и прежде всего	1	1
32	что он не	1	1
33	вместе с тем	1	1
34	что уже в	1	1
35	как мы видели	1	1
36	этой точки зрения	1	1
37	состоит в том	4	1
38	в разговоре с	2	1
39	еще при жизни	1	1
40	тем не менее	2	1
41	по тем же	1	1
42	не мог бы	1	1
43	но и не	1	1
44	том что в	1	1
45	как было сказано	1	1
46	как он был	1	1
47	в отличие от	1	1
48	в данном случае	3	1
49	с этой точки	1	1
50	в соответствии с	1	1
51	можно было бы	1	1
