N	3gram	Vygotskiy__5	Komedia
1	в том что	11	9
2	в то время	4	5
3	с другой стороны	2	5
4	том что он	2	4
5	то время как	4	4
6	в то же	1	4
7	по отношению к	12	3
8	в этом отношении	5	3
9	с одной стороны	3	3
10	о том что	4	3
11	не в состоянии	4	2
12	то же самое	4	2
13	в первую очередь	1	2
14	до сих пор	3	2
15	во всяком случае	1	2
16	и таким образом	1	2
17	до самого конца	1	2
18	именно потому что	2	2
19	таким образом в	2	2
20	самых общих чертах	1	1
21	том что в	2	1
22	в следующем виде	1	1
23	что иное как	1	1
24	или хотя бы	1	1
25	в силу этого	1	1
26	состоит в том	3	1
27	более или менее	1	1
28	подобно тому как	4	1
29	в том числе	1	1
30	в том же	1	1
31	же как и	1	1
32	те и другие	1	1
33	с этой точки	4	1
34	да и в	1	1
35	связывается с именем	1	1
36	в зависимости от	2	1
37	вместе с тем	2	1
38	в обоих случаях	1	1
39	сам по себе	1	1
40	независимо от того	1	1
41	далеко за пределы	4	1
42	можно было бы	3	1
43	в этот период	2	1
44	в применении к	1	1
45	так же как	7	1
46	представление о том	1	1
47	в этой области	1	1
48	именно в этой	1	1
49	в высшей степени	2	1
50	смысле этого слова	1	1
51	в той же	2	1
52	что они являются	1	1
53	но при этом	2	1
54	в отличие от	2	1
55	выходит далеко за	3	1
56	что уже в	1	1
57	в самых общих	2	1
58	для этой цели	1	1
59	нет никаких оснований	1	1
60	этой точки зрения	4	1
61	в тех случаях	1	1
62	что он не	2	1
63	и тому же	2	1
64	но он не	4	1
65	с самого начала	5	1
66	что в действительности	1	1
67	не что иное	1	1
68	к одному и	2	1
69	принадлежит к числу	1	1
70	по аналогии с	1	1
71	друг от друга	4	1
72	совершенно очевидно что	1	1
73	тех случаях когда	1	1
74	в другом случае	1	1
75	к тому что	1	1
76	тем не менее	1	1
77	как мы видели	2	1
78	для того чтобы	14	1
79	и подобно тому	1	1
80	одному и тому	2	1
81	и тот же	3	1
