1	и в	26	30
2	в этом	10	20
3	то что	6	20
4	у него	4	19
5	в том	11	18
6	и не	14	18
7	а н	1	14
8	и с	5	14
9	в конце	2	13
10	что он	5	13
11	там же	1	12
12	том что	9	12
13	не только	7	12
14	что в	9	12
15	сказать что	1	11
16	как мы	4	11
17	а в	3	11
18	в его	4	11
19	а также	1	10
20	и даже	1	10
21	не было	3	10
22	в с	1	10
23	для него	1	9
24	было бы	8	9
25	не в	2	9
26	потому что	6	9
27	не может	3	9
28	в то	6	9
29	все же	4	9
30	вместе с	9	8
31	но в	3	8
32	но и	10	8
33	в связи	3	8
34	связи с	3	8
35	что же	1	8
36	в своем	6	8
37	не мог	1	8
38	до конца	1	7
39	а не	1	7
40	для нас	3	7
41	точки зрения	4	7
42	как это	4	7
43	и все	2	7
44	ни в	5	7
45	никогда не	1	7
46	которую он	1	7
47	не менее	4	7
48	может быть	11	7
49	его жизни	1	6
50	хотя и	4	6
51	и его	12	6
52	тем не	1	6
53	во всяком	2	6
54	к этому	5	6
55	об этом	2	6
56	у нас	1	6
57	всяком случае	2	6
58	только в	4	6
59	в себе	1	6
60	всякого рода	1	6
61	прежде всего	4	6
62	и к	2	6
63	он был	2	6
64	то время	3	6
65	жизни и	3	6
66	о чем	3	6
67	к концу	3	5
68	все эти	1	5
69	о его	4	5
70	так что	5	5
71	все это	3	5
72	в своей	3	5
73	с ним	1	5
74	как бы	2	5
75	для себя	1	5
76	и что	2	5
77	с этим	5	5
78	по себе	1	5
79	в результате	1	5
80	тот же	2	5
81	из этого	2	5
82	того же	3	5
83	в котором	3	5
84	как и	4	5
85	так и	12	5
86	и я	2	5
87	в течение	2	5
88	так как	4	5
89	несмотря на	1	4
90	так же	1	4
91	на его	1	4
92	в которой	5	4
93	то это	2	4
94	то же	3	4
95	в начале	4	4
96	что это	4	4
97	и если	2	4
98	в нем	6	4
99	он не	2	4
100	конечно не	1	4
101	по поводу	3	4
102	вовсе не	2	4
103	с его	5	4
104	со стороны	2	4
105	это было	4	4
106	его в	4	4
107	в ней	3	4
108	в это	2	4
109	именно в	1	4
110	после смерти	3	4
111	той же	3	4
112	это время	3	4
113	с которыми	2	4
114	что его	3	4
115	него в	1	4
116	на этот	4	4
117	и мы	1	4
118	мы знаем	3	4
119	время в	1	4
120	и на	7	4
121	ко всему	1	4
122	в целом	4	4
123	с этой	3	4
124	в этой	3	4
125	разного рода	1	4
126	отношение к	2	4
127	о том	6	4
128	в этих	4	4
129	наконец в	2	3
130	близкими друзьями	1	3
131	он и	1	3
132	с точки	1	3
133	само собой	1	3
134	не могли	1	3
135	и вполне	1	3
136	да и	3	3
137	никак не	1	3
138	впрочем не	1	3
139	же время	3	3
140	что касается	3	3
141	и для	4	3
142	тем более	1	3
143	этот раз	4	3
144	еще более	2	3
