N	2gram	Tiupa_Lite_1	Komedia
1	и в	8	22
2	и не	12	21
3	том что	14	13
4	таким образом	3	12
5	в том	16	12
6	со стороны	4	11
7	так как	1	11
8	потому что	3	10
9	вместе с	1	9
10	сих пор	1	9
11	до сих	1	9
12	в самом	3	9
13	в этом	12	8
14	что и	1	8
15	его в	3	8
16	если бы	1	8
17	в его	7	8
18	о том	2	8
19	что он	5	8
20	в глазах	1	8
21	в своем	11	8
22	в конце	4	7
23	а в	3	7
24	то же	5	7
25	только что	1	7
26	едва ли	1	7
27	при этом	19	7
28	в свою	1	7
29	как раз	4	6
30	еще не	4	6
31	к тому	2	6
32	и его	4	6
33	в то	5	6
34	свою очередь	1	6
35	того же	2	6
36	тому же	2	6
37	во время	1	6
38	и что	1	6
39	самом деле	2	6
40	может быть	13	6
41	к этому	1	6
42	же время	5	5
43	прежде всего	11	5
44	связи с	6	5
45	не менее	7	5
46	к нему	1	5
47	как это	8	5
48	в своей	4	5
49	в которых	1	5
50	что в	3	5
51	отношение к	1	5
52	более чем	3	5
53	по отношению	3	5
54	и сам	6	5
55	тем что	2	5
56	то это	2	5
57	а по	1	5
58	он не	1	5
59	но в	3	5
60	что его	3	5
61	к себе	3	5
62	не только	24	5
63	из них	4	5
64	вовсе не	1	4
65	в себе	7	4
66	скорее всего	1	4
67	и здесь	1	4
68	все же	4	4
69	и с	1	4
70	друг друга	4	4
71	в связи	4	4
72	так и	4	4
73	точки зрения	6	4
74	не в	8	4
75	с тем	1	4
76	но все	1	4
77	хотя бы	2	4
78	но и	17	4
79	на себя	2	4
80	то что	10	4
81	на него	1	4
82	что к	1	4
83	в отношении	1	4
84	не является	2	4
85	он был	1	4
86	тут же	1	4
87	у него	3	4
88	до конца	1	4
89	несмотря на	3	4
90	тем более	2	4
91	с другой	3	4
92	однако в	2	4
93	с самого	1	4
94	а не	16	4
95	отнюдь не	2	4
96	самого начала	1	4
97	не позволяет	1	3
98	в них	1	3
99	приводит к	3	3
100	не знает	1	3
101	во всяком	3	3
102	говорить о	1	3
103	как и	6	3
104	в которой	1	3
105	перед ним	1	3
106	одной из	1	3
107	не может	5	3
108	до тех	1	3
109	на это	2	3
110	себе в	2	3
111	отношению к	2	3
112	обращается к	2	3
113	как бы	7	3
114	что не	2	3
115	на то	1	3
116	в какой	1	3
117	в нем	2	3
118	с этой	5	3
119	если не	1	3
120	который в	1	3
121	представляет собой	4	3
122	в ее	1	3
123	в начале	1	3
124	не так	1	3
125	никогда не	4	3
126	и даже	3	3
127	с точки	2	3
128	в целом	8	3
129	все что	1	3
130	и мы	1	3
131	то ни	1	3
132	среди которых	1	3
133	как он	2	3
134	тем же	3	3
135	со временем	2	3
136	один из	3	3
137	всяком случае	2	3
138	по собственному	1	3
139	тем не	2	3
140	не о	1	3
141	одной стороны	2	3
142	в этой	4	3
143	с одной	2	3
144	далеко не	3	3
145	мы можем	1	3
146	из того	2	3
147	с его	5	3
148	столь же	4	3
149	в частности	15	3
150	не имеет	1	3
151	было бы	2	3
152	одного из	3	3
153	идет о	1	3
154	тех пор	1	3
155	всего лишь	4	2
156	того кто	1	2
157	одним из	5	2
158	исходя из	3	2
159	чтобы в	1	2
160	я говорю	1	2
161	его на	1	2
162	в другом	2	2
163	отношению ко	1	2
164	только как	1	2
165	бы то	1	2
166	что они	1	2
167	себя от	1	2
168	но при	2	2
169	не было	3	2
170	и он	1	2
171	и все	1	2
172	ни было	1	2
173	отказаться от	1	2
174	к концу	1	2
175	к этой	1	2
176	мы не	1	2
177	в основе	3	2
178	бы не	3	2
179	при всей	3	2
180	дело не	2	2
181	во всех	1	2
182	целый ряд	1	2
183	а на	1	2
184	в их	3	2
185	ли не	3	2
186	ему до	1	2
187	между ними	1	2
188	и во	1	2
189	и я	6	2
190	по тому	1	2
191	не мог	3	2
192	нуждается в	3	2
193	вплоть до	2	2
194	совершенно не	1	2
195	а затем	1	2
196	между тем	2	2
197	к своему	1	2
198	для понимания	2	2
199	из его	2	2
200	из которых	1	2
201	на вопрос	1	2
202	а как	2	2
203	и особенно	1	2
204	аналогии с	3	2
205	как мы	1	2
206	для новой	1	2
207	из этого	1	2
208	отличие от	5	2
209	в качестве	17	2
210	человека и	2	2
211	нового времени	2	2
212	конечном счете	4	2
213	после чего	1	2
214	тот же	1	2
215	это не	4	2
216	в силу	4	2
217	в сущности	2	2
218	и о	1	2
219	х годов	2	2
220	она не	1	2
221	уже в	5	2
222	о любви	1	2
223	этой связи	1	2
224	на основании	1	2
225	так я	1	2
226	что ему	3	2
227	что для	2	2
228	в эпоху	1	2
229	в конечном	5	2
230	в виду	3	2
231	состоит в	11	2
232	другой стороны	1	2
233	в котором	1	2
234	и ты	1	2
235	не мешает	1	2
236	как в	5	2
237	этом отношении	2	2
238	он говорит	1	2
239	и на	1	2
240	за пределы	2	2
241	в мире	2	2
242	себя и	1	2
243	в одном	1	2
244	и если	1	2
245	хоть и	1	2
246	роль в	2	2
247	не как	4	2
248	нет ничего	2	2
249	при всем	3	2
250	в своих	4	2
251	достаточно вспомнить	1	2
252	должен быть	2	2
253	за ним	1	2
254	представляют собой	1	2
255	только для	1	2
256	а также	5	2
257	по существу	1	2
258	о его	1	2
259	в области	3	2
260	так или	8	2
261	в г	1	2
262	а сам	1	2
263	если мы	1	2
264	в пределах	3	2
265	или иначе	9	2
266	могло быть	2	2
267	перед лицом	1	2
268	можно было	2	2
269	человека в	1	2
270	мы знаем	1	2
271	он и	3	2
272	все эти	2	1
273	представлял собой	1	1
274	другого героя	1	1
275	прямо противоположное	1	1
276	в е	2	1
277	же интерес	1	1
278	внутреннего мира	1	1
279	со своим	1	1
280	из этих	2	1
281	это может	1	1
282	от античности	1	1
283	а вот	1	1
284	отношении к	1	1
